"country","outcome","level","model","n_units","n_pred","cv","r_max","pearson","spearman","rmse_pp","mae_pp"
"gambia","child_vitA","Admin2","null_mean",30,501,"5-fold x10",0.671,-0.2,-0.19,13.56,11.06
"gambia","child_vitA","Admin2","curated_xy",30,501,"5-fold x10",0.671,0.481,0.557,11.97,9.26
"gambia","child_vitA","Admin2","curated_ridge",30,501,"5-fold x10",0.671,0.473,0.435,11.92,10.06
"gambia","child_vitA","Admin2","decorr20_xy",30,501,"5-fold x10",0.671,0.516,0.536,11.82,9.32
"gambia","child_vitA","Admin2","adaptive_top10_xy",30,501,"5-fold x10",0.671,0.443,0.49,12.49,9.93
"gambia","child_vitA","Admin2","adaptive_top20_xy",30,501,"5-fold x10",0.671,0.45,0.498,12.45,9.9
"gambia","child_vitA","Admin2","adaptive_lasso_xy",30,501,"5-fold x10",0.671,0.425,0.442,12.5,10.04
"gambia","child_vitA","Admin2","adaptive_top20_ridge",30,501,"5-fold x10",0.671,0.441,0.467,12.34,9.99
"gambia","child_vitA","Admin2","LEAKY_top20_xy",30,501,"5-fold x10",0.671,0.494,0.524,12.04,9.59
"gambia","women_vitA","Admin2","null_mean",30,501,"5-fold x10",0.275,-0.299,-0.258,5.07,3.7
"gambia","women_vitA","Admin2","curated_xy",30,501,"5-fold x10",0.275,0.276,0.362,4.85,3.22
"gambia","women_vitA","Admin2","curated_ridge",30,501,"5-fold x10",0.275,0.293,0.35,5.02,3.34
"gambia","women_vitA","Admin2","decorr20_xy",30,501,"5-fold x10",0.275,0.338,0.378,4.84,3.23
"gambia","women_vitA","Admin2","adaptive_top10_xy",30,501,"5-fold x10",0.275,0.325,0.364,4.79,3.21
"gambia","women_vitA","Admin2","adaptive_top20_xy",30,501,"5-fold x10",0.275,0.351,0.376,4.77,3.18
"gambia","women_vitA","Admin2","adaptive_lasso_xy",30,501,"5-fold x10",0.275,0.317,0.374,4.82,3.19
"gambia","women_vitA","Admin2","adaptive_top20_ridge",30,501,"5-fold x10",0.275,0.184,0.374,5.77,3.62
"gambia","women_vitA","Admin2","LEAKY_top20_xy",30,501,"5-fold x10",0.275,0.621,0.536,4.38,2.91
"gambia","child_iron","Admin2","null_mean",30,501,"5-fold x10",0.565,-0.246,-0.231,16.41,14.02
"gambia","child_iron","Admin2","curated_xy",30,501,"5-fold x10",0.565,0.271,0.263,15.75,11.96
"gambia","child_iron","Admin2","curated_ridge",30,501,"5-fold x10",0.565,0.26,0.325,15.57,12.69
"gambia","child_iron","Admin2","decorr20_xy",30,501,"5-fold x10",0.565,0.291,0.294,15.59,12.48
"gambia","child_iron","Admin2","adaptive_top10_xy",30,501,"5-fold x10",0.565,0.235,0.253,16.73,13.36
"gambia","child_iron","Admin2","adaptive_top20_xy",30,501,"5-fold x10",0.565,0.241,0.253,16.57,13.33
"gambia","child_iron","Admin2","adaptive_lasso_xy",30,501,"5-fold x10",0.565,0.288,0.302,15.79,12.56
"gambia","child_iron","Admin2","adaptive_top20_ridge",30,501,"5-fold x10",0.565,0.191,0.212,16.79,13.45
"gambia","child_iron","Admin2","LEAKY_top20_xy",30,501,"5-fold x10",0.565,0.286,0.297,16.03,12.83
"gambia","women_iron","Admin2","null_mean",30,501,"5-fold x10",0.712,-0.218,-0.269,17.54,13.65
"gambia","women_iron","Admin2","curated_xy",30,501,"5-fold x10",0.712,0.598,0.679,13.17,9.49
"gambia","women_iron","Admin2","curated_ridge",30,501,"5-fold x10",0.712,0.579,0.657,14.06,10.55
"gambia","women_iron","Admin2","decorr20_xy",30,501,"5-fold x10",0.712,0.638,0.648,12.9,9.87
"gambia","women_iron","Admin2","adaptive_top10_xy",30,501,"5-fold x10",0.712,0.57,0.578,13.52,10.34
"gambia","women_iron","Admin2","adaptive_top20_xy",30,501,"5-fold x10",0.712,0.576,0.57,13.45,10.28
"gambia","women_iron","Admin2","adaptive_lasso_xy",30,501,"5-fold x10",0.712,0.56,0.593,13.59,10.29
"gambia","women_iron","Admin2","adaptive_top20_ridge",30,501,"5-fold x10",0.712,0.538,0.586,14.18,10.77
"gambia","women_iron","Admin2","LEAKY_top20_xy",30,501,"5-fold x10",0.712,0.619,0.602,13.04,9.86
"ghana","child_vitA","Admin1","null_mean",16,625,"LOO",0.66,-0.73,-0.856,7.38,6.04
"ghana","child_vitA","Admin1","curated_xy",16,625,"LOO",0.66,0.478,0.397,5.99,5.01
"ghana","child_vitA","Admin1","curated_ridge",16,625,"LOO",0.66,0.168,0.215,6.75,5.61
"ghana","child_vitA","Admin1","decorr20_xy",16,625,"LOO",0.66,0.176,0.076,6.79,5.69
"ghana","child_vitA","Admin1","adaptive_top10_xy",16,625,"LOO",0.66,0.196,0.156,7.17,5.77
"ghana","child_vitA","Admin1","adaptive_top20_xy",16,625,"LOO",0.66,0.344,0.276,6.49,5.4
"ghana","child_vitA","Admin1","adaptive_lasso_xy",16,625,"LOO",0.66,0.335,0.376,6.52,5.36
"ghana","child_vitA","Admin1","adaptive_top20_ridge",16,625,"LOO",0.66,-0.279,-0.429,7.68,6.71
"ghana","child_vitA","Admin1","LEAKY_top20_xy",16,625,"LOO",0.66,0.421,0.309,6.27,5.27
"ghana","women_vitA","Admin1","null_mean",16,625,"LOO",0,-0.801,-0.863,1.59,1.35
"ghana","women_vitA","Admin1","curated_xy",16,625,"LOO",0,0.694,0.623,1.17,0.96
"ghana","women_vitA","Admin1","curated_ridge",16,625,"LOO",0,0.285,0.402,1.44,1.26
"ghana","women_vitA","Admin1","decorr20_xy",16,625,"LOO",0,0.481,0.439,1.36,1.17
"ghana","women_vitA","Admin1","adaptive_top10_xy",16,625,"LOO",0,0.711,0.568,1.08,0.92
"ghana","women_vitA","Admin1","adaptive_top20_xy",16,625,"LOO",0,0.691,0.519,1.11,0.96
"ghana","women_vitA","Admin1","adaptive_lasso_xy",16,625,"LOO",0,0.591,0.513,1.22,1.05
"ghana","women_vitA","Admin1","adaptive_top20_ridge",16,625,"LOO",0,0.784,0.513,1.04,0.95
"ghana","women_vitA","Admin1","LEAKY_top20_xy",16,625,"LOO",0,0.765,0.617,1.02,0.85
"ghana","child_iron","Admin1","null_mean",16,625,"LOO",0.909,-0.857,-0.806,15.55,12.54
"ghana","child_iron","Admin1","curated_xy",16,625,"LOO",0.909,0.514,0.54,12.1,9.53
"ghana","child_iron","Admin1","curated_ridge",16,625,"LOO",0.909,0.272,0.361,13.55,9.91
"ghana","child_iron","Admin1","decorr20_xy",16,625,"LOO",0.909,0.446,0.53,12.6,9.43
"ghana","child_iron","Admin1","adaptive_top10_xy",16,625,"LOO",0.909,0.627,0.764,11.29,8.88
"ghana","child_iron","Admin1","adaptive_top20_xy",16,625,"LOO",0.909,0.586,0.686,11.72,9.18
"ghana","child_iron","Admin1","adaptive_lasso_xy",16,625,"LOO",0.909,0.672,0.546,10.45,8.33
"ghana","child_iron","Admin1","adaptive_top20_ridge",16,625,"LOO",0.909,0.477,0.649,12.63,9.33
"ghana","child_iron","Admin1","LEAKY_top20_xy",16,625,"LOO",0.909,0.679,0.758,10.41,8.11
"ghana","women_iron","Admin1","null_mean",16,625,"LOO",0.692,-0.828,-0.748,5.83,4.68
