"outcome","country","n_areas","r_max","obs_prev_pp","who_acc","who_acc_null","who_gain","top20_recall","top20_lift","mae_pp","mae_null_pp","mae_gain_pp","spearman"
"child_vitA","gambia",30,0.671,19.8,0.323,0.297,0.027,0.283,1.42,9.41,11.26,1.86,0.533
"child_vitA","ghana",75,0.03,14.9,0.167,0.32,-0.153,0.38,1.9,10.32,9.69,-0.63,0.127
"child_vitA","malawi",97,0,7.8,0.284,0.155,0.129,0.216,1.08,7.59,8.13,0.54,0.136
"child_vitA","tanzania",167,0.766,22.3,0.402,0.479,-0.077,0.145,0.73,12.43,12.63,0.2,0.078
"women_vitA","gambia",30,0.275,2.5,0.65,0.29,0.36,0.333,1.67,3.2,3.74,0.54,0.417
"women_vitA","ghana",75,0,1.5,0.799,0.84,-0.041,0.213,1.07,2.3,2.69,0.39,-0.085
"women_vitA","malawi",97,0,1.1,0.861,0.887,-0.026,0.126,0.63,2.1,2.31,0.22,-0.009
"women_vitA","tanzania",168,0.775,6.8,0.503,0.482,0.021,0.191,0.96,5.53,5.8,0.27,0.117
"child_iron","gambia",30,0.565,62.2,0.933,0.933,0,0.15,0.75,11.42,12.92,1.5,0.348
"child_iron","ghana",75,0.672,23.9,0.399,0.213,0.185,0.467,2.33,12.84,15.4,2.56,0.547
"child_iron","malawi",97,0.199,19.1,0.488,0.428,0.06,0.379,1.89,10.79,11.4,0.61,0.234
"women_iron","gambia",30,0.706,45.2,0.797,0.667,0.13,0.333,1.67,10.16,14.75,4.59,0.67
"women_iron","ghana",75,0,13.5,0.444,0.427,0.017,0.44,2.2,9.1,9.68,0.58,0.411
"women_iron","malawi",97,0,17.1,0.334,0.34,-0.006,0.289,1.45,13.3,12.83,-0.48,0.156
"women_folate","ghana",75,0.627,54.7,0.585,0.6,-0.015,0.38,1.9,23.92,25.2,1.28,0.276
"women_folate","malawi",97,0.6,22.4,0.348,0.263,0.086,0.211,1.05,15.3,17.85,2.55,0.387
"women_b12","ghana",75,0.367,8.5,0.541,0.173,0.368,0.427,2.13,10.04,11.8,1.76,0.18
"women_b12","malawi",97,0,2.3,0.801,0.804,-0.003,0.268,1.34,3.23,4.1,0.87,0.333
"child_zinc","malawi",97,0.67,57.4,0.869,0.876,-0.007,0.195,0.97,19.49,19.47,-0.02,0.037
"women_zinc","malawi",97,0.701,64.7,0.918,0.918,0,0.195,0.97,21.89,21.79,-0.1,-0.018
