"country","outcome","variable","n1","n2","r_admin1","r_admin2","slope_admin1_pp","slope_admin2_pp","sign_flip"
"gambia","child_vitA","gee_ndvi",6,30,0.782,0.255,5.5,3.44,FALSE
"gambia","child_vitA","gee_elevation",6,30,0.535,0.412,3.76,5.55,FALSE
"gambia","child_vitA","gee_popdensity",6,30,-0.557,-0.214,-3.92,-2.89,FALSE
"gambia","child_vitA","gee_ccnl",6,30,-0.555,-0.198,-3.9,-2.67,FALSE
"gambia","child_vitA","gee_globalhumanmodification",6,30,-0.607,-0.348,-4.27,-4.7,FALSE
"gambia","child_vitA","gee_ghsl_smod",6,30,-0.626,-0.237,-4.4,-3.2,FALSE
"gambia","child_vitA","gee_wsf",6,30,-0.62,-0.233,-4.36,-3.15,FALSE
"gambia","child_vitA","gee_trmm",6,30,-0.789,-0.514,-5.55,-6.94,FALSE
"gambia","child_vitA","gee_soiltotalcarbon_mean_0_20",6,30,-0.609,-0.502,-4.28,-6.77,FALSE
"gambia","child_vitA","gee_soilzinc_mean_0_20",6,30,-0.79,-0.579,-5.55,-7.81,FALSE
"gambia","child_vitA","gee_soiliron_mean_0_20",6,30,0.744,0.354,5.23,4.78,FALSE
"gambia","child_vitA","gee_soilnitrogen_mean_0_20",6,30,-0.348,-0.18,-2.45,-2.42,FALSE
"gambia","child_vitA","MAP_202206_Pf_Parasite_Rate",6,30,-0.815,-0.255,-5.73,-3.43,FALSE
"gambia","child_vitA","MAP_202106_Insecticide_Treated_Net_Use",6,30,-0.473,-0.538,-3.32,-7.25,FALSE
"gambia","child_vitA","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",6,30,0.8,0.554,5.63,7.48,FALSE
"gambia","child_vitA","MAP_201201_G6PDd_Allele_Frequency",6,30,0.477,0.405,3.35,5.46,FALSE
"gambia","women_vitA","gee_ndvi",6,30,0.843,0.337,1.41,1.66,FALSE
"gambia","women_vitA","gee_elevation",6,30,0.501,0.322,0.84,1.58,FALSE
"gambia","women_vitA","gee_popdensity",6,30,-0.647,-0.204,-1.09,-1,FALSE
"gambia","women_vitA","gee_ccnl",6,30,-0.636,-0.189,-1.07,-0.93,FALSE
"gambia","women_vitA","gee_globalhumanmodification",6,30,-0.84,-0.299,-1.41,-1.47,FALSE
"gambia","women_vitA","gee_ghsl_smod",6,30,-0.814,-0.239,-1.36,-1.18,FALSE
"gambia","women_vitA","gee_wsf",6,30,-0.771,-0.225,-1.29,-1.1,FALSE
"gambia","women_vitA","gee_trmm",6,30,-0.876,-0.391,-1.47,-1.92,FALSE
"gambia","women_vitA","gee_soiltotalcarbon_mean_0_20",6,30,-0.588,-0.357,-0.99,-1.75,FALSE
"gambia","women_vitA","gee_soilzinc_mean_0_20",6,30,-0.863,-0.485,-1.45,-2.38,FALSE
"gambia","women_vitA","gee_soiliron_mean_0_20",6,30,0.689,0.49,1.15,2.41,FALSE
"gambia","women_vitA","gee_soilnitrogen_mean_0_20",6,30,-0.282,-0.085,-0.47,-0.42,FALSE
"gambia","women_vitA","MAP_202206_Pf_Parasite_Rate",6,30,-0.924,-0.216,-1.55,-1.06,FALSE
"gambia","women_vitA","MAP_202106_Insecticide_Treated_Net_Use",6,30,-0.272,-0.533,-0.46,-2.62,FALSE
"gambia","women_vitA","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",6,30,0.783,0.422,1.31,2.07,FALSE
