"panel","model","n_surveys","n_countries","mean_prev_pp","mae_pp","rmse_pp","pearson","spearman"
"Vitamin A | Preschool-age children","null",75,53,23.6,15.24,21.62,-0.773,-0.828
"Vitamin A | Preschool-age children","ridge",75,53,23.6,12.2,16.63,0.608,0.547
"Vitamin A | Preschool-age children","rf",75,53,23.6,12.13,16.06,0.648,0.544
"Zinc | Preschool-age children","null",38,27,32.2,15.83,20.24,-0.873,-0.871
"Zinc | Preschool-age children","ridge",38,27,32.2,13.05,16.74,0.54,0.565
"Zinc | Preschool-age children","rf",38,27,32.2,14.78,19.73,0.207,0.279
"Folate | Non-pregnant women (NPW)","null",30,26,25.7,18.97,24.95,-0.83,-0.969
"Folate | Non-pregnant women (NPW)","ridge",30,26,25.7,18.45,24.08,0.246,0.272
"Folate | Non-pregnant women (NPW)","rf",30,26,25.7,14.69,20.12,0.548,0.503
"Vitamin B12 | Non-pregnant women (NPW)","null",21,19,16.1,9.72,12.54,-0.843,-0.923
"Vitamin B12 | Non-pregnant women (NPW)","ridge",21,19,16.1,10.03,13.25,-0.688,-0.922
"Vitamin B12 | Non-pregnant women (NPW)","rf",21,19,16.1,10.09,13.87,-0.5,-0.268
"Vitamin A | School-age children","null",25,21,13.2,11.12,17.79,-0.788,-0.905
"Vitamin A | School-age children","ridge",25,21,13.2,10.81,17.6,0.074,0.238
"Vitamin A | School-age children","rf",25,21,13.2,10.52,17.25,0.142,0.248
"Vitamin A | Non-pregnant women (NPW)","null",26,19,9.8,7.46,12.59,-0.69,-0.835
"Vitamin A | Non-pregnant women (NPW)","ridge",26,19,9.8,7.39,12.29,0.1,0.118
"Vitamin A | Non-pregnant women (NPW)","rf",26,19,9.8,7.41,12.51,0.077,0.078
