country,outcome,Admin1,Admin2,fold
Gambia,child_vitA,Banjul,Banjul,Gambia
Gambia,child_vitA,North Bank,Central Baddibu,Gambia
Gambia,child_vitA,Western,Foni Bintang Karanai,Gambia
Gambia,child_vitA,Western,Foni Brefet,Gambia
Gambia,child_vitA,Upper River,Fulladu East,Gambia
Gambia,child_vitA,Maccarthy Island,Fulladu West,Gambia
Gambia,child_vitA,Lower River,Jarra East,Gambia
Gambia,child_vitA,Lower River,Jarra West,Gambia
Gambia,child_vitA,North Bank,Jokadu,Gambia
Gambia,child_vitA,Banjul,Kanifing,Gambia
Gambia,child_vitA,Upper River,Kantora,Gambia
Gambia,child_vitA,Lower River,Kiang Central,Gambia
Gambia,child_vitA,Lower River,Kiang East,Gambia
Gambia,child_vitA,Western,Kombo Central,Gambia
Gambia,child_vitA,Western,Kombo East,Gambia
Gambia,child_vitA,Western,Kombo Saint Mary,Gambia
Gambia,child_vitA,Western,Kombo South,Gambia
Gambia,child_vitA,North Bank,Lower Baddibu,Gambia
Gambia,child_vitA,North Bank,Lower Nuimi,Gambia
Gambia,child_vitA,Maccarthy Island,Lower Saloum,Gambia
Gambia,child_vitA,Maccarthy Island,Niamina Dankunku,Gambia
Gambia,child_vitA,Maccarthy Island,Niamina East,Gambia
Gambia,child_vitA,Maccarthy Island,Niani,Gambia
Gambia,child_vitA,Maccarthy Island,Nianija,Gambia
Gambia,child_vitA,Maccarthy Island,Sami,Gambia
Gambia,child_vitA,Upper River,Sandu,Gambia
Gambia,child_vitA,North Bank,Upper Baddibu,Gambia
Gambia,child_vitA,North Bank,Upper Nuimi,Gambia
Gambia,child_vitA,Maccarthy Island,Upper Saloum,Gambia
Gambia,child_vitA,Upper River,Wuli,Gambia
Gambia,women_vitA,Banjul,Banjul,Gambia
Gambia,women_vitA,North Bank,Central Baddibu,Gambia
Gambia,women_vitA,Western,Foni Bintang Karanai,Gambia
Gambia,women_vitA,Western,Foni Brefet,Gambia
Gambia,women_vitA,Upper River,Fulladu East,Gambia
Gambia,women_vitA,Maccarthy Island,Fulladu West,Gambia
Gambia,women_vitA,Lower River,Jarra East,Gambia
Gambia,women_vitA,Lower River,Jarra West,Gambia
Gambia,women_vitA,North Bank,Jokadu,Gambia
Gambia,women_vitA,Banjul,Kanifing,Gambia
Gambia,women_vitA,Upper River,Kantora,Gambia
Gambia,women_vitA,Lower River,Kiang Central,Gambia
Gambia,women_vitA,Lower River,Kiang East,Gambia
Gambia,women_vitA,Western,Kombo Central,Gambia
Gambia,women_vitA,Western,Kombo East,Gambia
Gambia,women_vitA,Western,Kombo Saint Mary,Gambia
Gambia,women_vitA,Western,Kombo South,Gambia
Gambia,women_vitA,North Bank,Lower Baddibu,Gambia
Gambia,women_vitA,North Bank,Lower Nuimi,Gambia
Gambia,women_vitA,Maccarthy Island,Lower Saloum,Gambia
Gambia,women_vitA,Maccarthy Island,Niamina Dankunku,Gambia
Gambia,women_vitA,Maccarthy Island,Niamina East,Gambia
Gambia,women_vitA,Maccarthy Island,Niani,Gambia
Gambia,women_vitA,Maccarthy Island,Nianija,Gambia
Gambia,women_vitA,Maccarthy Island,Sami,Gambia
Gambia,women_vitA,Upper River,Sandu,Gambia
Gambia,women_vitA,North Bank,Upper Baddibu,Gambia
Gambia,women_vitA,North Bank,Upper Nuimi,Gambia
Gambia,women_vitA,Maccarthy Island,Upper Saloum,Gambia
Gambia,women_vitA,Upper River,Wuli,Gambia
Gambia,child_iron,Banjul,Banjul,Gambia
Gambia,child_iron,North Bank,Central Baddibu,Gambia
Gambia,child_iron,Western,Foni Bintang Karanai,Gambia
