"country","Admin1","Admin2","gid_2","pcode","pcode_name","overlap_share","second_share","n_cod_polys","cod_level","many_to_one"
"Gambia","Banjul","Banjul","GMB.1.1_1","GM0102","Banjul North",0.707,0.171,4,2,FALSE
"Gambia","Banjul","Kanifing","GMB.1.2_1","GM0503","Mangrove",0.301,0.203,8,2,FALSE
"Gambia","Lower River","Jarra Central","GMB.2.1_1","GM0801","Jarra Central",0.902,0.085,3,2,FALSE
"Gambia","Lower River","Jarra East","GMB.2.2_1","GM0802","Jarra East",0.969,0.003,3,2,FALSE
"Gambia","Lower River","Jarra West","GMB.2.3_1","GM0803","Jarra West",0.905,0.065,3,2,FALSE
"Gambia","Lower River","Kiang Central","GMB.2.4_1","GM0804","Kiang Central",0.96,0.024,3,2,FALSE
"Gambia","Lower River","Kiang East","GMB.2.5_1","GM0805","Kiang East",0.963,0.034,3,2,FALSE
"Gambia","Lower River","Kiang West","GMB.2.6_1","GM0806","Kiang West",0.952,0.014,5,2,FALSE
"Gambia","Maccarthy Island","Fulladu West","GMB.3.1_1","GM0406","Upper Fuladu West",0.569,0.393,4,2,FALSE
"Gambia","Maccarthy Island","Janjanbureh","GMB.3.2_1","GM0402","Janjanbureh",0.841,0.091,3,2,FALSE
"Gambia","Maccarthy Island","Lower Saloum","GMB.3.3_1","GM0701","Lower Saloum",0.943,0.024,4,2,FALSE
"Gambia","Maccarthy Island","Niamina Dankunku","GMB.3.4_1","GM0403","Niamina Dankunku",0.959,0.041,2,2,FALSE
"Gambia","Maccarthy Island","Niamina East","GMB.3.5_1","GM0404","Niamina East",0.966,0.031,4,2,FALSE
"Gambia","Maccarthy Island","Niamina West","GMB.3.6_1","GM0405","Niamina West",0.937,0.027,4,2,FALSE
"Gambia","Maccarthy Island","Niani","GMB.3.7_1","GM0702","Niani",0.893,0.032,6,2,FALSE
"Gambia","Maccarthy Island","Nianija","GMB.3.8_1","GM0703","Nianija",0.766,0.227,4,2,FALSE
"Gambia","Maccarthy Island","Sami","GMB.3.9_1","GM0704","Sami",0.955,0.024,6,2,FALSE
"Gambia","Maccarthy Island","Upper Saloum","GMB.3.10_1","GM0705","Upper Saloum",0.888,0.033,7,2,FALSE
"Gambia","North Bank","Central Baddibu","GMB.4.1_1","GM0601","Central Baddibu",0.937,0.042,3,2,FALSE
"Gambia","North Bank","Jokadu","GMB.4.2_1","GM0602","Jokadu",0.96,0.028,3,2,FALSE
"Gambia","North Bank","Lower Baddibu","GMB.4.3_1","GM0603","Lower Baddibu",0.514,0.447,3,2,FALSE
"Gambia","North Bank","Lower Nuimi","GMB.4.4_1","GM0604","Lower Niumi",0.911,0.088,2,2,FALSE
"Gambia","North Bank","Upper Baddibu","GMB.4.5_1","GM0607","Sabach - Sanjal",0.478,0.475,9,2,FALSE
"Gambia","North Bank","Upper Nuimi","GMB.4.6_1","GM0606","Upper Niumi",0.965,0.001,3,2,FALSE
"Gambia","Upper River","Fulladu East","GMB.5.1_1","GM0204","Jimara",0.394,0.366,7,2,FALSE
"Gambia","Upper River","Kantora","GMB.5.2_1","GM0202","Kantora",0.955,0.013,3,2,FALSE
"Gambia","Upper River","Sandu","GMB.5.3_1","GM0203","Sandu",0.934,0.023,6,2,FALSE
"Gambia","Upper River","Wuli","GMB.5.4_1","GM0207","Wuli East",0.551,0.405,6,2,FALSE
"Gambia","Western","Foni Bintang Karanai","GMB.6.1_1","GM0301","Foni Bintang Karenai",0.892,0.074,3,2,FALSE
"Gambia","Western","Foni Bondali","GMB.6.2_1","GM0302","Foni Bondali",0.889,0.097,4,2,FALSE
"Gambia","Western","Foni Brefet","GMB.6.3_1","GM0303","Foni Brefet",0.875,0.103,3,2,FALSE
"Gambia","Western","Foni Jarrol","GMB.6.4_1","GM0304","Foni Jarrol",0.798,0.183,3,2,FALSE
"Gambia","Western","Foni Kansala","GMB.6.5_1","GM0305","Foni Kansala",0.961,0.019,4,2,FALSE
"Gambia","Western","Kombo Central","GMB.6.6_1","GM0306","Kombo Central",0.863,0.119,4,2,FALSE
"Gambia","Western","Kombo East","GMB.6.7_1","GM0307","Kombo East",0.989,0,2,2,FALSE
"Gambia","Western","Kombo Saint Mary","GMB.6.8_1","GM0308","Kombo North/St Marie",0.865,0.066,8,2,FALSE
"Gambia","Western","Kombo South","GMB.6.9_1","GM0309","Kombo South",0.934,0.058,3,2,FALSE
"Ghana","Ahafo","Asunafo North","GHA1.1_2","GH0101","Asunafo North Municipal",0.998,0.001,8,2,FALSE
"Ghana","Ahafo","Asunafo South","GHA1.2_2","GH0102","Asunafo South",0.996,0.002,6,2,FALSE
"Ghana","Ahafo","Asutifi North","GHA1.3_2","GH0103","Asutifi North",0.998,0.001,7,2,FALSE
