"source","target","method","jw"
"Mzuzu","Mzimba","alias",NA
"Balaka","Balaka","exact",NA
"Blantyre","Blantyre","exact",NA
"Chikwawa","Chikwawa","exact",NA
"Chiradzulu","Chiradzulu","exact",NA
"Chitipa","Chitipa","exact",NA
"Dedza","Dedza","exact",NA
"Dowa","Dowa","exact",NA
"Karonga","Karonga","exact",NA
"Kasungu","Kasungu","exact",NA
"Lilongwe","Lilongwe","exact",NA
"Machinga","Machinga","exact",NA
"Mangochi","Mangochi","exact",NA
"Mchinji","Mchinji","exact",NA
"Mulanje","Mulanje","exact",NA
"Mwanza","Mwanza","exact",NA
"Mzimba","Mzimba","exact",NA
"Neno","Neno","exact",NA
"Nkhatabay","Nkhata Bay","exact",NA
"Nkhotakota","Nkhotakota","exact",NA
"Nsanje","Nsanje","exact",NA
"Ntcheu","Ntcheu","exact",NA
"Ntchisi","Ntchisi","exact",NA
"Phalombe","Phalombe","exact",NA
"Rumphi","Rumphi","exact",NA
"Salima","Salima","exact",NA
"Thyolo","Thyolo","exact",NA
"Zomba","Zomba","exact",NA
