"country","programme","dhs_survey","dhs_cluster","source"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",5,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",6,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",16,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",18,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",23,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",37,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",43,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",58,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",64,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",74,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",86,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",96,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",101,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
