"mkt_name","adm1_name","adm2_name","lat","lon","n_months","fpi_cur","fpi_prev","fpi_volatility","fpi_seasonal_range","stp_cur","stp_prev","coverage","interpolated","fpi_rel_national","fpi_inflation_12m","staple_rel_national","staple_inflation_12m","country"
"Bakau","Kanifing Municipal Council","Kombo Saint Mary",13.48,-16.68,12,0.101425133317807,0.029157798508398,0.0358583670220164,0.167793456231045,3.34254965287316,3.31517881231193,36.22,0,0.0905113750876399,0.0722673348094091,-0.0563377906785969,0.0273708405612294,"Gambia"
"Banjul","Kanifing Municipal Council","Banjul",13.45,-16.58,12,0.11686843554301,0.0444100636404262,0.0549257623901612,0.242561637171311,3.33556516247037,3.32331948496648,36.22,0,0.105954677312843,0.0724583719025838,-0.0633222810813847,0.0122456775038877,"Gambia"
"Bansang","Central River","Sami",13.43,-14.65,12,0.0319832041123249,-0.0386074566945118,0.0494104357477018,0.194788325559084,3.46309017794018,3.4056316614239,36.22,0,0.0210694458821577,0.0705906608068367,0.0642027343884215,0.0574585165162769,"Gambia"
"Basse Santa su","Upper River","Wuli",13.32,-14.22,12,0.0105747311966407,-0.0243960644543341,0.0619704616520969,0.262364264467491,3.46783958732038,3.44890366156705,36.22,0,-0.000339027033526455,0.0349707956509748,0.0689521437686182,0.0189359257533295,"Gambia"
"Brikama","West Coast","Kombo Central",13.27,-16.65,12,0.07565252297828,-0.00910093316430003,0.0805344022420171,0.315638149718371,3.35844707929791,3.30884268020058,36.22,0,0.0647387647481128,0.08475345614258,-0.0404403642538478,0.0496043990973245,"Gambia"
"Brikamaba","Central River","Fulladu West",13.53,-14.93,12,-0.03269854425325,-0.105625369600392,0.0238369091037982,0.103184236235231,3.42205399196909,3.36849199084021,36.22,0,-0.0436123024834172,0.0729268253471424,0.0231665484173336,0.0535620011288849,"Gambia"
"Essau / Barra","North Bank","Lower Niumi",13.48,-16.55,12,0.0412022067922429,-0.0488244847143322,0.0367646549153024,0.106380403558572,3.4116884776397,3.33431005586351,36.22,0,0.0302884485620757,0.090026691506575,0.0128010340879405,0.0773784217761899,"Gambia"
"Farafenni","North Bank","Upper Baddibu",13.57,-15.6,12,-0.0564047171515081,-0.129167019581522,0.0477721017765315,0.182321556793955,3.46942742668921,3.39068769836143,36.22,0,-0.0673184753816753,0.0727623024300141,0.0705399831374547,0.0787397283277858,"Gambia"
"Fass Njaga Choi","North Bank","Lower Niumi",13.56,-16.43,12,-0.00498355610114138,-0.0821056062718217,0.0309515924649389,0.141650517063027,3.41640011445037,3.3388675712246,36.22,0,-0.0158973143313086,0.0771220501706803,0.0175126708986109,0.0775325432257654,"Gambia"
"Fatoto","Upper River","Kantora",13.4,-13.89,12,-0.01013762661736,-0.0652311555727773,0.033439142005791,0.143100843640673,3.41883169465268,3.40014314299007,36.22,0,-0.0210513848475272,0.0550935289554173,0.0199442511009216,0.0186885516626125,"Gambia"
"Gunjur","West Coast","Kombo South",13.18,-16.76,12,0.0821370551488704,0.0280702111745462,0.0348690491344294,0.16400297627027,3.33695413546986,3.28214703025133,36.22,0,0.0712232969187032,0.0540668439743242,-0.0619333080818922,0.054807105218531,"Gambia"
"Jarreng","Central River","Niamina East",13.62,-15.18,12,-0.0353779554585139,-0.118794863366304,0.0244883364270226,0.0943106794712413,3.41243954362478,3.35271782021049,36.22,0,-0.0462917136886811,0.08341690790779,0.0135521000730225,0.0597217234142868,"Gambia"
"Kalagi","West Coast","Foni Jarrol",13.24,-15.83,12,0.0174735093339714,-0.0689846378170301,0.030824580583852,0.099090902644231,3.41548812979433,3.35786788759474,36.22,0,0.00655975110380418,0.0864581471510015,0.0166006862425769,0.0576202421995911,"Gambia"
"Kaur Wharf Town","Central River","Lower Saloum",13.7,-15.32,12,-0.070025949589444,-0.16788132419121,0.051882311228765,0.152468593644273,3.44805189645894,3.37227389316468,36.22,0,-0.0809397078196112,0.0978553746017656,0.0491644529071849,0.0757780032942659,"Gambia"
"Ker Pate Kore","North Bank","Central Baddibu",13.59,-15.97,12,-0.0361631583950223,-0.133112336927791,0.0282795484201715,0.0953101798043248,3.39983300950372,3.32268076845147,36.22,0,-0.0470769166251895,0.0969491785327684,0.000945565951966376,0.0771522410522496,"Gambia"
"Kerewan","North Bank","Lower Baddibu",13.49,-16.09,12,-0.0397291671794017,-0.134206861689446,0.0269078468936067,0.105360515657826,3.37475364484181,3.29820635069851,36.22,0,-0.0506429254095689,0.094477694510044,-0.024133798709947,0.0765472941432992,"Gambia"
