variable_pattern,data_source,level1_domain,level2_domain,description,match_type
dhs####_FE_FRTR,DHS,Fertility,Fertility rates,Age-specific and total fertility rates,prefix
dhs####_FE_FRTY,DHS,Fertility,Fertility,Pregnancy status and children ever born,prefix
dhs####_FE_FRTT,DHS,Fertility,Fertility trends,Fertility rate trends over time,prefix
dhs####_FE_CEBA,DHS,Fertility,Children ever born,Children ever born to women,prefix
dhs####_FE_CEBM,DHS,Fertility,Children ever born,Children ever born to married women,prefix
dhs####_FE_BISP,DHS,Fertility,Birth intervals,Birth spacing intervals,prefix
dhs####_FE_BRDR,DHS,Fertility,Birth order,Birth order statistics,prefix
dhs####_FE_PPIS,DHS,Fertility,Postpartum insusceptibility,Postpartum amenorrhea and abstinence,prefix
dhs####_FE_TEEN,DHS,Fertility,Teenage pregnancy,Teenage pregnancy and childbearing,prefix
dhs####_FP_,DHS,Family Planning,Contraception,Knowledge and use of contraception,prefix
dhs####_CM_,DHS,Child Mortality,Childhood mortality,Infant and child mortality rates,prefix
dhs####_CN_BRFS,DHS,Child Nutrition,Breastfeeding,Breastfeeding status and duration,prefix
dhs####_CN_NUTS,DHS,Child Nutrition,Child nutritional status,Stunting wasting and underweight,prefix
dhs####_CN_ANMC,DHS,Child Nutrition,Anemia (children),Anemia prevalence in children,prefix
dhs####_CN_IYCF,DHS,Child Nutrition,Infant feeding,Infant and young child feeding practices,prefix
dhs####_CN_SALT,DHS,Child Nutrition,Iodized salt,Household iodized salt availability,prefix
dhs####_CN_MNIC,DHS,Child Nutrition,Micronutrient supplementation,Vitamin A and iron supplementation in children,prefix
dhs####_AN_NUTS,DHS,Adult Nutrition,Nutritional status (women),BMI and nutritional status of women,prefix
dhs####_AN_ANEM,DHS,Adult Nutrition,Anemia (women),Anemia prevalence in women,prefix
dhs####_AN_MNIM,DHS,Adult Nutrition,Micronutrient intake,Iron and vitamin A supplementation in women,prefix
dhs####_CH_VACC,DHS,Child Health,Vaccinations,Childhood vaccination coverage,prefix
dhs####_CH_DIAR,DHS,Child Health,Diarrhea,Diarrhea prevalence and treatment,prefix
dhs####_CH_FEVR,DHS,Child Health,Fever,Fever prevalence and treatment,prefix
dhs####_CH_ARI,DHS,Child Health,ARI,Acute respiratory infection prevalence,prefix
dhs####_CH_SIZE,DHS,Child Health,Birth weight,Size and weight at birth,prefix
dhs####_CH_STOL,DHS,Child Health,Sanitation behavior,Disposal of stools,prefix
dhs####_RH_ANCN,DHS,Reproductive Health,Antenatal care,Antenatal care visits and components,prefix
dhs####_RH_DELV,DHS,Reproductive Health,Delivery care,Place of delivery and assistance,prefix
dhs####_RH_PSNC,DHS,Reproductive Health,Postnatal care,Postnatal health checks,prefix
dhs####_MA_,DHS,Malaria,Malaria prevention,ITN ownership and use and malaria treatment,prefix
dhs####_WS_SRCE,DHS,Water and Sanitation,Water source,Source of drinking water,prefix
dhs####_WS_TIME,DHS,Water and Sanitation,Water access time,Time to water source,prefix
dhs####_WS_TLET,DHS,Water and Sanitation,Sanitation facility,Type of sanitation facility,prefix
dhs####_WS_HNDW,DHS,Water and Sanitation,Handwashing,Handwashing practices,prefix
dhs####_WS_WTRT,DHS,Water and Sanitation,Water treatment,Household water treatment,prefix
dhs####_HC_ELEC,DHS,Household Characteristics,Electricity,Household electricity access,prefix
dhs####_HC_FLOR,DHS,Household Characteristics,Housing quality,Floor material,prefix
dhs####_HC_ROOF,DHS,Household Characteristics,Housing quality,Roof material,prefix
dhs####_HC_WALL,DHS,Household Characteristics,Housing quality,Wall material,prefix
dhs####_HC_CKFL,DHS,Household Characteristics,Cooking fuel,Cooking fuel type,prefix
dhs####_HC_WLTH,DHS,Household Characteristics,Wealth,Wealth index quintiles,prefix
dhs####_HC_HEFF,DHS,Household Characteristics,Assets,Household assets and possessions,prefix
dhs####_HC_LIVS,DHS,Household Characteristics,Livestock,Livestock and agricultural ownership,prefix
dhs####_ED_,DHS,Education,Education and literacy,Educational attainment and media exposure,prefix
dhs####_EM_,DHS,Employment,Employment,Employment status and occupation,prefix
dhs####_WE_,DHS,Women's Empowerment,Empowerment,Decision-making and asset ownership,prefix
dhs####_DV_,DHS,Domestic Violence,Violence,Domestic and sexual violence,prefix
dhs####_HA_HIVR,DHS,HIV/AIDS,HIV prevalence,HIV testing and prevalence,prefix
