Admin2,n_sl,sl_prev,obs_prev_sl,n_svy,svy_prev,svy_prev_se,svy_prev_low,svy_prev_upp,svy_cv,svy_ci_width,boot_mean,ci_lo,ci_hi,ci_width,abs_error,bias
Kombo East,20,0.12266028397579441,0.2,20,0.2,1.387778780781446e-17,0.19999999999999998,0.20000000000000004,6.93889390390723e-17,5.551115123125783e-17,NA,NA,NA,NA,0.0773397160242056,-0.0773397160242056
Kantora,16,0.5423026896040735,0.6,15,0.6,2.775557561562892e-17,0.6,0.6,4.625929269271487e-17,0,NA,NA,NA,NA,0.057697310395926515,-0.057697310395926515
Sandu,16,0.3034707678888124,0.25,16,0.25,0,0.25,0.25,0,0,NA,NA,NA,NA,0.05347076788881239,0.05347076788881239
Lower Baddibu,9,0.17540978614623154,0.125,8,0.125,0,0.125,0.125,0,0,NA,NA,NA,NA,0.05040978614623154,0.05040978614623154
Kombo Central,27,0.2397396040280068,0.2886387041728043,26,0.2886387041728043,0.10147504051116246,0.08620153735723951,0.4910758709883691,0.3515642186725265,0.40487433363112957,NA,NA,NA,NA,0.04889910014479751,-0.04889910014479751
Foni Brefet,12,0.045570115384117975,0,12,0,0,0,0,NA,0,NA,NA,NA,NA,0.045570115384117975,0.045570115384117975
Lower Nuimi,13,0.030016719240429438,0.07460047324676089,13,0.07460047324676089,0.04284473889390319,-0.01087244217109802,0.1600733886646198,0.5743226152491396,0.1709458308357178,NA,NA,NA,NA,0.04458375400633145,-0.04458375400633145
Sami,18,0.4214938521251582,0.38888888888888895,18,0.3888888888888889,6.93889390390723e-18,0.3888888888888889,0.3888888888888889,1.7842870038618592e-17,0,NA,NA,NA,NA,0.032604963236269324,0.032604963236269324
Wuli,9,0.15664204104713855,0.125,8,0.125,1.387778780781446e-17,0.12499999999999997,0.12500000000000003,1.1102230246251568e-16,5.551115123125783e-17,NA,NA,NA,NA,0.03164204104713855,0.03164204104713855
Fulladu East,124,0.30584269026282956,0.33362058223513946,123,0.33362058223513946,0.03931834744359436,0.2551826252729475,0.41205853919733143,0.1178534824805334,0.15687591392438394,NA,NA,NA,NA,0.027777891972309898,-0.027777891972309898
Jarra West,35,0.10295129286745264,0.13033908982116216,35,0.13033908982116216,0.029891351792994087,0.07070747461037108,0.18997070503195324,0.2293352810274179,0.11926323042158216,NA,NA,NA,NA,0.02738779695370952,-0.02738779695370952
Kombo South,19,0.1320912611513441,0.10526315789473685,19,0.10526315789473685,2.6020852139652126e-18,0.10526315789473685,0.10526315789473685,2.4719809532669517e-17,0,NA,NA,NA,NA,0.02682810325660724,0.02682810325660724
Banjul,97,0.15126724061778132,0.1250124120973063,96,0.1250124120973063,0.039210857672113596,0.046788891361900814,0.20323593283271177,0.3136557163747302,0.15644704147081095,NA,NA,NA,NA,0.026254828520475032,0.026254828520475032
