"domain","n_vars","n_perm_valid","baseline_auc","perm_auc","auc_drop","auc_drop_lo","auc_drop_hi","baseline_brier","perm_brier","brier_increase"
"Accepting attitudes toward those living with HIV/AIDS",3,10,0.77507229232387,0.841392158052253,-0.066319865728383,-0.0667741572636091,-0.0658583070452156,0.124754603423739,0.111974647211551,-0.0127799562121884
"Adult support of education about condom use to prevent AIDS",1,10,0.77507229232387,0.841300907951145,-0.0662286156272749,-0.0665267582706464,-0.0658554633786298,0.124754603423739,0.111937433938883,-0.0128171694848563
"Age difference between partners (women 15-24)",1,10,0.77507229232387,0.841293830380975,-0.0662215380571058,-0.0665635995510797,-0.0659678198050635,0.124754603423739,0.111935777695699,-0.0128188257280396
"Age of population",7,10,0.77507229232387,0.841094394564426,-0.0660221022405565,-0.0666989580805629,-0.0654237315983175,0.124754603423739,0.111967590857605,-0.012787012566134
"Antenatal care services (of those receiving ANC)",1,10,0.77507229232387,0.841272344900105,-0.0662000525762355,-0.0666956088732509,-0.0657164396788805,0.124754603423739,0.111942645048406,-0.0128119583753332
"Attitudes toward negotiating safer sexual relations with husband",1,10,0.77507229232387,0.841335284720537,-0.0662629923966674,-0.0666387355415351,-0.0659052591401764,0.124754603423739,0.111940130008263,-0.0128144734154763
"Birth order",1,10,0.77507229232387,0.841519301544932,-0.0664470092210628,-0.0667646783749899,-0.0659432378872442,0.124754603423739,0.111932100903928,-0.0128225025198113
"Child's size and weight at birth",2,10,0.77507229232387,0.841250101108145,-0.0661778087842756,-0.0666807586144139,-0.065839665230931,0.124754603423739,0.111940428976269,-0.0128141744474705
"Children's living arrangements and orphanhood",2,10,0.77507229232387,0.841294841462428,-0.0662225491385585,-0.0666013887203752,-0.0659422899983823,0.124754603423739,0.111942034524061,-0.0128125688996783
"Contact of nonusers with family planning providers",1,10,0.77507229232387,0.841160620399579,-0.0660883280757097,-0.066443217665615,-0.0656617780878427,0.124754603423739,0.111937941814774,-0.0128166616089651
"Cooking fuel",2,10,0.77507229232387,0.841273608751921,-0.0662013164280514,-0.0665977867426999,-0.0657336280635769,0.124754603423739,0.111939895651076,-0.0128147077726634
"Coverage of prior HIV testing",1,10,0.77507229232387,0.841092625171884,-0.0660203328480142,-0.0664090936665858,-0.0655863261344334,0.124754603423739,0.111938636215566,-0.0128159672081728
"Coverage of survey HIV testing",6,10,0.77507229232387,0.841155312221953,-0.066083019898083,-0.0664418274286177,-0.0657657930922915,0.124754603423739,0.111964763374622,-0.0127898400491168
"Current marital status - Youth",1,10,0.77507229232387,0.841346912157243,-0.0662746198333737,-0.0667050245692792,-0.0659174553101998,0.124754603423739,0.11193421952252,-0.012820383901219
"Current use of contraception by currently married women",1,10,0.77507229232387,0.841414654614576,-0.0663423622907061,-0.0666029053425544,-0.0658934421256976,0.124754603423739,0.111932806467033,-0.0128217969567061
"Current use of contraception by sexually active unmarried women",1,10,0.77507229232387,0.84108276712772,-0.0660104748038501,-0.0672296494580603,-0.0635889347245814,0.124754603423739,0.112289808674868,-0.0124647947488713
"Decisionmaking about family planning",1,10,0.77507229232387,0.841316579713662,-0.066244287389792,-0.0665412293739382,-0.0658615930599368,0.124754603423739,0.111996886226121,-0.0127577171976178
"Diagnosis and treatment of children with fever",1,10,0.77507229232387,0.841246056782334,-0.0661737644584647,-0.0666324162824558,-0.0656383336366578,0.124754603423739,0.111948038181225,-0.0128065652425141
"Disposal of children's stools",1,6,0.77507229232387,0.84127327172477,-0.0662009794009005,-0.0664040382593222,-0.066031201973631,0.124754603423739,0.111933436028409,-0.0128211673953296
"Employment status",2,8,0.77507229232387,0.84131329369894,-0.0662410013750707,-0.0666077711720455,-0.065715997330745,0.124754603423739,0.111945579728812,-0.0128090236949274
"Feeding practices during diarrhea",7,10,0.77507229232387,0.841320876809836,-0.0662485844859662,-0.0667989287592009,-0.0658574223489444,0.124754603423739,0.111992567756248,-0.0127620356674907
"Fertility",2,10,0.77507229232387,0.841417940629297,-0.0663456483054274,-0.0667630353676292,-0.0656419356143331,0.124754603423739,0.111949290961423,-0.0128053124623162
"Fertility rates",2,10,0.77507229232387,0.841485430316266,-0.0664131379923966,-0.0669172252891693,-0.0659239641470517,0.124754603423739,0.111933105443261,-0.012821497980478
"First sexual intercourse by exact age (age 20-24)",1,10,0.77507229232387,0.841314136266818,-0.066241843942948,-0.0664437232063414,-0.0658825730000808,0.124754603423739,0.111934102602612,-0.0128205008211267
"Flooring material",1,8,0.77507229232387,0.841217240960932,-0.0661449486370621,-0.066263118781849,-0.0659427323465177,0.124754603423739,0.111933922606822,-0.0128206808169176
"Handwashing",2,1,0.77507229232387,0.84036034942975,-0.0652880571058804,-0.0652880571058804,-0.0652880571058804,0.124754603423739,0.112354049351088,-0.0124005540726509
"Health insurance coverage",1,7,0.77507229232387,0.841291266567292,-0.0662189742434222,-0.0664202155625656,-0.0659063334142199,0.124754603423739,0.111936263389614,-0.0128183400341247
"Highest level of schooling",3,6,0.77507229232387,0.841296105314244,-0.0662238129903745,-0.0667566529159589,-0.0658186220981962,0.124754603423739,0.11196707381429,-0.0127875296094494
"HIV prevalence among young people",1,5,0.77507229232387,0.841294588692065,-0.0662222963681953,-0.0665205653967483,-0.0658016864838631,0.124754603423739,0.111932477799337,-0.0128221256244019
"Household effects",1,3,0.77507229232387,0.841335200463749,-0.0662629081398797,-0.0665069157971365,-0.0660482639731456,0.124754603423739,0.11196716144069,-0.0127874419830492
"Household possession of mosquito nets",1,1,0.77507229232387,0.841267795033568,-0.0661955027096982,-0.0661955027096982,-0.0661955027096982,0.124754603423739,0.111943192478487,-0.0128114109452524
"Household sanitation facilities",4,5,0.77507229232387,0.841437656717625,-0.0663653643937555,-0.0666593363261343,-0.0659738231011889,0.124754603423739,0.111948973320794,-0.0128056301029447
"Infant and young child feeding practices",2,9,0.77507229232387,0.8412888592305,-0.0662165669066299,-0.066937636495996,-0.0657531545741324,0.124754603423739,0.11194469683794,-0.0128099065857996
"Influenza",1,10,0.77507229232387,0.840431377901804,-0.0653590855779341,-0.0662752517592817,-0.0645474399417617,0.124754603423739,0.112108254546322,-0.0126463488774168
"Interview date and duration",5,10,0.77507229232387,0.841411621370218,-0.066339329046348,-0.066763414523174,-0.0659666191458383,0.124754603423739,0.111964306097058,-0.012790297326681
"Knowledge of HIV prevention methods",1,9,0.77507229232387,0.841307877191158,-0.0662355848672883,-0.0667675220415757,-0.0658674067782899,0.124754603423739,0.11194405327276,-0.0128105501509794
"Knowledge of prevention of mother-to-child transmission of HIV",3,10,0.77507229232387,0.841216735420205,-0.0661444430963358,-0.0669673370136697,-0.0654851547965704,0.124754603423739,0.111996284088022,-0.012758319335717
"Literacy",4,10,0.77507229232387,0.841283972336811,-0.0662116800129418,-0.0667488170347003,-0.0656481916808217,0.124754603423739,0.111963423256303,-0.0127911801674358
"Literacy - Youth",2,10,0.77507229232387,0.841258695300493,-0.0661864029766238,-0.0665650529806682,-0.0657789371511769,0.124754603423739,0.111941323962289,-0.0128132794614497
"Livelihoods",26,10,0.77507229232387,0.840973823101189,-0.0659015307773194,-0.06666533962226,-0.064581879903745,0.124754603423739,0.112576538554881,-0.0121780648688584
"MAP (other)",5,10,0.77507229232387,0.834819875839198,-0.0597475835153279,-0.0609689067176252,-0.0577650423643129,0.124754603423739,0.113773844359371,-0.0109807590643682
"Market access",19,10,0.77507229232387,0.82720390479657,-0.0521316124727008,-0.0560465198576396,-0.0484845152875516,0.124754603423739,0.116808727650105,-0.00794587577363455
"Median age at first marriage",1,10,0.77507229232387,0.841384069400631,-0.0663117770767613,-0.066615354282941,-0.0660243139812343,0.124754603423739,0.11193831057616,-0.0128162928475791
"Median age at first sexual intercourse",4,10,0.77507229232387,0.841469505783386,-0.0663972134595162,-0.0668321048693682,-0.0656809886354445,0.124754603423739,0.11196079466468,-0.012793808759059
"MICS indicators",25,10,0.77507229232387,0.841504388093505,-0.0664320957696352,-0.0672280696432904,-0.0651192065032759,0.124754603423739,0.112272770013805,-0.012481833409934
"Need and demand for family planning for all young women age 15-24",1,10,0.77507229232387,0.841244792930518,-0.0661725006066488,-0.0663361062242174,-0.0659906323303405,0.124754603423739,0.111934595108385,-0.012820008315354
"Need and demand for family planning for currently married young women age 15-24",1,10,0.77507229232387,0.841202833050231,-0.0661305407263609,-0.066613521697808,-0.0656830107983499,0.124754603423739,0.111938880802271,-0.0128157226214677
"Need and demand for family planning for sexually active unmarried women",2,10,0.77507229232387,0.841419204481113,-0.0663469121572434,-0.0669881273760414,-0.0658458581048289,0.124754603423739,0.11194159440355,-0.0128130090201894
"Need and demand for family planning for sexually active unmarried women age 15-24",1,10,0.77507229232387,0.841378255682278,-0.0663059633584081,-0.0668301458990537,-0.0658815619186282,0.124754603423739,0.111937713462064,-0.012816889961675
"Net attendance ratio - primary",2,10,0.77507229232387,0.841242265226887,-0.0661699729030171,-0.0666334273639083,-0.0657343231820755,0.124754603423739,0.112054778646276,-0.0126998247774635
"Number of antenatal care visits",2,10,0.77507229232387,0.841185391895171,-0.0661130995713014,-0.0676428658092695,-0.0645157804537734,0.124754603423739,0.112194296268618,-0.0125603071551207
"Number of usual members",1,10,0.77507229232387,0.841411368599854,-0.0663390762759848,-0.0674163203712691,-0.0657192201528755,0.124754603423739,0.11200921449017,-0.0127453889335695
"Nutritional status",1,10,0.77507229232387,0.841233165493812,-0.0661608731699425,-0.0666382300008088,-0.0659051327549947,0.124754603423739,0.111941565614956,-0.0128130378087831
"Nutritional status of children",1,10,0.77507229232387,0.841309754913856,-0.0662374625899862,-0.0671683526449891,-0.0653682485035995,0.124754603423739,0.111961768173431,-0.0127928352503083
"Occupation",2,10,0.77507229232387,0.841185139124808,-0.0661128468009382,-0.0667324501536842,-0.0655116956847043,0.124754603423739,0.111945500298687,-0.0128091031250518
"Ownership of assets",3,10,0.77507229232387,0.841224065760738,-0.0661517734368681,-0.0667185477837094,-0.0655696432904634,0.124754603423739,0.111964254959869,-0.0127903484638698
"Payment for sexual intercourse and condom use at last paid sexual intercourse",1,10,0.77507229232387,0.841439931650894,-0.0663676393270242,-0.0668530848095122,-0.0659588464571707,0.124754603423739,0.111940224261764,-0.0128143791619747
"Persons per sleeping room",8,10,0.77507229232387,0.841332757016905,-0.0662604646930357,-0.0668070806034133,-0.0657575148628973,0.124754603423739,0.111969040573675,-0.012785562850064
"Possession and observation of vaccination cards",2,10,0.77507229232387,0.841284730647901,-0.0662124383240313,-0.0668433531505298,-0.0656164690002426,0.124754603423739,0.11194201982201,-0.0128125836017294
"Precipitation",6,10,0.77507229232387,0.833201639974116,-0.0581293476502467,-0.0607067206584162,-0.0548048486411065,0.124754603423739,0.115126608731388,-0.00962799469235104
