iso3,analysis_group,region_number,year,pop_under5,pop_npw_15_49,sdi
AFG,South Asia,6,2000,4166247,3622918,-0.4259883463382721
AFG,South Asia,6,2001,4324644,3780369,-0.42511865496635437
AFG,South Asia,6,2002,4486513,3983281.5,-0.4172796905040741
AFG,South Asia,6,2003,4647080,4213342.5,-0.40842559933662415
AFG,South Asia,6,2004,4789353,4446121,-0.40174514055252075
AFG,South Asia,6,2005,4898190,4666328.5,-0.3934910297393799
AFG,South Asia,6,2006,5022432,4818329.5,-0.38515278697013855
AFG,South Asia,6,2007,5112694,4950467.5,-0.3761552572250366
AFG,South Asia,6,2008,5180139,5078747.5,-0.36682888865470886
AFG,South Asia,6,2009,5242269,5225810.5,-0.35676559805870056
AFG,South Asia,6,2010,5315605,5406290.5,-0.34642139077186584
AFG,South Asia,6,2011,5365812,5662237,-0.33571887016296387
AFG,South Asia,6,2012,5408414,5960910.5,-0.3248482942581177
AFG,South Asia,6,2013,5444573,6289362,-0.31422796845436096
AFG,South Asia,6,2014,5475260,6628212,-0.30422887206077576
AFG,South Asia,6,2015,5500914,6964029.5,-0.2951786518096924
AFG,South Asia,6,2016,5528751,7273275,-0.2864764630794525
AFG,South Asia,6,2017,5562987,7571328,-0.2778175175189972
AFG,South Asia,6,2018,5601443,7865252,-0.2694298028945923
AFG,South Asia,6,2019,5638782,8165740.5,-0.2628508508205414
AFG,South Asia,6,2020,5672509,8479045,-0.2628508508205414
AFG,South Asia,6,2021,5724647,8800061,-0.2628508508205414
AFG,South Asia,6,2022,5758824,9132645,-0.2628508508205414
AFG,South Asia,6,2023,5779595,9471978,-0.2628508508205414
AFG,South Asia,6,2024,5795657,9810248,-0.2628508508205414
AFG,South Asia,6,2025,5814358,10142924,-0.2628508508205414
AFG,South Asia,6,2026,5840911,10472418,-0.2628508508205414
AFG,South Asia,6,2027,5859380,10796554,-0.2628508508205414
AFG,South Asia,6,2028,5872838,11115502,-0.2628508508205414
AFG,South Asia,6,2029,5883094,11430851,-0.2628508508205414
AFG,South Asia,6,2030,5892526,11743697,-0.2628508508205414
AGO,Sub-Saharan Africa,7,2000,3082554,3111424,-0.30119991302490234
AGO,Sub-Saharan Africa,7,2001,3192809,3235443.75,-0.29871851205825806
AGO,Sub-Saharan Africa,7,2002,3302279,3368794.75,-0.29577431082725525
AGO,Sub-Saharan Africa,7,2003,3415317,3510582.25,-0.2905265688896179
AGO,Sub-Saharan Africa,7,2004,3537941,3659276,-0.28300154209136963
AGO,Sub-Saharan Africa,7,2005,3676787,3813696.75,-0.27725517749786377
AGO,Sub-Saharan Africa,7,2006,3838602,3965914,-0.2704799473285675
AGO,Sub-Saharan Africa,7,2007,3998054,4126193,-0.26569029688835144
AGO,Sub-Saharan Africa,7,2008,4156762,4293277,-0.2589121460914612
AGO,Sub-Saharan Africa,7,2009,4314412,4466167,-0.24661000072956085
AGO,Sub-Saharan Africa,7,2010,4472076,4644806.5,-0.23507635295391083
AGO,Sub-Saharan Africa,7,2011,4645824,4817027.5,-0.2227085381746292
AGO,Sub-Saharan Africa,7,2012,4798718,4998435,-0.21043215692043304
AGO,Sub-Saharan Africa,7,2013,4936335,5188814.5,-0.19993294775485992
AGO,Sub-Saharan Africa,7,2014,5065476,5388592,-0.18692515790462494
AGO,Sub-Saharan Africa,7,2015,5192358,5598693.5,-0.17218317091464996
AGO,Sub-Saharan Africa,7,2016,5318678,5815693.5,-0.1596456617116928
AGO,Sub-Saharan Africa,7,2017,5437118,6042536.5,-0.14796991646289825
AGO,Sub-Saharan Africa,7,2018,5552546,6279270,-0.1373014897108078
AGO,Sub-Saharan Africa,7,2019,5670471,6525457,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2020,5795004,6780691.5,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2021,5918800,7043122,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2022,6057972,7313602.5,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2023,6208891,7593586,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2024,6365659,7884406.5,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2025,6524611,8186293,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2026,6701428,8491511,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2027,6869181,8809133,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2028,7031317,9136713,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2029,7194201,9470874,-0.13023309409618378
AGO,Sub-Saharan Africa,7,2030,7363393,9809757,-0.13023309409618378
ALB,Europe & Central Asia,2,2000,279835,768550.125,-0.02504412643611431
ALB,Europe & Central Asia,2,2001,267993,772322.9375,-0.01651410572230816
ALB,Europe & Central Asia,2,2002,255866,777220.0625,-0.00507216015830636
ALB,Europe & Central Asia,2,2003,243527,782044.625,0.0024802254047244787
ALB,Europe & Central Asia,2,2004,231341,784962.625,0.012059526517987251
ALB,Europe & Central Asia,2,2005,219405,784755.8125,0.021420078352093697
ALB,Europe & Central Asia,2,2006,207542,779623.0625,0.03099765069782734
ALB,Europe & Central Asia,2,2007,196759,769732.4375,0.03874196112155914
ALB,Europe & Central Asia,2,2008,187163,756424.0625,0.04393287003040314
ALB,Europe & Central Asia,2,2009,179312,741316.875,0.048235490918159485
ALB,Europe & Central Asia,2,2010,173861,725648.375,0.05122639238834381
ALB,Europe & Central Asia,2,2011,170685,716354.9375,0.054206088185310364
ALB,Europe & Central Asia,2,2012,169675,706418.4375,0.05708707869052887
ALB,Europe & Central Asia,2,2013,170014,695905.6875,0.060108914971351624
ALB,Europe & Central Asia,2,2014,170558,685056.0625,0.06442888081073761
ALB,Europe & Central Asia,2,2015,171038,674117.9375,0.0701388269662857
ALB,Europe & Central Asia,2,2016,176517,666996.6875,0.07523180544376373
ALB,Europe & Central Asia,2,2017,176522,661561.875,0.07974310219287872
ALB,Europe & Central Asia,2,2018,173110,656634.8125,0.08444763720035553
ALB,Europe & Central Asia,2,2019,169053,650804.4375,0.08873815834522247
ALB,Europe & Central Asia,2,2020,166278,643404.25,0.08873815834522247
ALB,Europe & Central Asia,2,2021,162023,635976.0625,0.08873815834522247
ALB,Europe & Central Asia,2,2022,159440,626817.5625,0.08873815834522247
ALB,Europe & Central Asia,2,2023,158030,616928.25,0.08873815834522247
ALB,Europe & Central Asia,2,2024,156379,607817.5625,0.08873815834522247
ALB,Europe & Central Asia,2,2025,153570,600319.4375,0.08873815834522247
ALB,Europe & Central Asia,2,2026,150510,595063.3125,0.08873815834522247
ALB,Europe & Central Asia,2,2027,146495,591104.5,0.08873815834522247
ALB,Europe & Central Asia,2,2028,141722,588202.8125,0.08873815834522247
ALB,Europe & Central Asia,2,2029,136873,585776.5625,0.08873815834522247
ALB,Europe & Central Asia,2,2030,132405,583406.9375,0.08873815834522247
ARE,High Income,3,2000,266426,542460.125,0.15739096701145172
ARE,High Income,3,2001,255341,591137.875,0.16947950422763824
ARE,High Income,3,2002,251751,640839.75,0.18042637407779694
ARE,High Income,3,2003,256148,695112.75,0.18976761400699615
ARE,High Income,3,2004,271206,759480.9375,0.19844849407672882
ARE,High Income,3,2005,299512,837450.75,0.20754201710224152
ARE,High Income,3,2006,319169,943358.25,0.21652354300022125
ARE,High Income,3,2007,351148,1064440.125,0.22891224920749664
ARE,High Income,3,2008,388511,1192645.625,0.23976661264896393
ARE,High Income,3,2009,421302,1318439.875,0.24939437210559845
ARE,High Income,3,2010,441727,1435555.25,0.25492945313453674
ARE,High Income,3,2011,477963,1537191.875,0.2591949999332428
ARE,High Income,3,2012,498557,1630090.75,0.26242002844810486
ARE,High Income,3,2013,505841,1712209.25,0.2651385962963104
ARE,High Income,3,2014,506263,1783490.125,0.26637914776802063
ARE,High Income,3,2015,505521,1845252.625,0.26859357953071594
