country,year,Indicator,mn_group,Population,Mean,Geomean,Median,Prevalenceofdeficiency,Prevalenceofmarginaldeficienc,Prevalenceofinsufficiency,Prevalenceofinadequacy,Prevalenceoflowvalues,Prevalenceofmarginalvalues,Prevalenceofelevated,Prevalenceofexcess,PrevalenceofseverevitaminAd,Prevalenceofmicrocyticanaemia,Prevalenceofmacrocyticanaemia,PrevalenceofmildlyelevatedHc,Prevalencep97byage,Prevalencep97byBSA,PrevalenceofMyexoedematous,Prevalenceofneurological,Dataadjustedfor,Surveymethodology,Agefrom,Ageto
Ethiopia,2015,Zinc (plasma or serum),Zinc,Non-pregnant women (NPW),NA,NA,NA,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,15,19
Ethiopia,2015,Zinc (plasma or serum),Zinc,Non-pregnant women (NPW),NA,NA,12.5,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,15,49
Ethiopia,2015,Zinc (plasma or serum),Zinc,Non-pregnant women (NPW),NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,20,29
Ethiopia,2015,Zinc (plasma or serum),Zinc,Non-pregnant women (NPW),NA,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,30,39
Ethiopia,2015,Zinc (plasma or serum),Zinc,Non-pregnant women (NPW),NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,40,49
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,6,11
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,11.77,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,6,59
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,12,23
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,24,35
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,36,47
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,48,59
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,6,59
Ethiopia,2015,Zinc (plasma or serum),Zinc,Preschool-age children,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,6,59
Ethiopia,2015,Zinc (plasma or serum),Zinc,School-age children,NA,NA,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Specified,Survey representative nationally and of 9 regions and two city administrations of Ethiopia. Survey used stratified sampling in each of the 9 regions and administrations with standard probability proportional to size methodology.,5,8
