"Admin1","Admin2","n_psu","y_prev","pred","jk","r_survey","r_model","r_jk"
"Ahafo","Asunafo North",1,0,-2.73803754728744,-1.66445327189492,68.5,38,31
"Ahafo","Tano North",2,0.172896872182537,-2.77684897676417,-4.27410278889042,35,39,73
"Ashanti","Adansi Asokwa",1,0.125,-3.43826947157941,-2.29788197538745,47,56,50
"Ashanti","Asante-Akim South",1,0.153846153846154,-3.09140313627149,-2.28985066524848,44.5,43,49
"Ashanti","Asokore-Mampong",1,0.277777777777778,-3.20203329515964,-2.3336303293941,23,46,51
"Ashanti","Asokwa",1,0.4,-3.25604785515656,-2.22344232306179,12,49,46
"Ashanti","Atwima-Mponua",2,0.0923449388978557,-3.05559788024934,-2.13382294952124,55,42,44
"Ashanti","Atwima-Nwabiagya South",1,0.181818181818182,-3.17882391029742,-2.25071333960051,33.5,45,48
"Ashanti","Bekwai",1,0,-3.14612459675413,-1.88000294593084,68.5,44,38
"Ashanti","Kumasi",2,0.25,-3.28720494038319,-2.23125802480739,27.5,50,47
"Ashanti","Kwadaso",1,0.181818181818182,-3.40509779231576,-2.37060690278094,33.5,54,52
"Ashanti","Obuasi",1,0.0588235294117647,-3.50246493439847,-2.11218310891303,60,60,43
"Ashanti","Sekyere Kumawu",1,0.166666666666667,-2.66166143292971,-2.15463234269523,38.5,35,45
"Ashanti","Sekyere South",1,0,-2.79374434140857,-1.8551832878628,68.5,40,37
"Bono","Dormaa West",1,0.25,-2.69046501376314,-1.92135414368607,27.5,37,40
"Bono","Sunyani West",1,0.166666666666667,-2.67267706696675,-1.82099597126367,38.5,36,36
"Bono","Wenchi",1,0.0909090909090909,-1.71648197430117,-1.430648944116,56.5,30,25
"Bono East","Kintampo North",1,0.421052631578947,-1.06908325826019,-1.5063758904465,10,26,29
"Bono East","Sene West",1,0.214285714285714,-1.31737569277981,-1.10554923740204,30,28,17
"Bono East","Techiman",1,0.153846153846154,-2.46646272587569,-1.02117286405454,44.5,33,16
"Central","Agona West",1,0.19047619047619,-3.63769821948127,-3.95912712932241,32,63,71
"Central","Asikuma-Odoben-Brakwa",1,0.157894736842105,-3.66693570309006,-4.00738305733675,43,66,72
"Central","Awutu Senya West",1,0.166666666666667,-3.34076030513905,-3.88577091254806,38.5,52,70
"Central","Mfantseman",1,0,-3.65119657984214,-3.11405100638904,68.5,65,60
"Central","Twifo-Atti-Morkwa",1,0,-3.7091735222265,-3.17651741393653,68.5,67,63
"Central","Twifo-Hemang-Lower Denkyira",1,0,-3.75103246615278,-2.90154263237211,68.5,68,56
"Eastern","Abuakwa South",1,0.166666666666667,-3.64051844032836,-1.25967461924935,38.5,64,21
"Eastern","Akwapem North",2,0.0965903069269728,-3.52292339033677,-0.982761815563558,54,61,15
"Eastern","Atiwa East",1,0.4,-3.20978083298187,-1.47778978464705,12,47,28
"Eastern","Denkyembour",1,0.285714285714286,-3.36450490704497,-1.30165410387899,20,53,22
"Eastern","Kwahu Afram Plains North",3,0.261923351650394,-1.59835850299298,-1.38774762629494,24,29,24
"Greater Accra","Ablekuma Central",1,0.166666666666667,-3.90100929355406,-3.10565057630233,38.5,70,59
"Greater Accra","Ablekuma North",2,0.201663631849032,-3.87557709082444,-3.21761684529318,31,69,64
"Greater Accra","Ashaiman",1,0,-3.44232574376855,-2.64031969376634,68.5,57,54
"Greater Accra","Ayawaso West",1,0,-3.31424790407927,-2.47694767310195,68.5,51,53
"Greater Accra","Ga East",1,0.333333333333333,-3.9355538220459,-3.29798045680724,17.5,72,65
"Greater Accra","La-Dade-Kotopon",1,0,-3.40931566389944,-2.64656560797459,68.5,55,55
"Greater Accra","Tema West",1,0.1,-3.44512434847408,-3.05013687570423,52.5,58,58
"Greater Accra","Weija Gbawe",3,0.162653605501566,-3.47375449288951,-3.17486062075454,42,59,62
"North East","Chereponi",1,0.166666666666667,0.808786233859767,-1.67712776120759,38.5,5,32
"North East","West Mamprusi",1,0.260869565217391,0.728997076147945,-1.90333124488516,25,6,39
"North East","Yunyoo-Nasuan",1,0.1,0.866972835957805,-1.35384509551143,52.5,3,23
"Northern","Gushegu",1,0.4,0.876143901739917,0.180760397359094,12,2,2
"Northern","Kpandai",1,0.666666666666667,-0.143344100375399,0.0390466241136751,4,22,6
"Northern","Nanumba South",1,0.454545454545455,0.220227856202902,0.152450276177645,8,14,4
"Northern","Sagnerigu",2,0.279507682074777,-0.236316303638784,0.296232872882964,22,23,1
"Northern","Savelugu",1,0.705882352941177,0.492846296098545,0.0248052388763148,2,9,7
"Northern","Tamale",1,0.76,-0.088767851213546,-0.0781293487693999,1,21,9
"Northern","Tatale Sanguli",1,0.36,0.0491539296610911,0.171773127055139,15,19,3
"Northern","Tolon",1,0.53125,0.46019061350612,0.0847754107951536,6,11,5
"Oti","Nkwanta South",1,0.0714285714285714,-1.12361482636675,-1.97918762551086,59,27,42
"Savannah","Bole",1,0.25,-0.367875140144274,-1.47567972038575,27.5,25,27
"Savannah","Central Gonja",2,0.432776451869531,0.099163367731496,-1.7428957283037,9,16,34
"Savannah","North East Gonja",1,0.0909090909090909,0.0700310062799749,-1.23997413637484,56.5,17,20
"Savannah","Sawla-Tuna-Kalba",1,0.111111111111111,0.0385032082046491,-1.21764497358657,50,20,19
"Upper East","Bawku West",1,0.333333333333333,0.865109959924291,-0.154619634090387,17.5,4,10
"Upper East","Binduri",2,0.669477234401349,1.10951207811151,-0.475763086991541,3,1,13
"Upper East","Builsa South",1,0.285714285714286,0.515362835914623,-0.0312776860731124,20,8,8
"Upper East","Kasena Nankana East",2,0.390446202288611,0.211666784126758,-0.157160478902748,14,15,11
"Upper East","Talensi",1,0.538461538461539,0.711194801246423,-0.321158759562248,5,7,12
"Upper West","Jirapa",1,0.111111111111111,0.48210869857869,-1.17089564986031,50,10,18
"Upper West","Lambussie-Karni",1,0.285714285714286,0.366342246031264,-1.55933723346212,20,12,30
"Upper West","Sissala East",1,0.529411764705882,0.234290384546817,-1.72423807969481,7,13,33
"Upper West","Wa East",1,0.357142857142857,0.0517005691486818,-1.43294942740214,16,18,26
"Upper West","Wa Municipal",2,0.0502114164904863,-0.236634197117749,-0.923292764581197,61,24,14
"Volta","Afadzato South",1,0.0869565217391304,-2.5454026699448,-2.9042805949134,58,34,57
"Volta","Akatsi South",1,0.125,-2.11034755806304,-3.12416541698818,47,31,61
"Volta","Ho Municipal",1,0,-2.93566895758412,-1.783904806553,68.5,41,35
"Volta","South Tongu",1,0.25,-2.4378117708969,-3.44705406256625,27.5,32,66
"Western","Effia Kwesimintsim",1,0,-4.4111233780388,-3.71545681593841,68.5,75,69
"Western","Ellembelle",1,0.111111111111111,-3.98582536768326,-4.48435111143777,50,74,75
"Western","Jomoro",1,0.125,-3.62777356415849,-4.35592803383647,47,62,74
"Western","Mpohor",2,0,-3.91922842449314,-3.4911844092886,68.5,71,67
"Western","Prestea-Huni Valley",1,0,-3.95984010533693,-3.4922971708938,68.5,73,68
"Western North","Sefwi-Akontombra",1,0,-3.21962327667232,-1.93416282455395,68.5,48,41
