country,outcome,arm,n_admin2,pearson_r,r_max,r_share,mae_pp,bias_pp
Gambia,child_vitA,"admin-2 fit (LORO), unbenchmarked",30,0.278,0.671,0.41,11.27,-2.43
Gambia,child_vitA,admin-2 fit + national benchmark,30,0.37,0.671,0.55,16.17,14.61
Gambia,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.341,0.671,0.51,9.72,0.62
Gambia,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),30,0.399,0.671,0.59,9.51,1.13
Gambia,women_vitA,"admin-2 fit (LORO), unbenchmarked",30,0.333,0.275,1.21,3.29,-1.3
Gambia,women_vitA,admin-2 fit + national benchmark,30,0.33,0.275,1.2,3.26,-2.37
Gambia,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.516,0.275,1.87,3.16,-1.61
Gambia,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),30,0.523,0.275,1.9,3,-0.69
Gambia,child_iron,"admin-2 fit (LORO), unbenchmarked",30,0.538,0.565,0.95,9.9,1.35
Gambia,child_iron,admin-2 fit + national benchmark,30,0.528,0.565,0.93,18.68,-16.43
Gambia,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.6,0.565,1.06,11.12,-5.83
Gambia,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),30,0.578,0.565,1.02,9.58,-0.61
Gambia,women_iron,"admin-2 fit (LORO), unbenchmarked",30,0.715,0.706,1.01,8.82,-0.45
Gambia,women_iron,admin-2 fit + national benchmark,30,0.717,0.706,1.01,10.33,-7.73
Gambia,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.678,0.706,0.96,9.53,-6.13
Gambia,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),30,0.706,0.706,1,8.86,-3.17
Ghana,child_vitA,"admin-2 fit (LORO), unbenchmarked",75,0.283,0.03,9.4,9.68,-4.76
Ghana,child_vitA,admin-2 fit + national benchmark,75,0.276,0.03,9.18,9.57,1.31
Ghana,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.383,0.03,12.73,8.84,1.46
Ghana,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),75,0.477,0.03,15.86,8.63,2.75
Ghana,women_vitA,"admin-2 fit (LORO), unbenchmarked",75,0.116,0,NA,2.15,-0.81
Ghana,women_vitA,admin-2 fit + national benchmark,75,0.116,0,NA,2.42,-0.41
Ghana,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),75,-0.119,0,NA,2.4,-0.47
Ghana,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),75,0.296,0,NA,2.57,0.14
Ghana,child_iron,"admin-2 fit (LORO), unbenchmarked",75,0.477,0.672,0.71,13.41,-5.32
Ghana,child_iron,admin-2 fit + national benchmark,75,0.49,0.672,0.73,13.83,2.66
Ghana,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.738,0.672,1.1,10.37,1.04
Ghana,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),75,0.747,0.672,1.11,10.59,1.88
Ghana,women_iron,"admin-2 fit (LORO), unbenchmarked",75,0.06,0,NA,10.92,-5.58
Ghana,women_iron,admin-2 fit + national benchmark,75,0.06,0,NA,10.92,-5.55
Ghana,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.138,0,NA,10.44,0.09
Ghana,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),75,0.286,0,NA,10.33,2.58
Ghana,women_folate,"admin-2 fit (LORO), unbenchmarked",75,0.176,0.627,0.28,26.89,0.75
