outcome,country,n_admin2,mae_pp,rmse_pp,pearson_r,mean_bias_pp
child_vitA,Ghana,75,5.7,7.61,0.882,1.05
women_vitA,Ghana,75,1.48,2.33,0.824,0.17
child_iron,Ghana,75,5.87,8.4,0.885,0.46
women_iron,Ghana,75,3.46,5.1,0.884,0.4
child_vitA,Sierra Leone,14,6.47,7.82,-0.108,0.45
women_vitA,Sierra Leone,14,1.54,1.83,-0.518,0.72
child_iron,Sierra Leone,14,1.62,2.13,0.895,0.25
child_vitA,Malawi,87,7.2,9.42,0.735,-0.07
women_vitA,Malawi,87,2.41,3.73,0.854,-0.05
child_iron,Malawi,87,8.33,10.89,-0.058,-0.61
women_iron,Malawi,87,6.94,9.49,0.716,0.4
