label,country,observed_max,reference,status
admin1_arms.csv,gambia,30,30,ok
admin1_arms.csv,ghana,75,75,ok
admin1_arms.csv,malawi,87,87,ok
admin1_arms.csv,sierraleone,14,14,ok
individual_anchor.csv,gambia,30,30,ok
individual_anchor.csv,ghana,72,75,ok
individual_anchor.csv,malawi,83,87,ok
individual_anchor.csv,sierraleone,14,14,ok
area_comparison_all.csv,gambia,30,30,ok
area_comparison_all.csv,ghana,75,75,ok
area_comparison_all.csv,malawi,87,87,ok
area_comparison_all.csv,sierraleone,14,14,ok
national_composition.csv,gambia,30,30,ok
national_composition.csv,ghana,75,75,ok
national_composition.csv,malawi,87,87,ok
national_composition.csv,sierraleone,14,14,ok
resolution_comparison.csv,gambia,30,30,ok
resolution_comparison.csv,ghana,75,75,ok
resolution_comparison.csv,malawi,87,87,ok
resolution_comparison.csv,sierraleone,14,14,ok
corrected/protocol_reconciliation.csv,gambia,30,30,ok
corrected/protocol_reconciliation.csv,ghana,75,75,ok
corrected/protocol_reconciliation.csv,malawi,87,87,ok
corrected/protocol_reconciliation.csv,sierraleone,14,14,ok
