region_share,fraction_clusters,settings,pct_survey,mae_a2,mae_a2_lo,mae_a2_hi,bias_a2,mae_a1
0.19,0.15,11,4.5,10.586,2.996,15.274,-2.964,7.361
0.19,0.25,12,6.5,9.019,1.707,14.563,-3.519,5.294
0.19,0.4,15,7.3,11.603,2.052,20.01,-3.626,7.569
0.19,0.6,17,13.9,11.648,3.404,18.39,-2.35,7.187
0.19,0.8,17,14.3,11.635,2.676,19.145,-2.145,7.046
0.19,1,18,18.4,12.399,2.747,24.127,-2.566,7.438
0.31,0.15,17,7,11.667,2.977,19.348,-3.872,7.928
0.31,0.25,18,8.7,12.563,2.296,24.576,-2.934,8.546
0.31,0.4,18,10.3,12.619,3.156,24.525,-2.322,8.339
0.31,0.6,18,17.2,12.381,2.42,25.404,-0.301,7.697
0.31,0.8,18,21.1,12.198,2.408,24.752,-2.307,6.863
0.31,1,18,30.6,12.124,2.487,25.642,0.581,6.204
0.38,0.15,18,7.6,12.691,3.575,25.749,-2.275,8.52
0.38,0.25,17,11.5,11.797,2.926,18.966,-2.039,7.106
0.38,0.4,18,14.4,12.346,2.977,25.033,-1.798,7.522
0.38,0.6,18,21.3,12.277,2.472,25.054,-3.821,6.977
0.38,0.8,18,27.3,12.221,2.833,25.271,-2.128,6.825
0.38,1,18,39.6,12.021,2.786,23.595,-1.347,5.695
0.5,0.15,18,10,12.723,2.724,26.421,-2.553,8.745
0.5,0.25,18,15.8,12.339,2.602,25.739,-2.016,7.79
0.5,0.4,18,21.2,12.214,2.849,25.964,-0.777,7.316
0.5,0.6,18,29.7,12.316,2.962,24.202,0.364,6.097
0.5,0.8,18,38.3,11.75,2.902,23.767,-1.181,5.853
0.5,1,18,50.4,11.702,3.01,23.579,-0.392,4.922
0.62,0.15,18,12.5,12.316,1.934,25.161,-1.878,8.2
0.62,0.25,18,18,12.263,3.612,27.095,0.245,7.769
0.62,0.4,18,25.8,12.44,2.908,27.577,-0.517,7.389
0.62,0.6,18,38.7,12.464,3.346,24.416,-0.873,6.125
0.62,0.8,18,51.6,11.564,3.183,22.863,-1.605,4.903
0.62,1,18,63.6,12.259,2.72,25.387,-0.318,4.346
0.69,0.15,18,13.4,12.877,1.935,26.298,-0.791,8.565
0.69,0.25,18,20.8,11.906,2.606,24.297,-2.147,6.731
0.69,0.4,18,27.8,12.281,3.006,25.347,-0.992,6.553
0.69,0.6,18,43.2,11.887,3.329,23.359,-1.227,5.512
0.69,0.8,18,48.9,11.459,2.95,22.934,-1.658,4.957
0.69,1,18,72,11.541,2.696,22.717,-0.598,3.522
0.81,0.15,18,16.8,13.459,4.288,27.235,-1.784,8.992
0.81,0.25,18,24.4,12.193,3.268,24.969,-1.352,7.297
0.81,0.4,18,33.4,12.139,3.023,24.358,-1.106,6.087
0.81,0.6,18,50.9,11.814,3.16,24.749,-0.401,4.846
0.81,0.8,18,64.1,11.696,3.008,24.32,-0.453,4.225
0.81,1,18,81,11.621,2.729,22.861,-1.315,2.517
0.88,0.15,18,17.3,12.966,3.375,26.686,-0.086,8.2
0.88,0.25,18,25.5,12.356,2.69,26.851,-2.162,7.477
0.88,0.4,18,34.2,12.212,2.79,24.737,-0.907,6.347
0.88,0.6,18,55.7,11.606,3.376,23.421,-0.898,4.445
0.88,0.8,18,69,11.502,2.967,23.839,-1.056,4.003
0.88,1,18,88.7,11.294,2.923,23.038,-0.605,1.941
1,0.15,18,19.9,13.648,3.463,27.942,0.339,9.128
1,0.25,18,30.5,12.348,4.247,24.871,-0.727,6.803
1,0.4,18,40,12.26,3.299,25.451,0.452,6.138
1,0.6,18,63,11.506,3.011,23.982,-0.821,3.95
1,0.8,18,78.2,11.563,2.934,23.866,-0.437,3.269
1,1,18,100,11.206,2.897,23.402,-0.411,1.188
