"country","outcome","approach","n_admin2","mae_pp","rmse_pp","pearson_r","mean_bias_pp","r_max","r_max_hi","r_share","signal","national_design_pp","national_err_pp","pearson_r_raw","r_share_raw"
"Gambia","child_vitA","Individual SL",30,7.83,9.59,0.705,-0.77,0.671,0.823,1.05,TRUE,17.25,2.15,0.705,1.05
"Gambia","child_vitA","Area SL (MSE)",30,9.34,12.31,0.4,0.05,0.671,0.823,0.6,TRUE,17.25,1.74,0.4,0.6
"Gambia","child_vitA","Area SL (NLL)",30,9.89,14.14,0.37,-4.78,0.671,0.823,0.55,TRUE,17.25,-2.2,0.37,0.55
"Gambia","child_vitA","MRP",30,7.04,9.59,0.696,1.07,0.671,0.823,1.04,TRUE,17.25,NA,0.696,1.04
"Gambia","child_vitA","Area wSL, precision-weighted (OOF)",30,8.83,11.47,0.57,1.45,0.671,0.823,0.85,TRUE,17.25,NA,0.57,0.85
"Gambia","child_vitA","Area wSL, unweighted (OOF)",30,10.3,13.08,0.439,-4.94,0.671,0.823,0.65,TRUE,17.25,NA,0.439,0.65
"Gambia","child_vitA","Area wSL, literature covariates (OOF)",30,8.83,11.47,0.57,1.45,0.671,0.823,0.85,TRUE,17.25,NA,0.57,0.85
"Gambia","child_vitA","Area wSL, prescreen in-fold (OOF)",30,8.25,10.41,0.65,1.85,0.671,0.823,0.97,TRUE,17.25,NA,0.65,0.97
"Gambia","child_vitA","Area wSL, prescreen on ALL data (OPTIMISTIC)",30,8.94,10.99,0.574,1.06,0.671,0.823,0.86,TRUE,17.25,NA,0.574,0.86
"Gambia","child_vitA","National mean (null)",30,10.79,13.3,NA,1.03,0.671,0.823,NA,TRUE,17.25,NA,NA,NA
"Gambia","child_vitA","Spatial only (no covariates)",30,9.43,11.74,0.52,-1.56,0.671,0.823,0.77,TRUE,17.25,NA,0.52,0.77
"Gambia","women_vitA","Individual SL",30,3.04,4.24,0.497,-0.39,0.275,0.64,1.8,TRUE,1.7,0.83,0.497,1.8
"Gambia","women_vitA","Area SL (MSE)",30,3.55,4.67,0.325,-0.16,0.275,0.64,1.18,TRUE,1.7,1.97,0.325,1.18
"Gambia","women_vitA","Area SL (NLL)",30,3.72,5.81,-0.014,-1.92,0.275,0.64,-0.05,TRUE,1.7,1.4,-0.014,-0.05
"Gambia","women_vitA","MRP",30,2.09,2.76,0.83,0.13,0.275,0.64,3.01,TRUE,1.7,NA,0.83,3.01
