"country","outcome","approach","n_admin2","mae_pp","rmse_pp","pearson_r","mean_bias_pp","r_max","r_max_hi","r_share","signal","national_design_pp","national_err_pp","pearson_r_raw","r_share_raw"
"Gambia","child_vitA","Individual SL",30,7.81,9.53,0.703,-0.36,0.671,0.823,1.05,TRUE,17.25,2.42,0.703,1.05
"Gambia","child_vitA","Area SL (MSE)",30,10.13,13.31,0.27,0.57,0.671,0.823,0.4,TRUE,17.25,1.71,0.27,0.4
"Gambia","child_vitA","Area SL (NLL)",30,11.26,15.17,0.298,-5.32,0.671,0.823,0.44,TRUE,17.25,-3.57,0.298,0.44
"Gambia","child_vitA","MRP",30,5.47,7.71,0.845,1.81,0.671,0.823,1.26,TRUE,17.25,NA,0.845,1.26
"Gambia","child_vitA","Area wSL, precision-weighted (OOF)",30,9.62,11.95,0.46,1.99,0.671,0.823,0.69,TRUE,17.25,NA,0.46,0.69
"Gambia","child_vitA","Area wSL, unweighted (OOF)",30,11.25,14.07,0.24,-5.69,0.671,0.823,0.36,TRUE,17.25,NA,0.24,0.36
"Gambia","child_vitA","Area wSL, literature covariates (OOF)",30,9.25,11.81,0.577,3.31,0.671,0.823,0.86,TRUE,17.25,NA,0.577,0.86
"Gambia","child_vitA","Area wSL, prescreen in-fold (OOF)",30,9.38,11.6,0.505,1.81,0.671,0.823,0.75,TRUE,17.25,NA,0.505,0.75
"Gambia","child_vitA","Area wSL, prescreen on ALL data (OPTIMISTIC)",30,8.69,10.74,0.618,2.43,0.671,0.823,0.92,TRUE,17.25,NA,0.618,0.92
"Gambia","child_vitA","National mean (null)",30,10.79,13.3,NA,1.03,0.671,0.823,NA,TRUE,17.25,NA,NA,NA
"Gambia","child_vitA","Spatial only (no covariates)",30,9.43,11.74,0.52,-1.56,0.671,0.823,0.77,TRUE,17.25,NA,0.52,0.77
"Gambia","women_vitA","Individual SL",30,3.04,4.24,0.494,-0.39,0.275,0.64,1.79,TRUE,1.7,0.83,0.494,1.79
"Gambia","women_vitA","Area SL (MSE)",30,3.54,4.56,0.35,0.15,0.275,0.64,1.27,TRUE,1.7,1.38,0.35,1.27
"Gambia","women_vitA","Area SL (NLL)",30,3.18,5.14,0.286,-2.23,0.275,0.64,1.04,TRUE,1.7,-0.59,0.286,1.04
"Gambia","women_vitA","MRP",30,2.18,2.97,0.796,0.11,0.275,0.64,2.89,TRUE,1.7,NA,0.796,2.89
"Gambia","women_vitA","Area wSL, precision-weighted (OOF)",30,3.36,4.31,0.472,0.64,0.275,0.64,1.71,TRUE,1.7,NA,0.472,1.71
"Gambia","women_vitA","Area wSL, unweighted (OOF)",30,3.12,4.77,0.431,-1.58,0.275,0.64,1.57,TRUE,1.7,NA,0.431,1.57
"Gambia","women_vitA","Area wSL, literature covariates (OOF)",30,3.88,5.18,0.117,0.41,0.275,0.64,0.42,TRUE,1.7,NA,0.117,0.42
"Gambia","women_vitA","Area wSL, prescreen in-fold (OOF)",30,4.2,5.76,0.184,0.86,0.275,0.64,0.67,TRUE,1.7,NA,0.184,0.67
"Gambia","women_vitA","Area wSL, prescreen on ALL data (OPTIMISTIC)",30,4.04,5.59,0.453,1.81,0.275,0.64,1.64,TRUE,1.7,NA,0.453,1.64
"Gambia","women_vitA","National mean (null)",30,3.59,4.93,NA,-0.99,0.275,0.64,NA,TRUE,1.7,NA,NA,NA
"Gambia","women_vitA","Spatial only (no covariates)",30,2.97,4.54,0.503,-1.41,0.275,0.64,1.83,TRUE,1.7,NA,0.503,1.83
"Gambia","child_iron","Individual SL",30,22.75,26.63,-0.157,-21.75,0.565,0.753,-0.28,TRUE,57.3,-15.21,-0.157,-0.28
"Gambia","child_iron","Area SL (MSE)",30,12.8,15.93,0.345,1.66,0.565,0.753,0.61,TRUE,57.3,6.51,0.345,0.61
"Gambia","child_iron","Area SL (NLL)",30,12.33,15.8,0.281,2.06,0.565,0.753,0.5,TRUE,57.3,7.57,0.281,0.5
"Gambia","child_iron","MRP",30,7.37,9.7,0.788,0.52,0.565,0.753,1.4,TRUE,57.3,NA,0.788,1.4
"Gambia","child_iron","Area wSL, precision-weighted (OOF)",30,10.82,13.3,0.518,-1.07,0.565,0.753,0.92,TRUE,57.3,NA,0.518,0.92
"Gambia","child_iron","Area wSL, unweighted (OOF)",30,10.75,13.83,0.473,2.89,0.565,0.753,0.84,TRUE,57.3,NA,0.473,0.84
"Gambia","child_iron","Area wSL, literature covariates (OOF)",30,10.37,12.95,0.574,-0.61,0.565,0.753,1.02,TRUE,57.3,NA,0.574,1.02
"Gambia","child_iron","Area wSL, prescreen in-fold (OOF)",30,10.49,12.96,0.539,-0.74,0.565,0.753,0.95,TRUE,57.3,NA,0.539,0.95
"Gambia","child_iron","Area wSL, prescreen on ALL data (OPTIMISTIC)",30,10.51,12.86,0.583,-2.04,0.565,0.753,1.03,TRUE,57.3,NA,0.583,1.03
"Gambia","child_iron","National mean (null)",30,12.45,15.37,NA,-1.56,0.565,0.753,NA,TRUE,57.3,NA,NA,NA
"Gambia","child_iron","Spatial only (no covariates)",30,11.76,14.11,0.441,-0.71,0.565,0.753,0.78,TRUE,57.3,NA,0.441,0.78
"Gambia","women_iron","Individual SL",30,18.79,22.34,0.682,-18.79,0.706,0.796,0.97,TRUE,41.49,-12.63,0.682,0.97
"Gambia","women_iron","Area SL (MSE)",30,10.35,12.78,0.621,-0.43,0.706,0.796,0.88,TRUE,41.49,6.28,0.621,0.88
"Gambia","women_iron","Area SL (NLL)",30,10.33,12.96,0.612,-0.31,0.706,0.796,0.87,TRUE,41.49,6.62,0.612,0.87
"Gambia","women_iron","MRP",30,8.27,10.01,0.817,-1.8,0.706,0.796,1.16,TRUE,41.49,NA,0.817,1.16
"Gambia","women_iron","Area wSL, precision-weighted (OOF)",30,10.26,12.98,0.641,-0.9,0.706,0.796,0.91,TRUE,41.49,NA,0.641,0.91
"Gambia","women_iron","Area wSL, unweighted (OOF)",30,10.32,13.01,0.602,0.55,0.706,0.796,0.85,TRUE,41.49,NA,0.602,0.85
"Gambia","women_iron","Area wSL, literature covariates (OOF)",30,10.05,13.12,0.623,-1.66,0.706,0.796,0.88,TRUE,41.49,NA,0.623,0.88
