country,outcome,arm,status,national_pred_pp,national_survey_pp,gap_pp,abs_gap_pp,ci_half_width_pp,threshold_pp,n_districts
Gambia,child_vitA,"admin-2 ridge (LORO), un-anchored",calibration_failed,6.706,17.253,-10.548,10.548,2.319,10,1
Gambia,women_vitA,"admin-2 ridge (LORO), un-anchored",passed,0.842,1.699,-0.857,0.857,0.674,10,1
Gambia,child_iron,"admin-2 ridge (LORO), un-anchored",calibration_failed,50.569,37.526,13.044,13.044,2.982,10,1
Gambia,women_iron,"admin-2 ridge (LORO), un-anchored",passed,32.888,28.183,4.705,4.705,2.355,10,1
Ghana,child_vitA,"admin-2 ridge (LORO), un-anchored",passed,6.688,13.179,-6.491,6.491,1.942,10,1
Ghana,women_vitA,"admin-2 ridge (LORO), un-anchored",passed,0.741,1.153,-0.412,0.412,0.664,10,1
Ghana,child_iron,"admin-2 ridge (LORO), un-anchored",passed,12.088,20.196,-8.108,8.108,2.305,10,1
Ghana,women_iron,"admin-2 ridge (LORO), un-anchored",passed,8.172,7.574,0.598,0.598,1.656,10,1
Ghana,women_folate,"admin-2 ridge (LORO), un-anchored",calibration_failed,29.17,54.586,-25.416,25.416,4.478,10,1
Ghana,women_b12,"admin-2 ridge (LORO), un-anchored",passed,2.227,7.008,-4.782,4.782,2.301,10,1
SierraLeone,child_vitA,"admin-2 ridge (LORO), un-anchored",calibration_failed,89.584,12.013,77.572,77.572,2.89,10,1
SierraLeone,women_vitA,"admin-2 ridge (LORO), un-anchored",passed,0.989,1.425,-0.436,0.436,0.835,10,1
SierraLeone,child_iron,"admin-2 ridge (LORO), un-anchored",passed,2.002,5.148,-3.146,3.146,1.965,10,1
SierraLeone,women_iron,"admin-2 ridge (LORO), un-anchored",passed,11.13,9.606,1.524,1.524,2.076,10,1
SierraLeone,women_folate,"admin-2 ridge (LORO), un-anchored",calibration_failed,91.673,79.156,12.516,12.516,2.877,10,1
SierraLeone,women_b12,"admin-2 ridge (LORO), un-anchored",passed,6.446,0.523,5.922,5.922,0.51,10,1
Malawi,child_vitA,"admin-2 ridge (LORO), un-anchored",passed,3.404,10.169,-6.765,6.765,1.748,10,1
Malawi,women_vitA,"admin-2 ridge (LORO), un-anchored",passed,0.832,2.173,-1.341,1.341,0.988,10,1
Malawi,child_iron,"admin-2 ridge (LORO), un-anchored",calibration_failed,25.575,10.286,15.289,15.289,1.756,10,1
Malawi,women_iron,"admin-2 ridge (LORO), un-anchored",passed,14.424,8.129,6.294,6.294,1.917,10,1
Malawi,women_folate,"admin-2 ridge (LORO), un-anchored",passed,8.895,18.6,-9.705,9.705,2.65,10,1
Malawi,women_b12,"admin-2 ridge (LORO), un-anchored",passed,1.078,2.281,-1.203,1.203,1.01,10,1
Malawi,child_zinc,"admin-2 ridge (LORO), un-anchored",passed,54.488,61.142,-6.654,6.654,2.837,10,1
Malawi,women_zinc,"admin-2 ridge (LORO), un-anchored",passed,71.128,64.113,7.016,7.016,3.236,10,1
