"vocab","target","estimand","cells","mean_rho","median_rho","positive"
"both","level","country",22,0.256,0.253,17
"cluster_agg","level","country",22,0.224,0.226,17
"cluster_fitted_agg","level","country",22,0.231,0.207,19
"full","level","country",22,0.271,0.265,17
"both","level","infill",18,0.419,0.446,16
"cluster_agg","level","infill",18,0.424,0.462,17
"cluster_fitted_agg","level","infill",24,0.379,0.391,23
"full","level","infill",18,0.398,0.417,16
"both","level","region",24,0.266,0.307,19
"cluster_agg","level","region",24,0.318,0.346,22
"cluster_fitted_agg","level","region",24,0.359,0.424,22
"full","level","region",24,0.242,0.286,19
"both","prev","country",22,0.177,0.147,15
"cluster_agg","prev","country",22,0.173,0.159,18
"cluster_fitted_agg","prev","country",22,0.17,0.184,17
"full","prev","country",22,0.181,0.194,16
"both","prev","infill",18,0.312,0.292,16
"cluster_agg","prev","infill",18,0.326,0.268,17
"cluster_fitted_agg","prev","infill",24,0.227,0.224,18
"full","prev","infill",18,0.297,0.293,15
"both","prev","region",24,0.223,0.198,18
"cluster_agg","prev","region",24,0.242,0.212,20
"cluster_fitted_agg","prev","region",24,0.206,0.184,17
"full","prev","region",24,0.213,0.202,19
