"country","outcome","cluster","Admin1","Admin2","lat","lon","urban","date_med","month_med","n_raw","n_raw_cont","n_kish","n_eff","n_eff_cont","y_prev","y_level","sd_level"
"Gambia","child_vitA","100","Banjul","Kanifing",13.456828,-16.699354,NA,"2018-01-27",1,8,8,8,8,8,0,-0.0538242307650201,0.102911714094156
"Gambia","child_vitA","113","Western","Kombo Saint Mary",13.387244,-16.633391,NA,"2018-02-18",2,22,22,22,22,22,0.272727272727273,0.148442922451322,0.326368069004032
"Gambia","child_vitA","122","Western","Kombo Saint Mary",13.406102,-16.672816,NA,"2018-03-23",3,12,12,12,12,12,0,-0.0175169741793248,0.217318247477955
"Gambia","child_vitA","13","Banjul","Banjul",13.457418,-16.579449,NA,"2018-01-24",1,3,3,3,3,3,0.333333333333333,0.270174538857666,0.258627509450075
"Gambia","child_vitA","132","Western","Kombo South",13.33061,-16.665974,NA,"2018-04-19",4,19,19,19,19,19,0.0526315789473684,-0.00699867704033161,0.253873042206717
"Gambia","child_vitA","141","Western","Kombo Central",13.230063,-16.741642,NA,"2018-03-17",3,16,16,16,16,16,0.25,0.198084403438006,0.283858351102124
"Gambia","child_vitA","150","Western","Kombo Central",13.251225,-16.646428,NA,"2018-04-04",4,11,11,11,11,11,0.0909090909090909,-0.0571316847003345,0.310889569995688
"Gambia","child_vitA","16","Banjul","Banjul",13.457019,-16.579819,NA,"2018-01-30",1,5,5,5,5,5,0,0.0221953287190246,0.193435261540387
"Gambia","child_vitA","160","Western","Kombo East",13.283124,-16.577448,NA,"2018-03-26",3,20,20,20,20,20,0.1,0.068298734999073,0.234721181862475
"Gambia","child_vitA","162","Western","Foni Brefet",13.170211,-16.414914,NA,"2018-03-22",3,12,12,12,12,12,0,-0.0892644189918198,0.193089190610934
"Gambia","child_vitA","164","Western","Foni Bintang Karanai",13.201031,-16.197358,NA,"2018-03-18",3,17,17,17,17,17,0,-0.0105576036466673,0.210562781519539
"Gambia","child_vitA","169","Lower River","Jarra West",13.449273,-15.532021,NA,"2018-03-24",3,12,12,12,12,12,0.0833333333333333,-0.0699980226426389,0.313121807226963
"Gambia","child_vitA","174","Lower River","Jarra West",13.441454,-15.53845,NA,"2018-03-25",3,7,7,7,7,7,0,0.122614482483111,0.0979942759375522
"Gambia","child_vitA","184","Lower River","Kiang Central",13.416853,-15.693366,NA,"2018-02-23",2,24,24,24,24,24,0.208333333333333,0.172603369698233,0.257049862294306
"Gambia","child_vitA","190","Lower River","Kiang East",13.411631,-15.656989,NA,"2018-02-21",2,22,22,22,22,22,0.227272727272727,0.209014280935307,0.205011885943829
"Gambia","child_vitA","196","Lower River","Jarra West",13.440922,-15.516524,NA,"2018-03-22",3,16,16,16,16,16,0.125,0.118152436191153,0.301400559491408
"Gambia","child_vitA","2","Banjul","Banjul",13.448775,-16.574396,NA,"2018-01-25",1,13,13,13,13,13,0.230769230769231,0.18916423460412,0.270885720257549
"Gambia","child_vitA","20","Banjul","Banjul",13.455141,-16.58078,NA,"2018-02-09",2,4,4,4,4,4,0.25,0.218403185045847,0.208103552221343
"Gambia","child_vitA","202","Lower River","Jarra East",13.380103,-15.294262,NA,"2018-03-10",3,36,36,36,36,36,0.222222222222222,0.186517889233378,0.287515959043241
"Gambia","child_vitA","208","Lower River","Jarra East",13.535344,-15.197745,NA,"2018-03-02",3,16,16,16,16,16,0.125,0.0859983253061662,0.196834149943224
