country,outcome,n_areas,sd_of_mean,rmse_mean,r_mean,pooled_sd
Gambia,child_vitA,30,0.109,0.082,0.69,0.27
Gambia,women_vitA,30,0.122,0.123,0.536,0.308
Gambia,child_iron,30,0.283,0.305,0.03,0.814
Gambia,women_iron,30,0.351,0.29,0.56,0.89
Ghana,child_vitA,71,0.139,0.137,0.358,0.301
Ghana,women_vitA,72,0.156,0.186,0.29,0.316
Ghana,child_iron,71,0.441,0.363,0.583,0.775
Ghana,women_iron,72,0.338,0.359,0.26,0.743
Ghana,women_folate,52,0.314,0.332,0.235,0.594
Ghana,women_b12,51,0.306,0.348,0.351,0.548
SierraLeone,child_vitA,14,0.061,0.093,-0.458,0.34
SierraLeone,women_vitA,14,0.073,0.057,0.599,0.324
SierraLeone,child_iron,14,0.209,0.22,0.488,0.807
SierraLeone,women_iron,14,0.12,0.347,0.107,0.801
SierraLeone,women_folate,14,0.122,0.149,-0.341,0.363
SierraLeone,women_b12,14,0.178,0.25,-0.679,0.418
Malawi,child_vitA,83,0.116,0.122,0.188,0.302
Malawi,women_vitA,79,0.122,0.147,0.293,0.289
Malawi,child_iron,83,0.333,0.367,0.211,0.723
Malawi,women_iron,75,0.311,0.289,0.453,0.701
Malawi,women_folate,80,0.435,0.481,0.159,0.521
Malawi,women_b12,80,0.448,0.393,0.641,0.437
