country,outcome,arm,n_areas,prev_pct,mae_pp,rmse_pp,r
Gambia,child_vitA,1 binary (direct),30,19.78,8.74,11.05,0.569
Gambia,child_vitA,2 continuous -> prevalence,30,19.78,12.89,15.73,0.579
Gambia,child_vitA,"3 continuous, oracle SD",30,19.78,11.95,14.45,0.687
Gambia,child_vitA,4 conversion ceiling (true mean),30,19.78,9.66,11.47,0.856
Gambia,child_vitA,5 null (train mean),30,19.78,10.79,13.3,NA
Gambia,women_vitA,1 binary (direct),30,2.5,3.78,5.16,0.288
Gambia,women_vitA,2 continuous -> prevalence,30,2.5,4.38,6.11,0.647
Gambia,women_vitA,"3 continuous, oracle SD",30,2.5,3.98,6.5,0.692
Gambia,women_vitA,4 conversion ceiling (true mean),30,2.5,3.24,4.09,0.673
Gambia,women_vitA,5 null (train mean),30,2.5,3.59,4.93,NA
Gambia,child_iron,1 binary (direct),30,42.61,12.39,15.57,0.275
Gambia,child_iron,2 continuous -> prevalence,30,42.61,23.25,27.74,0.005
Gambia,child_iron,"3 continuous, oracle SD",30,42.61,23.42,27.93,0.208
Gambia,child_iron,4 conversion ceiling (true mean),30,42.61,19.14,21.2,0.822
Gambia,child_iron,5 null (train mean),30,42.61,13.57,15.98,NA
Gambia,women_iron,1 binary (direct),30,30.68,11.87,14.72,0.465
Gambia,women_iron,2 continuous -> prevalence,30,30.68,16.34,18.68,0.537
Gambia,women_iron,"3 continuous, oracle SD",30,30.68,16.6,18.77,0.528
Gambia,women_iron,4 conversion ceiling (true mean),30,30.68,14.92,16.11,0.898
Gambia,women_iron,5 null (train mean),30,30.68,13.18,17.14,NA
Ghana,child_vitA,1 binary (direct),71,14.97,9.82,12.12,0.243
Ghana,child_vitA,2 continuous -> prevalence,71,14.97,13.35,16.59,0.277
Ghana,child_vitA,"3 continuous, oracle SD",71,14.97,12.26,15.24,0.446
Ghana,child_vitA,4 conversion ceiling (true mean),71,14.97,10.51,12.55,0.759
Ghana,child_vitA,5 null (train mean),71,14.97,9.36,11.4,NA
Ghana,women_vitA,1 binary (direct),72,1.53,5.06,5.48,0.15
Ghana,women_vitA,2 continuous -> prevalence,72,1.53,3.02,4.65,0.021
Ghana,women_vitA,"3 continuous, oracle SD",72,1.53,2.76,5,0.158
Ghana,women_vitA,4 conversion ceiling (true mean),72,1.53,1.79,3.32,0.615
Ghana,women_vitA,5 null (train mean),72,1.53,2.7,4.2,NA
Ghana,child_iron,1 binary (direct),71,23.85,12.88,16.38,0.491
Ghana,child_iron,2 continuous -> prevalence,71,23.85,11.57,14.83,0.556
Ghana,child_iron,"3 continuous, oracle SD",71,23.85,9.89,13.32,0.666
Ghana,child_iron,4 conversion ceiling (true mean),71,23.85,5.81,7.6,0.905
Ghana,child_iron,5 null (train mean),71,23.85,14.79,17.99,NA
Ghana,women_iron,1 binary (direct),72,8.41,6.99,8.65,0.127
Ghana,women_iron,2 continuous -> prevalence,72,8.41,8.24,10.15,0.311
Ghana,women_iron,"3 continuous, oracle SD",72,8.41,6.81,8.87,0.583
Ghana,women_iron,4 conversion ceiling (true mean),72,8.41,5.79,7.78,0.701
Ghana,women_iron,5 null (train mean),72,8.41,6.32,7.94,NA
Ghana,women_folate,1 binary (direct),52,55.84,20.47,24.48,0.124
Ghana,women_folate,2 continuous -> prevalence,52,55.84,22.02,26.67,0.176
Ghana,women_folate,"3 continuous, oracle SD",52,55.84,21.24,25.63,0.237
Ghana,women_folate,4 conversion ceiling (true mean),52,55.84,9.72,11.4,0.91
Ghana,women_folate,5 null (train mean),52,55.84,20.06,23.82,NA
Ghana,women_b12,1 binary (direct),51,7.79,12.65,14.7,0.184
Ghana,women_b12,2 continuous -> prevalence,51,7.79,10.27,12.93,0.166
Ghana,women_b12,"3 continuous, oracle SD",51,7.79,8.12,10,0.587
Ghana,women_b12,4 conversion ceiling (true mean),51,7.79,5.2,6.48,0.841
Ghana,women_b12,5 null (train mean),51,7.79,9.77,11.92,NA
SierraLeone,child_vitA,1 binary (direct),14,12.19,8.77,13.02,0.134
