"country","outcome","n_admin2","naive_rmse_pp","sampling_rmse_pp","adjusted_rmse_pp","naive_mae_pp","pearson_r","pearson_ci_lo","pearson_ci_hi","pearson_perm_p","n_boot"
"Gambia","child_vitA",30,11.96,3.03,11.57,9.37,0.482,0.272,0.67,0.006,1000
"Gambia","women_vitA",30,4.77,0.91,4.68,3.28,0.251,-0.047,0.568,0.0809,1000
"Gambia","child_iron",30,26.38,3.5,26.15,23.56,0.472,0.148,0.733,0.009,1000
"Gambia","women_iron",30,20.21,4.31,19.75,17.07,0.679,0.477,0.842,0.001,1000
"Ghana","child_vitA",75,10.49,2.43,10.2,8.51,0.432,0.19,0.618,0.001,1000
"Ghana","women_vitA",75,4.59,0.54,4.55,2.54,-0.062,-0.181,0.109,0.6464,1000
"Ghana","child_iron",75,15.21,2.09,15.07,12.09,0.582,0.436,0.701,0.001,1000
"Ghana","women_iron",75,12.14,1.98,11.98,9.52,0.303,0.073,0.485,0.006,1000
"Ghana","women_folate",75,26.78,4.74,26.36,22.26,0.422,0.18,0.592,0.001,1000
"Ghana","women_b12",75,15.42,2.1,15.28,9.9,0.353,0.137,0.585,0.005,1000
"Sierra Leone","child_vitA",14,5.64,5.34,1.81,4.77,0.36,-0.15,0.762,0.0949,1000
"Sierra Leone","women_vitA",14,1.78,1.29,1.23,1.45,0.335,-0.263,0.846,0.1239,1000
"Sierra Leone","child_iron",14,2.85,3.58,0,2.17,0.885,0.722,0.973,0.001,1000
"Sierra Leone","women_iron",14,9.09,6.5,6.36,7.5,0.543,-0.29,0.909,0.025,1000
"Sierra Leone","women_folate",14,5.98,7.57,0,4.75,0.841,0.567,0.957,0.002,1000
"Sierra Leone","women_b12",14,0.52,0.7,0,0.39,0.66,0.491,0.957,0.014,1000
"Malawi","child_vitA",87,12.18,1.47,12.09,8.72,0.109,-0.059,0.308,0.1598,1000
"Malawi","women_vitA",87,5.21,0,5.21,2.55,0.006,-0.128,0.26,0.3696,1000
"Malawi","child_iron",87,18.15,2,18.04,13.34,0.287,0.038,0.494,0.01,1000
"Malawi","women_iron",87,18.57,2.34,18.42,14.02,0.103,-0.085,0.295,0.1758,1000
"Malawi","women_folate",87,19.79,2.85,19.59,15.94,0.424,0.284,0.569,0.001,1000
"Malawi","women_b12",87,6.92,0.44,6.91,4.5,0.02,-0.096,0.234,0.3756,1000
"Malawi","child_zinc",87,25.5,4.89,25.03,21.08,0.102,-0.147,0.332,0.1638,1000
"Malawi","women_zinc",87,28.62,4.24,28.31,23.34,0.075,-0.148,0.281,0.2557,1000
