"Admin2","country","outcome","direct_prev","direct_se","partial_pooled_prev","insample_pooled_prev","loao_used_fh","estimate_type","method","ml_prev"
"Banjul","Gambia","child_vitA",0.0747,0.0249,0.2107,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0979860946139681
"Central Baddibu","Gambia","child_vitA",0.3571,0,0.1956,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.153257793665271
"Foni Bintang Karanai","Gambia","child_vitA",0,0,0.2011,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0887711363682234
"Foni Brefet","Gambia","child_vitA",0,0,0.2001,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0485078500620355
"Fulladu East","Gambia","child_vitA",0.2463,0.0382,0.1911,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.256557602181272
"Fulladu West","Gambia","child_vitA",0.3224,0.0599,0.1823,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.304564500497259
"Jarra East","Gambia","child_vitA",0.2082,0.0171,0.1972,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.137845553966728
"Jarra West","Gambia","child_vitA",0.0755,0.0178,0.2021,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.127788423167828
"Jokadu","Gambia","child_vitA",0.1429,0,0.1986,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.139014920916793
"Kanifing","Gambia","child_vitA",0.1294,0.0641,0.203,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.110468467121448
"Kantora","Gambia","child_vitA",0.5625,0,0.2724,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.292612933805576
"Kiang Central","Gambia","child_vitA",0.2083,0,0.1975,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.184251697359749
"Kiang East","Gambia","child_vitA",0.2273,0,0.1971,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.127548612887391
"Kombo Central","Gambia","child_vitA",0.1742,0.0565,0.1984,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.155407323308932
"Kombo East","Gambia","child_vitA",0.1,0,0.1997,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0830360493881329
"Kombo Saint Mary","Gambia","child_vitA",0.1284,0.0756,0.2018,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.121320443613222
"Kombo South","Gambia","child_vitA",0.0526,0,0.2005,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0697464583541305
"Lower Baddibu","Gambia","child_vitA",0,0,0.1996,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.144024082648556
"Lower Nuimi","Gambia","child_vitA",0,0,0.0561,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.150677492568862
"Lower Saloum","Gambia","child_vitA",0.1787,0.0195,0.1985,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0183835862766201
"Niamina Dankunku","Gambia","child_vitA",0.3824,0,0.1914,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.247473869796472
"Niamina East","Gambia","child_vitA",0.25,0,0.1963,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.16067612427189
"Niani","Gambia","child_vitA",0.308,0.0819,0.1927,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.293341861876133
"Nianija","Gambia","child_vitA",0.1362,0.0236,0.2151,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.251482691724608
"Sami","Gambia","child_vitA",0.3889,0,0.1944,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.20896590171216
"Sandu","Gambia","child_vitA",0.25,0,0.197,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.3378624598855
"Upper Baddibu","Gambia","child_vitA",0.0887,0.0255,0.2016,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.145836382025823
"Upper Nuimi","Gambia","child_vitA",0.2222,0,0.1976,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.0970933764060051
"Upper Saloum","Gambia","child_vitA",0.3,0,0.1968,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.257623097759426
"Wuli","Gambia","child_vitA",0.1111,0,0.1986,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 27/30 folds grand-mean fallback",0.33965269923448
"Banjul","Gambia","women_vitA",0,0,0.0056,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00532074490447866
"Central Baddibu","Gambia","women_vitA",0.0606,0,0.0242,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0186281077774463
"Foni Bintang Karanai","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.000821985391125425
"Foni Brefet","Gambia","women_vitA",0.0588,0,0.0246,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00134596411833201
"Fulladu East","Gambia","women_vitA",0.0252,0.0123,0.025,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0378685940455164
"Fulladu West","Gambia","women_vitA",0.0219,0.0167,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0414057752111238
"Jarra East","Gambia","women_vitA",0.1418,0.0115,0.0213,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0225721514614381
"Jarra West","Gambia","women_vitA",0,0,0.0261,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0275998276007109
"Jokadu","Gambia","women_vitA",0,0,0.0252,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.024934982821465
"Kanifing","Gambia","women_vitA",0.0132,0.0077,0.0263,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00854017164758334
"Kantora","Gambia","women_vitA",0.1765,0,0.0232,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0322277098132489
"Kiang Central","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0240022683146134
"Kiang East","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0363048244362028
"Kombo Central","Gambia","women_vitA",0,0,0.0258,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00695904419627682
"Kombo East","Gambia","women_vitA",0,0,0.0255,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0179306850859763
"Kombo Saint Mary","Gambia","women_vitA",0.0132,0.0131,0.0259,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0110199729755161
"Kombo South","Gambia","women_vitA",0,0,0.0255,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.00968068021371403
"Lower Baddibu","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0133616520685483
"Lower Nuimi","Gambia","women_vitA",0,0,0.0255,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0132675308579091
"Lower Saloum","Gambia","women_vitA",0.0119,0.0151,0.0253,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0510933106565803
"Niamina Dankunku","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0350901188955684
"Niamina East","Gambia","women_vitA",0.1304,0,0.0233,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0342482665405201
"Niani","Gambia","women_vitA",0.1014,0.0226,0.0225,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0541807501080511
"Nianija","Gambia","women_vitA",0.0477,0.0291,0.0247,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0676726359746032
"Sami","Gambia","women_vitA",0.0526,0,0.0246,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0398453900457728
"Sandu","Gambia","women_vitA",0,0,0.0079,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0587238833834221
"Upper Baddibu","Gambia","women_vitA",0.0306,0.0103,0.0249,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0201990417564751
"Upper Nuimi","Gambia","women_vitA",0,0,0.0253,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0142202409557433
"Upper Saloum","Gambia","women_vitA",0.0714,0,0.0245,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.035598977189424
"Wuli","Gambia","women_vitA",0.0909,0,0.0245,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0455327469461407
"Banjul","Gambia","child_iron",0.4736,0.0326,0.5607,0.4872,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.295634180627634
"Central Baddibu","Gambia","child_iron",0.6429,0,0.631,0.6351,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.487792407114975
"Foni Bintang Karanai","Gambia","child_iron",0.4706,0,0.5665,0.5078,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.339326205245681
"Foni Brefet","Gambia","child_iron",0.6364,0,0.5038,0.5526,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.237964022193117
"Fulladu East","Gambia","child_iron",0.6083,0.0524,0.7053,0.6364,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.446827035197158
"Fulladu West","Gambia","child_iron",0.7249,0.0203,0.7456,0.7328,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.472360669207448
"Jarra East","Gambia","child_iron",0.8033,0.0366,0.6126,0.7596,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.417314432103978
"Jarra West","Gambia","child_iron",0.3591,0.0211,0.7085,0.5191,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.324411072274542
"Jokadu","Gambia","child_iron",0.7857,0,0.6244,0.6646,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.433518497985304
"Kanifing","Gambia","child_iron",0.4736,0.0499,0.5461,0.4946,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.321128291830609
"Kantora","Gambia","child_iron",0.8667,0,0.7195,0.8058,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.464891596194949
"Kiang Central","Gambia","child_iron",0.6667,0,0.5516,0.6323,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.342373536610441
"Kiang East","Gambia","child_iron",0.7727,0,0.6525,0.6963,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.439350246695267
"Kombo Central","Gambia","child_iron",0.33,0.0838,0.6301,0.4365,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.297933607446461
"Kombo East","Gambia","child_iron",0.6,0,0.4929,0.5388,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.322877950400828
"Kombo Saint Mary","Gambia","child_iron",0.6347,0.0874,0.4736,0.577,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.430556466891082
"Kombo South","Gambia","child_iron",0.4737,0,0.4062,0.4562,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.349369905853049
"Lower Baddibu","Gambia","child_iron",0.6667,0,0.6061,0.6158,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.433039084293638
"Lower Nuimi","Gambia","child_iron",0.5747,0.0557,0.5957,0.5881,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.418133490767614
"Lower Saloum","Gambia","child_iron",0.6341,0.0146,0.7144,0.6621,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.384505162801194
"Niamina Dankunku","Gambia","child_iron",0.7647,0,0.6174,0.718,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.514887370460004
"Niamina East","Gambia","child_iron",0.7143,0,0.7515,0.7284,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.457893470549903
"Niani","Gambia","child_iron",0.6719,0.0207,0.8125,0.724,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.510934270636346
"Nianija","Gambia","child_iron",0.5904,0.0589,0.7737,0.6952,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.478351728796004
"Sami","Gambia","child_iron",0.9444,0,0.7079,0.8908,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.402968851959739
"Sandu","Gambia","child_iron",0.4375,0,0.6964,0.6379,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.457581864618881
"Upper Baddibu","Gambia","child_iron",0.7074,0.08,0.6751,0.6817,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.443502372262784
"Upper Nuimi","Gambia","child_iron",0.4444,0,0.5488,0.519,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.394925789693557
"Upper Saloum","Gambia","child_iron",0.8889,0,0.7349,0.7999,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.521449478462106
"Wuli","Gambia","child_iron",0.7778,0,0.7599,0.7651,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.479235419930379
"Banjul","Gambia","women_iron",0.3441,0.0271,0.4723,0.3387,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.180600244826708
"Central Baddibu","Gambia","women_iron",0.4545,0,0.4513,0.4562,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.328980589799396
"Foni Bintang Karanai","Gambia","women_iron",0.35,0,0.4532,0.3474,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.261294550078686
"Foni Brefet","Gambia","women_iron",0.2941,0,0.3406,0.3471,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.257490171998717
"Fulladu East","Gambia","women_iron",0.4716,0.0737,0.6867,0.5148,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.395024302252481
"Fulladu West","Gambia","women_iron",0.4961,0.0176,0.6253,0.537,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.409633597484403
"Jarra East","Gambia","women_iron",0.6516,0.0021,0.61,0.6286,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.408973757519989
"Jarra West","Gambia","women_iron",0.4379,0.0194,0.4524,0.5441,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.369521831804303
"Jokadu","Gambia","women_iron",0.5833,0,0.4506,0.4322,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.311864279964132
"Kanifing","Gambia","women_iron",0.3008,0.0368,0.4684,0.3225,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.187908750009492
"Kantora","Gambia","women_iron",0.8235,0,0.5156,0.6611,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.412633616816215
"Kiang Central","Gambia","women_iron",0.5,0,0.5297,0.5327,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.345679037390475
