"country","outcome","calibration","brier","calib_intercept","calib_slope"
"Gambia","child_vitA","raw (uncalibrated)",0.1928,-0.418,0.54
"Gambia","child_vitA","in-sample Platt (optimistic)",0.1903,0,1
"Gambia","child_vitA","out-of-fold Platt (honest)",0.1957,-0.808,0.218
"Gambia","women_vitA","raw (uncalibrated)",0.0289,-2.397,0.266
"Gambia","women_vitA","in-sample Platt (optimistic)",0.0287,0,1
"Gambia","women_vitA","out-of-fold Platt (honest)",0.0289,-2.875,0.165
"Gambia","child_iron","raw (uncalibrated)",0.245,-0.183,0.371
"Gambia","child_iron","in-sample Platt (optimistic)",0.2421,0,1
"Gambia","child_iron","out-of-fold Platt (honest)",0.2434,-0.164,0.495
"Gambia","women_iron","raw (uncalibrated)",0.2139,-0.37,0.46
"Gambia","women_iron","in-sample Platt (optimistic)",0.2105,0,1
"Gambia","women_iron","out-of-fold Platt (honest)",0.2126,-0.267,0.643
"Ghana","child_vitA","raw (uncalibrated)",0.1671,-1.136,0.143
"Ghana","child_vitA","in-sample Platt (optimistic)",0.1633,0,1
"Ghana","child_vitA","out-of-fold Platt (honest)",0.1657,-2.357,-0.719
"Ghana","women_vitA","raw (uncalibrated)",0.0137,-4.383,-0.01
"Ghana","women_vitA","in-sample Platt (optimistic)",0.0129,0,1
"Ghana","women_vitA","out-of-fold Platt (honest)",0.013,-23.525,-4.394
"Ghana","child_iron","raw (uncalibrated)",0.1717,-0.237,0.753
"Ghana","child_iron","in-sample Platt (optimistic)",0.1707,0,1
"Ghana","child_iron","out-of-fold Platt (honest)",0.1732,-0.183,0.826
"Ghana","women_iron","raw (uncalibrated)",0.0777,-1.518,0.35
"Ghana","women_iron","in-sample Platt (optimistic)",0.0773,0,1
"Ghana","women_iron","out-of-fold Platt (honest)",0.0779,-2.724,-0.142
"Ghana","women_folate","raw (uncalibrated)",0.2549,0.096,0.323
"Ghana","women_folate","in-sample Platt (optimistic)",0.2413,0,1
"Ghana","women_folate","out-of-fold Platt (honest)",0.2433,0.043,0.799
"Ghana","women_b12","raw (uncalibrated)",0.0751,-0.871,0.602
"Ghana","women_b12","in-sample Platt (optimistic)",0.0751,0,1
"Ghana","women_b12","out-of-fold Platt (honest)",0.0767,-1.7,0.275
"Malawi","child_vitA","raw (uncalibrated)",0.1639,-1.302,0.061
"Malawi","child_vitA","in-sample Platt (optimistic)",0.1591,0,1
"Malawi","child_vitA","out-of-fold Platt (honest)",0.1597,-1.623,-0.164
"Malawi","women_vitA","raw (uncalibrated)",0.021,-2.453,0.287
"Malawi","women_vitA","in-sample Platt (optimistic)",0.0205,0,1
"Malawi","women_vitA","out-of-fold Platt (honest)",0.0206,-1.701,0.545
"Malawi","child_iron","raw (uncalibrated)",0.0881,-2.054,0.052
"Malawi","child_iron","in-sample Platt (optimistic)",0.0875,0,1
"Malawi","child_iron","out-of-fold Platt (honest)",0.0884,-2.068,0.059
"Malawi","women_iron","raw (uncalibrated)",0.0888,-1.098,0.492
"Malawi","women_iron","in-sample Platt (optimistic)",0.0881,0,1
"Malawi","women_iron","out-of-fold Platt (honest)",0.0891,-1.652,0.251
"Malawi","women_folate","raw (uncalibrated)",0.0013,-41.763,-2.667
"Malawi","women_folate","in-sample Platt (optimistic)",0.0012,5.946,2.209
"Malawi","women_folate","out-of-fold Platt (honest)",0.0013,-6.682,NA
"Malawi","women_b12","raw (uncalibrated)",0.0276,-1.284,0.6
"Malawi","women_b12","in-sample Platt (optimistic)",0.0274,0,1
"Malawi","women_b12","out-of-fold Platt (honest)",0.0275,-0.715,0.791
"Malawi","child_zinc","raw (uncalibrated)",0.2783,0.382,-0.111
"Malawi","child_zinc","in-sample Platt (optimistic)",0.2422,0,1
"Malawi","child_zinc","out-of-fold Platt (honest)",0.2465,1.025,-2.017
"Malawi","women_zinc","raw (uncalibrated)",0.2574,0.408,0.115
"Malawi","women_zinc","in-sample Platt (optimistic)",0.2353,0,1
"Malawi","women_zinc","out-of-fold Platt (honest)",0.2373,0.715,-0.483
