"country","outcome","scheme","honest","auc","brier"
"Gambia","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5646,0.2428
"Gambia","child_iron","cluster-block CV",TRUE,0.5323,0.2459
"Gambia","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5301,0.2457
"Gambia","child_iron","region/spatial-block CV",TRUE,0.4757,0.2545
"Gambia","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6386,0.1559
"Gambia","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6271,0.1562
"Gambia","child_vitA","region/spatial-block CV",TRUE,0.6106,0.158
"Gambia","child_vitA","cluster-block CV",TRUE,0.5963,0.1618
"Gambia","women_iron","cluster-block CV",TRUE,0.6208,0.2054
"Gambia","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.616,0.2071
"Gambia","women_iron","region/spatial-block CV",TRUE,0.5961,0.2111
"Gambia","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5798,0.2113
"Gambia","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7344,0.0257
"Gambia","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6729,0.0263
"Gambia","women_vitA","cluster-block CV",TRUE,0.6381,0.0261
"Gambia","women_vitA","region/spatial-block CV",TRUE,0.5178,0.0266
"Ghana","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7011,0.1638
"Ghana","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.6782,0.1678
"Ghana","child_iron","cluster-block CV",TRUE,0.6664,0.1713
"Ghana","child_iron","region/spatial-block CV",TRUE,0.641,0.1777
"Ghana","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.595,0.1283
"Ghana","child_vitA","cluster-block CV",TRUE,0.5854,0.1256
"Ghana","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.5469,0.1317
"Ghana","child_vitA","region/spatial-block CV",TRUE,0.523,0.1287
"Ghana","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6981,0.0703
"Ghana","women_b12","region/spatial-block CV",TRUE,0.6654,0.0735
"Ghana","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.6477,0.0709
"Ghana","women_b12","cluster-block CV",TRUE,0.6242,0.0761
"Ghana","women_folate","cluster-block CV",TRUE,0.5992,0.248
"Ghana","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5947,0.2393
"Ghana","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.5931,0.2816
"Ghana","women_folate","region/spatial-block CV",TRUE,0.5311,0.2793
"Ghana","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5949,0.0774
