n_ind,n_areas_eval,auc,brier,brier_null_train,brier_skill,pearson_r,spearman_r,mae_pp,calib_slope,scheme,country,outcome,marker,harmonized_marker,threshold,national_prev,n_areas_total,seed,r_max,r_max_hi,r_share,signal,elapsed_min,analysis_profile
1020,30,0.5915457130031423,0.15799056828578298,0.16166683715056687,0.022739783431032556,0.27980303402315415,0.2875600776884345,9.909797735186277,0.5792630039515098,binary_classifier,Gambia,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.16812368773857925,30,12345,0.671,0.816,0.42,TRUE,0.23,full
1020,30,0.6017088134071525,0.1581473559371291,0.16166683715056687,0.021769963929955005,0.3497428149228638,0.3857893528709284,9.137095160985698,0.9818457893761074,distributional_default,Gambia,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.16812368773857925,30,12345,0.671,0.816,0.52,TRUE,0.23,full
1413,30,0.5982392344497608,0.026145693725239904,0.02623338322164085,0.003342668220109979,0.09273001778930412,0.2158898858776395,3.5727591150281324,0.4432747679218302,binary_classifier,Gambia,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.018925151256167012,30,12345,0.275,0.642,0.34,TRUE,0.27,full
1413,30,0.6378755980861244,0.026042299505587865,0.02623338322164085,0.007283990571805288,0.30412447035731827,0.3705327497834704,3.3445089261231415,2.1561095681260563,distributional_default,Gambia,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.018925151256167012,30,12345,0.275,0.642,1.1,TRUE,0.27,full
1020,30,0.5555417426959237,0.22585024485890998,0.2300771580657484,0.018371720349703358,0.24528691309034836,0.20978865406006672,12.334298888914857,0.6322314889902424,binary_classifier,Gambia,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.6033987917774928,30,12345,0.565,0.743,0.43,TRUE,0.23,full
1020,30,0.5487149124100819,0.22581920145073164,0.2300771580657484,0.018506646425978435,0.16963469031635303,0.1764182424916574,12.611831789603913,0.5164895719112691,distributional_default,Gambia,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.6033987917774928,30,12345,0.565,0.743,0.3,TRUE,0.23,full
1413,30,0.5973395704149593,0.24115495030925987,0.25070654630335076,0.038098709965609046,0.6039143066644093,0.608744024236344,11.122837567223195,1.5449851169439093,binary_classifier,Gambia,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.41716088274292135,30,12345,0.706,0.802,0.85,TRUE,0.25,full
1413,30,0.5971058813101094,0.24227315728639995,0.25070654630335076,0.033638487471908896,0.5414658656062951,0.6011792227655708,12.087078860711458,1.7338329071911136,distributional_default,Gambia,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.41716088274292135,30,12345,0.706,0.802,0.77,TRUE,0.25,full
1165,63,0.5609102613173736,0.12680860281117956,0.12735763043955742,0.004310912714714954,0.13924164281256676,0.14129051926383568,8.499966289149938,0.7566200829995856,binary_classifier,Ghana,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.1317866851916981,75,12345,0,0.463,NA,TRUE,0.36,full
1165,63,0.5421436607629586,0.12703205852409657,0.12735763043955742,0.0025563597119165893,0.02935392610990425,0.007974036339010197,8.796653252197638,0.13371083120233745,distributional_default,Ghana,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.1317866851916981,75,12345,0,0.463,NA,TRUE,0.36,full
992,63,0.9243261685431593,0.014942761654731317,0.014905228357940035,-0.002518129604588637,-0.7594226961087217,-0.6567397165844591,2.390823791391627,-42.96521122573133,binary_classifier,Ghana,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.0115287147640389,75,12345,0,0.275,NA,TRUE,0.32,full
992,63,0.5675878539747526,0.014899461253898204,0.014905228357940035,3.8691819429648167e-4,0.06090835199183263,0.138693957871027,2.3915835976922537,0.45496813542915615,distributional_default,Ghana,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.0115287147640389,75,12345,0,0.275,NA,TRUE,0.32,full
1165,63,0.6308051729023963,0.20322278423975243,0.21497638436264485,0.054673912940433556,0.4469439926531418,0.4009425254012925,14.110565000427153,0.7762687678661773,binary_classifier,Ghana,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.26595168943722725,75,12345,0.733,0.835,0.61,TRUE,0.33,full
1165,63,0.6263815257435529,0.20299932161507278,0.21497638436264485,0.0557133881615941,0.447381091399256,0.37777332539608655,14.228450864088483,0.8584670485447768,distributional_default,Ghana,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.26595168943722725,75,12345,0.733,0.835,0.61,TRUE,0.33,full
992,62,0.5243086194612755,0.15767063744695448,0.15560652491372642,-0.013264948461335191,0.00711555299551655,0.09092594423452724,9.699238474751839,0.025117206671987236,binary_classifier,Ghana,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.18079391238262524,75,12345,0,0.388,NA,TRUE,0.27,full
992,62,0.5470942735193574,0.15595443494914948,0.15560652491372642,-0.002235831920389897,0.18927133636178056,0.21120812352363907,9.187499887522025,0.6895957915674541,distributional_default,Ghana,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.18079391238262524,75,12345,0,0.388,NA,TRUE,0.27,full
475,23,0.5834257602862254,0.24286393340700627,0.24775850747554365,0.019755422804282663,0.3036680118481287,0.2369870493959975,20.252443737462695,0.6698871902094163,binary_classifier,Ghana,women_folate,"configured column gw_wFolate, no inflammation adjustment",FALSE,10,0.5458601808320227,75,12345,0.646,0.827,0.47,TRUE,0.19,full
475,23,0.587128801431127,0.24130630866329647,0.24775850747554365,0.026042289639172433,0.33677652312065165,0.2543396576153697,19.33300351322518,0.9424602899648491,distributional_default,Ghana,women_folate,"configured column gw_wFolate, no inflammation adjustment",FALSE,10,0.5458601808320227,75,12345,0.646,0.827,0.52,TRUE,0.19,full
473,23,0.564545669384379,0.07549777215048777,0.07583328850739655,0.004424394134985521,-0.11477324781507323,-0.12949234416926897,8.23038117253499,-0.4555554836485898,binary_classifier,Ghana,women_b12,"configured column gw_wB12, no inflammation adjustment",FALSE,148,0.06906360597414471,75,12345,0,0.311,NA,TRUE,0.17,full
473,23,0.5822403403048564,0.07515872354920343,0.07583328850739655,0.008895367344214922,0.0795001213439219,-0.106544333810158,8.051941233543495,0.214132538170859,distributional_default,Ghana,women_b12,"configured column gw_wB12, no inflammation adjustment",FALSE,148,0.06906360597414471,75,12345,0,0.311,NA,TRUE,0.17,full
486,14,0.584937319189971,0.11015522465197498,0.10978954791931472,-0.003330706242901993,-0.946536023245648,-0.9824175824175825,4.946026561060927,-11.983064593654202,binary_classifier,Sierra Leone,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.12012830443252939,14,12345,0,0.455,NA,TRUE,0.03,full
486,14,0.584937319189971,0.11015501213875817,0.10978954791931472,-0.003328770601296549,-0.9458733452064104,-0.9824175824175825,4.944923810885517,-11.986986826808865,distributional_default,Sierra Leone,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.12012830443252939,14,12345,0,0.455,NA,TRUE,0.03,full
774,14,0.67386030526635,0.016566347293046842,0.016533877530209354,-0.001963832306012936,-0.6044987410880167,-0.844104125058245,1.3398927556438456,-4.1853336528529574,binary_classifier,Sierra Leone,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.01231111374487349,14,12345,0,0.404,NA,TRUE,0.05,full
774,14,0.637268775902153,0.016603091656027028,0.016533877530209354,-0.004186200465753576,-0.25727944057631197,-0.3042434922296655,1.3324504593410134,-1.3978256339489965,distributional_default,Sierra Leone,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.01231111374487349,14,12345,0,0.404,NA,TRUE,0.05,full
486,14,0.6369315744315744,0.07924680194258835,0.07898559983825357,-0.0033069585452243366,-0.69835300304708,-0.5824175824175823,4.7891377013683645,-10.60840639104293,binary_classifier,Sierra Leone,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.08056992613585372,14,12345,0,0.325,NA,TRUE,0.04,full
486,14,0.5186883311883312,0.0995274769290675,0.07898559983825357,-0.26007116655288454,-0.2150912025547516,0.21758241758241756,7.594483682638585,-0.07892560574924032,distributional_default,Sierra Leone,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.08056992613585372,14,12345,0,0.325,NA,TRUE,0.04,full
774,14,0.5452300798798869,0.14275115321561802,0.142355189720148,-0.0027815178094205972,-0.2693739253417879,-0.4065934065934066,5.526190401244108,-1.8952865411164872,binary_classifier,Sierra Leone,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.1787413508167072,14,12345,0.167,0.66,-1.61,TRUE,0.05,full
774,14,0.5745428313373137,0.1426612631132889,0.142355189720148,-0.0021500683869875026,-0.8407550341690587,-0.8065934065934066,5.36092147849513,-15.211188684851544,distributional_default,Sierra Leone,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.1787413508167072,14,12345,0.167,0.66,-5.03,TRUE,0.05,full
766,14,0.5240360592938041,0.23942487226700404,0.1637252432224981,-0.46235771316969276,0.18056201363543853,0.05054945054945055,16.130504765803288,0.08388269797353397,binary_classifier,Sierra Leone,women_folate,"configured column gw_wFolate, no inflammation adjustment",FALSE,10,0.7915613905514678,14,12345,0.773,0.863,0.23,TRUE,0.07,full
766,14,0.5174779313790806,0.24971234203157247,0.1637252432224981,-0.5251914556157982,0.044370267052012184,-0.03736263736263736,18.95637254781902,0.019428899322124993,distributional_default,Sierra Leone,women_folate,"configured column gw_wFolate, no inflammation adjustment",FALSE,10,0.7915613905514678,14,12345,0.773,0.863,0.06,TRUE,0.07,full
270,6,NA,1.258638551409521e-5,1.071490333314043e-5,-0.17466160195458036,NA,NA,0.3494717008068467,0,binary_classifier,Sierra Leone,women_b12,"configured column gw_B12, no inflammation adjustment",FALSE,148,0.0032733626950187523,14,12345,0,0.27,NA,TRUE,0.04,full
