"country","outcome","target_coverage","split_conformal_halfwidth_pp","empirical_coverage_heldout","n_districts","n_design_ci"
"Gambia","child_vitA",0.9,21.14,0.8,30,30
"Gambia","women_vitA",0.9,10.6,0.933,30,30
"Gambia","child_iron",0.9,50.56,1,30,30
"Gambia","women_iron",0.9,58.07,1,30,30
"Ghana","child_vitA",0.9,24.27,0.868,75,75
"Ghana","women_vitA",0.9,9.16,0.895,75,75
"Ghana","child_iron",0.9,26.86,0.895,75,75
"Ghana","women_iron",0.9,24.78,0.947,75,75
"Ghana","women_folate",0.9,53.92,0.974,75,75
"Ghana","women_b12",0.9,27.91,0.947,75,75
"Malawi","child_vitA",0.9,30.64,0.977,87,87
"Malawi","women_vitA",0.9,8.21,0.773,87,87
"Malawi","child_iron",0.9,33.75,0.955,87,87
"Malawi","women_iron",0.9,23.44,0.795,87,87
"Malawi","women_folate",0.9,0.16,0.977,87,87
"Malawi","women_b12",0.9,10.5,0.886,87,87
"Malawi","child_zinc",0.9,68.52,0.977,87,87
"Malawi","women_zinc",0.9,48.88,0.955,87,87
