scorer,weighting,metric,n_folds,folds_nested_better,mean_original,mean_nested,mean_delta,median_delta,min_delta,max_delta,lower_better
glm,equal_country,auc,16,4,0.6071,0.5752,-0.0319,-0.0195,-0.1659,0.0566,FALSE
glm,equal_country,brier,16,6,0.1094,0.2336,0.1242,0.0013,-0.0265,0.7696,TRUE
glm,equal_country,calib_slope,16,7,0.3887,115.264,114.8753,-0.3708,-182.7982,2097.3488,FALSE
glm,equal_country,n_scored,16,8,3,4,1,1.5,-2,3,FALSE
glm,equal_country,null_brier_train,16,11,0.1134,0.1146,0.0012,7e-4,-0.0045,0.0092,FALSE
glm,equal_row,auc,16,4,0.6029,0.5725,-0.0304,-0.0205,-0.1652,0.0947,FALSE
glm,equal_row,brier,16,6,0.11,0.2104,0.1004,0.0013,-0.0248,0.6525,TRUE
glm,equal_row,calib_slope,16,7,0.2635,-5.7479,-6.0114,-0.3101,-258.3942,84.5303,FALSE
glm,equal_row,n_scored,16,8,3,4,1,1.5,-2,3,FALSE
glm,equal_row,null_brier_train,16,11,0.1134,0.1146,0.0012,7e-4,-0.0045,0.0092,FALSE
