"metric","median_r"
"indiv_optim_unwt",0.85
"indiv_cluster_unwt",0.356
"indiv_cluster_wt",0.354
"indiv_region_unwt",0.072
"indiv_region_wt",0.073
"area_enet_region",0.096
"sae_glmm_region",0.087
"sae_glmm_insample",0.749
"indiv_region_wt_ci_lo",-0.133
"indiv_region_wt_ci_hi",0.353
"indiv_region_wt_perm_p",0.287
"area_enet_region_ci_lo",-0.174
"area_enet_region_ci_hi",0.36
"area_enet_region_perm_p",0.312
"sae_glmm_region_ci_lo",-0.142
"sae_glmm_region_ci_hi",0.466
"sae_glmm_region_perm_p",0.222
