strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
direct_or_national,has_clusters,0.5,18,5.707349940776444,3.101521244119561,1,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,12,14.477463704758689,10.8297925793046,1,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,18,12.92508845845633,10.493216083893435,1,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,12,14.837632161707386,11.326451116902653,1,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,18,9.90151612759414,7.958006799249791,1,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,12,13.432639044425498,10.537444435033363,1,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,20,5.228718300962005,2.8071812054264,2,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,10,13.809052155037643,9.635034251294146,2,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,20,13.272201734029698,11.507112478052136,2,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,10,14.863956576218335,11.478202747035889,2,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,20,13.608492858228994,11.129037045964711,2,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,10,16.842968559728533,13.747096052058405,2,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,17,5.0574185171558375,3.329667725259703,3,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,13,17.304619365572886,14.678878390332887,3,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,17,6.68071092516139,5.595064702331755,3,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,13,15.970268320563177,13.267065686406884,3,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,17,10.192827961407788,8.233334543234298,3,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,13,14.364384757349766,11.856227318927704,3,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,18,4.499343993792948,3.1907696828482837,4,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,12,15.206659506618106,11.71294154018572,4,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,18,13.516327936471672,11.117854451223199,4,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,12,15.461837189001153,11.384913843512932,4,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,18,13.208767055051718,11.158166563423881,4,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,12,13.490131676202676,9.913539092081319,4,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,18,2.89720536827161,1.9489436141441514,5,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,12,16.523696909221393,13.651281907186874,5,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,18,8.238844799245555,6.767849988740066,5,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,12,15.892222188464054,13.513042354751084,5,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,18,9.114898903787386,8.159773370009821,5,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,12,16.043243769455156,13.346602057118902,5,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,23,5.353268602778354,2.856578754794469,6,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,7,9.327804361536298,7.565919954329571,6,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,23,14.925929773247484,12.165263902051807,6,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,7,8.025560540183058,6.9004994812584455,6,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,23,10.941842672338856,8.988059358720864,6,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,7,14.718418331183644,11.429414091139598,6,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,19,6.863687546300645,4.5487322008576925,7,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,11,16.948159868509467,13.876296539582485,7,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,19,11.431045448861083,9.554205186356937,7,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,11,17.33786757844403,13.919216460558511,7,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,19,11.272352737474796,8.903081637882645,7,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,11,17.491995819119335,13.197446797164952,7,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,5.081401583460912,2.993277441107331,8,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,13.351366363085429,10.064976407507856,8,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,11.973313372517287,9.270327725016452,8,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,11.018962509929043,9.241174313812166,8,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,17.28483941286825,13.248982084321511,8,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,12.895882707574103,11.93095923857745,8,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,5.352223417796833,3.315146354129752,9,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,17.30289735398473,14.286708314742505,9,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,11.39580635786853,9.477829723508236,9,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,16.256127757577186,12.686657818041851,9,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,9.898829071508926,8.519920540966972,9,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,13.76116223647252,10.119213544622136,9,70,30,12345,Gambia,child_vitA,full
