outcome,model_type,n,rmse,mae,r2,r,prev_pred,prev_obs,auc,brier,country
child_vitA,continuous,1020,0.23232858388429825,0.17911504209901338,0.08090374403900202,0.29231204932782284,0,NA,NA,NA,Gambia
child_vitA,binary,1020,NA,NA,NA,NA,NA,NA,0.6756172593286931,0.17866281372965534,Gambia
women_vitA,continuous,1413,0.46513028226235714,0.3064338519027763,0.1053561532229026,0.32586213203257336,0,NA,NA,NA,Gambia
women_vitA,binary,1413,NA,NA,NA,NA,NA,NA,0.8465579521378208,0.027048546087436988,Gambia
child_iron,continuous,1013,0.8040436818561043,0.650811734857805,0.07623648458149523,0.28015517334765755,0.8282329713721619,NA,NA,NA,Gambia
child_iron,binary,1013,NA,NA,NA,NA,NA,NA,0.655328131252501,0.22652590595640137,Gambia
women_iron,continuous,1402,0.8815488106505397,0.7236346708611145,0.08946919649141527,0.3014070408463205,0.38730385164051356,NA,NA,NA,Gambia
women_iron,binary,1402,NA,NA,NA,NA,NA,NA,0.6629409184145315,0.19936522946546462,Gambia
child_vitA,continuous,1165,0.2804953644409533,0.20957489260343573,0.12892726851508485,0.3633742145334417,0.008583690987124463,NA,NA,NA,Ghana
child_vitA,binary,1165,NA,NA,NA,NA,NA,NA,0.6723355855855856,0.1536911671485819,Ghana
women_vitA,continuous,992,0.5467933074468132,0.4078927928609859,0.152534541675718,0.39678510228289615,0,NA,NA,NA,Ghana
women_vitA,binary,992,NA,NA,NA,NA,NA,NA,0.9172625127681308,0.012302065940453343,Ghana
child_iron,continuous,1159,0.8237106569084213,0.6688300949934796,0.26714355122747435,0.5182784447151245,0.0362381363244176,NA,NA,NA,Ghana
child_iron,binary,1159,NA,NA,NA,NA,NA,NA,0.8275271980910782,0.11476301767228121,Ghana
women_iron,continuous,981,0.7587486140867824,0.6112499068919853,0.1536951539486321,0.3971595868197237,0,NA,NA,NA,Ghana
women_iron,binary,981,NA,NA,NA,NA,NA,NA,0.719711809375587,0.07337089285037757,Ghana
women_folate,continuous,475,8.355902967302882,6.278063929984133,0.200336893665236,0.46261710985653265,0.2505263157894737,NA,NA,NA,Ghana
women_folate,binary,475,NA,NA,NA,NA,NA,NA,0.7754919499105546,0.1957198818153777,Ghana
women_b12,continuous,473,216.95935612898765,169.88275745954843,0.23117296983594615,0.4921607328395284,0,NA,NA,NA,Ghana
women_b12,binary,473,NA,NA,NA,NA,NA,NA,0.8553695150115473,0.0646892312016628,Ghana
child_vitA,continuous,486,0.35431412680683827,0.2542235630316394,0.0328010001568908,0.19096454946529753,0,NA,NA,NA,Sierra Leone
child_vitA,binary,486,NA,NA,NA,NA,NA,NA,0.666671383692299,0.14206727443754943,Sierra Leone
women_vitA,continuous,774,0.4795341961601942,0.35210540100696774,0.11242212787008099,0.3430432213059402,0,NA,NA,NA,Sierra Leone
women_vitA,binary,774,NA,NA,NA,NA,NA,NA,0.6732804232804233,0.022685962871686356,Sierra Leone
child_iron,continuous,486,41.528063290405015,33.073137178716834,0.11295477851162838,0.3466681978389745,0,NA,NA,NA,Sierra Leone
child_iron,binary,486,NA,NA,NA,NA,NA,NA,0.7669603867747973,0.05123375740841643,Sierra Leone
women_iron,binary,774,NA,NA,NA,NA,NA,NA,0.719979285951576,0.07973287577116434,Sierra Leone
women_folate,continuous,766,4.697876939075773,2.4917675649186837,0.1378352190188299,0.37416754078640774,0.912532637075718,NA,NA,NA,Sierra Leone
women_folate,binary,766,NA,NA,NA,NA,NA,NA,0.7109687291805463,0.14858624327898884,Sierra Leone
women_b12,continuous,768,239.30807755543304,181.37438617152122,0.17031505712936457,0.4172601186358607,0,NA,NA,NA,Sierra Leone
women_b12,binary,768,NA,NA,NA,NA,NA,NA,0.5,0.005181206597222223,Sierra Leone
child_vitA,continuous,1102,0.27161549101180815,0.2154008247636015,0.05608464728009399,0.2611898243761023,0,NA,NA,NA,Malawi
child_vitA,binary,1102,NA,NA,NA,NA,NA,NA,0.6703641074171178,0.14958843424742135,Malawi
women_vitA,continuous,807,0.4233334998914313,0.3254108999593938,0.09157842254817194,0.31436586340513173,0,NA,NA,NA,Malawi
women_vitA,binary,807,NA,NA,NA,NA,NA,NA,0.9285927029039464,0.01921534575674115,Malawi
child_iron,continuous,1102,20.96928100444798,16.027726573011403,0.13796347058878744,0.3796951729400019,0,NA,NA,NA,Malawi
child_iron,binary,1102,NA,NA,NA,NA,NA,NA,0.7034988024233316,0.08340857080601871,Malawi
women_iron,continuous,752,38.15467272233508,22.621922259478946,0,NA,0,NA,NA,NA,Malawi
women_iron,binary,752,NA,NA,NA,NA,NA,NA,0.7953539823008849,0.07731566291937372,Malawi
women_folate,continuous,799,11.796303303738215,8.396684433760969,0.3806999587987099,0.6220060122262444,0,NA,NA,NA,Malawi
women_b12,continuous,809,239.0908373764787,163.90034149874495,0.5285194398318951,0.730826892360124,0,NA,NA,NA,Malawi
women_b12,binary,809,NA,NA,NA,NA,NA,NA,0.9035844673083305,0.02534044331559968,Malawi
child_zinc,continuous,1087,21.027562300818296,12.170127934580044,0.16847982520046045,0.4124686614774288,0.7175712971481141,NA,NA,NA,Malawi
child_zinc,binary,1087,NA,NA,NA,NA,NA,NA,0.7654700854700854,0.19473655165876003,Malawi
women_zinc,continuous,814,18.09201320226803,11.051708839741352,0.26683567140914155,0.5186929516403218,0.7088452088452089,NA,NA,NA,Malawi
women_zinc,binary,814,NA,NA,NA,NA,NA,NA,0.7865079365079365,0.18543782646137882,Malawi
