country,outcome,config,n,pearson_r,r_max,r_share,mae_pp,bias_pp
Gambia,child_vitA,baseline (current stack),30,0.128,0.671,0.19,12.06,-4.31
Gambia,child_vitA,enet only,30,-0.095,0.671,-0.14,12.08,-6.6
Gambia,child_vitA,enet + ranger,30,0.107,0.671,0.16,11.92,-4.04
Gambia,child_vitA,linear only (lasso/ridge/enet),30,-0.112,0.671,-0.17,12.64,-3.02
Gambia,child_vitA,baseline + precision weights,30,0.488,0.671,0.73,9.09,1.83
Gambia,child_vitA,baseline + AEF as 8 PCs,30,0.124,0.671,0.19,11.03,-3.4
Gambia,child_vitA,"baseline, AEF dropped",30,0.026,0.671,0.04,11.13,-4.28
Gambia,child_vitA,baseline + screen top-30,30,0.353,0.671,0.53,10.55,-4.1
Gambia,women_vitA,baseline (current stack),30,0.459,0.275,1.67,3.14,-1.54
Gambia,women_vitA,enet only,30,0.218,0.275,0.79,3.37,-1.86
Gambia,women_vitA,enet + ranger,30,0.46,0.275,1.67,3.13,-1.59
Gambia,women_vitA,linear only (lasso/ridge/enet),30,0.512,0.275,1.86,3.1,-1.94
Gambia,women_vitA,baseline + precision weights,30,0.394,0.275,1.43,3.57,0.92
Gambia,women_vitA,baseline + AEF as 8 PCs,30,0.507,0.275,1.84,3.07,-1.52
Gambia,women_vitA,"baseline, AEF dropped",30,0.459,0.275,1.67,3.09,-1.67
Gambia,women_vitA,baseline + screen top-30,30,0.251,0.275,0.91,3.26,-1.72
Gambia,child_iron,baseline (current stack),30,0.182,0.565,0.32,12.46,-0.41
Gambia,child_iron,enet only,30,0.478,0.565,0.85,10.79,1.94
Gambia,child_iron,enet + ranger,30,0.407,0.565,0.72,10.68,0.81
Gambia,child_iron,linear only (lasso/ridge/enet),30,0.417,0.565,0.74,10.92,2.2
Gambia,child_iron,baseline + precision weights,30,0.335,0.565,0.59,12.38,-3.01
Gambia,child_iron,baseline + AEF as 8 PCs,30,0.228,0.565,0.4,11.45,2.38
Gambia,child_iron,"baseline, AEF dropped",30,0.279,0.565,0.49,11.04,1.23
Gambia,child_iron,baseline + screen top-30,30,0.394,0.565,0.7,10.71,-0.52
Gambia,women_iron,baseline (current stack),30,0.645,0.706,0.91,9.22,-0.11
Gambia,women_iron,enet only,30,0.552,0.706,0.78,10.84,1.82
Gambia,women_iron,enet + ranger,30,0.697,0.706,0.99,9.65,1.82
Gambia,women_iron,linear only (lasso/ridge/enet),30,0.742,0.706,1.05,9.83,2.05
Gambia,women_iron,baseline + precision weights,30,0.695,0.706,0.98,9.48,-1.43
Gambia,women_iron,baseline + AEF as 8 PCs,30,0.719,0.706,1.02,8.87,0.28
Gambia,women_iron,"baseline, AEF dropped",30,0.724,0.706,1.02,8.55,0.02
Gambia,women_iron,baseline + screen top-30,30,0.665,0.706,0.94,9.92,1.17
