country,outcome,estimator,rho,sd_logit,replicates,r_truth,r_truth_lo,r_truth_hi,mae_truth,bias_truth,r_obs,mae_obs,median_lambda,icc
Ghana,child_iron,direct,0,0.8,6,0.7774,0.7605,0.8053,9.566,0.846,1,0,NA,0
Ghana,child_iron,flat_region,0,0.8,6,0.0395,-0.0403,0.1182,13.039,0.759,0.0088,17.197,NA,0
Ghana,child_iron,eb_blend,0,0.8,6,0.6765,0.6082,0.7245,8.213,-0.975,0.7959,9.034,NA,0
Ghana,child_iron,ridge,0,0.8,6,-0.0183,-0.0779,0.0423,13.012,-5.611,-0.0215,17.106,NA,0
Ghana,child_iron,region_tilt,0,0.8,6,0.0216,-0.0423,0.0777,13.42,3.508,-0.0063,17.453,NA,0
Ghana,child_iron,eb_covariate,0,0.8,6,0.7112,0.6439,0.7598,7.919,-3.729,0.8764,8.382,NA,0
Ghana,child_iron,eb_stack,0,0.8,6,0.7387,0.6892,0.7729,7.368,-1.433,0.8926,8.163,NA,0
Ghana,child_iron,direct,0.2,0.8,6,0.7594,0.7215,0.7949,9.148,0.911,1,0,NA,0
Ghana,child_iron,flat_region,0.2,0.8,6,0.2022,0.038,0.4073,12.309,0.542,0.11,16.139,NA,0
Ghana,child_iron,eb_blend,0.2,0.8,6,0.6657,0.5694,0.7417,8.022,-0.935,0.7353,9.561,NA,0
Ghana,child_iron,ridge,0.2,0.8,6,0.2603,0.028,0.4358,11.401,-5.913,0.1717,15.503,NA,0
Ghana,child_iron,region_tilt,0.2,0.8,6,0.2039,0.0329,0.3931,12.856,3.628,0.126,16.319,NA,0
Ghana,child_iron,eb_covariate,0.2,0.8,6,0.6982,0.5969,0.7724,8.312,-4.898,0.7787,10.311,NA,0
Ghana,child_iron,eb_stack,0.2,0.8,6,0.7222,0.6323,0.7865,7.343,-1.138,0.8095,9.368,NA,0
Ghana,child_iron,direct,0.35,0.8,6,0.7635,0.7364,0.7994,9.343,0.885,1,0,NA,0
Ghana,child_iron,flat_region,0.35,0.8,6,0.3603,0.2272,0.5276,11.464,0.465,0.2361,15.693,NA,0
Ghana,child_iron,eb_blend,0.35,0.8,6,0.744,0.698,0.798,7.334,-0.87,0.8019,8.57,NA,0
Ghana,child_iron,ridge,0.35,0.8,6,0.4237,0.1981,0.59,10.766,-6.043,0.2977,15.155,NA,0
Ghana,child_iron,region_tilt,0.35,0.8,6,0.3746,0.2356,0.5283,11.951,3.549,0.2602,15.8,NA,0
Ghana,child_iron,eb_covariate,0.35,0.8,6,0.73740000000000006,0.6536,0.802,7.861,-4.724,0.7679,10.238,NA,0
Ghana,child_iron,eb_stack,0.35,0.8,6,0.7585,0.6751,0.8161,6.933,-0.911,0.8008,9.291,NA,0
Ghana,child_iron,direct,0.6,0.8,6,0.7462,0.7057,0.7871,9.745,0.468,1,0,NA,0
Ghana,child_iron,flat_region,0.6,0.8,6,0.5863,0.5143,0.6912,9.817,0.317,0.3816,14.637,NA,0
Ghana,child_iron,eb_blend,0.6,0.8,6,0.8103,0.7697,0.8417,6.779,-1.112,0.8169,7.977,NA,0
Ghana,child_iron,ridge,0.6,0.8,6,0.6976,0.617,0.7492,8.806,-4.997,0.5055,13.192,NA,0
Ghana,child_iron,region_tilt,0.6,0.8,6,0.6023,0.528,0.7035,10.017,2.949,0.3978,14.82,NA,0
Ghana,child_iron,eb_covariate,0.6,0.8,6,0.7922,0.7478,0.851,7.538,-4.514,0.6984,10.683,NA,0
Ghana,child_iron,eb_stack,0.6,0.8,6,0.8106,0.7523,0.8606,6.543,-0.913,0.7301,9.9,NA,0
