"country","outcome","level","n_units","median_n","lambda","r_max"
"gambia","child_vitA","Admin1",6,158,0.719,0.848
"gambia","child_vitA","Admin2",30,22,0.451,0.671
"gambia","women_vitA","Admin1",6,213.5,0.328,0.573
"gambia","women_vitA","Admin2",30,25.5,0.076,0.275
"gambia","child_iron","Admin1",6,156.5,0.724,0.851
"gambia","child_iron","Admin2",30,22,0.319,0.565
"gambia","women_iron","Admin1",6,212.5,0.851,0.922
"gambia","women_iron","Admin2",30,25.5,0.507,0.712
"ghana","child_vitA","Admin1",16,63.5,0.436,0.66
"ghana","child_vitA","Admin2",75,14,0.001,0.03
"ghana","women_vitA","Admin1",16,45,0,0
"ghana","women_vitA","Admin2",75,12,0,0
"ghana","child_iron","Admin1",16,63.5,0.826,0.909
"ghana","child_iron","Admin2",75,14,0.451,0.672
"ghana","women_iron","Admin1",16,45,0.479,0.692
"ghana","women_iron","Admin2",75,12,0,0
"ghana","women_folate","Admin1",16,22.5,0.833,0.913
"ghana","women_folate","Admin2",75,6,0.393,0.627
"ghana","women_b12","Admin1",16,22.5,0.655,0.809
"ghana","women_b12","Admin2",75,6,0.135,0.367
"sierraleone","child_vitA","Admin2",14,36,0,0
"sierraleone","women_vitA","Admin2",14,54,0,0
"sierraleone","child_iron","Admin2",14,36,0,0
"sierraleone","women_iron","Admin2",14,54,0.5,0.707
"sierraleone","women_folate","Admin2",14,47,0.598,0.773
"sierraleone","women_b12","Admin2",14,47,0,0
"malawi","child_vitA","Admin1",27,37,0.15,0.388
"malawi","child_vitA","Admin2",86,11.5,0,0
"malawi","women_vitA","Admin1",27,27,0,0
"malawi","women_vitA","Admin2",86,8,0,0
"malawi","child_iron","Admin1",27,37,0.233,0.483
"malawi","child_iron","Admin2",86,11.5,0,0
"malawi","women_iron","Admin1",27,24,0,0
"malawi","women_iron","Admin2",86,8,0.041,0.202
"malawi","women_folate","Admin1",27,27,0.702,0.838
"malawi","women_folate","Admin2",86,8,0.332,0.576
"malawi","women_b12","Admin1",27,27,0.125,0.354
"malawi","women_b12","Admin2",86,8.5,0,0
"malawi","child_zinc","Admin1",27,37,0.443,0.666
"malawi","child_zinc","Admin2",86,11,0.455,0.674
"malawi","women_zinc","Admin1",27,27,0.552,0.743
"malawi","women_zinc","Admin2",86,8,0.499,0.707
"tanzania","child_vitA","Admin1",31,192,0.787,0.887
"tanzania","child_vitA","Admin2",162,30,0.559,0.748
"tanzania","women_vitA","Admin1",31,305,0.627,0.792
"tanzania","women_vitA","Admin2",163,43,0.591,0.769
