"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
30,0.671,0.379,0.38,13.84,13.09,4.5,10.86,"child_vitA","gambia","spatial_tps","train_mean"
30,0.671,0.379,0.38,13.15,13.11,1.03,12.2,"child_vitA","gambia","spatial_tps","oracle_national"
30,0.671,0.327,0.362,13.05,12.65,-3.22,1.67,"child_vitA","gambia","spatial + decorr20","train_mean"
30,0.671,0.327,0.362,12.64,12.58,1.25,1.35,"child_vitA","gambia","spatial + decorr20","oracle_national"
30,0.671,-0.194,-0.128,15.2,14.09,-5.69,-0.9,"child_vitA","gambia","spatial + curated16","train_mean"
30,0.671,-0.195,-0.128,14.63,14.57,1.3,-0.65,"child_vitA","gambia","spatial + curated16","oracle_national"
30,0.671,0.652,0.615,11.61,10.52,-4.91,0.73,"child_vitA","gambia","zscore + screen30","train_mean"
30,0.671,0.627,0.615,18.14,15.8,8.89,0.41,"child_vitA","gambia","zscore + screen30","oracle_national"
30,0.671,0.686,0.555,11.77,10.72,-4.87,0.66,"child_vitA","gambia","zscore + decorr20","train_mean"
30,0.671,0.667,0.555,17.49,15.39,8.32,0.43,"child_vitA","gambia","zscore + decorr20","oracle_national"
30,0.671,0.592,0.626,14.18,13.65,-3.83,0.48,"child_vitA","gambia","zscore + ridge_all","train_mean"
30,0.671,0.61,0.626,21.98,20.27,8.51,0.32,"child_vitA","gambia","zscore + ridge_all","oracle_national"
30,0.671,0.285,0.435,16.26,15.59,-4.63,0.29,"child_vitA","gambia","zscore + curated16","train_mean"
30,0.671,0.312,0.435,23.42,21.67,8.88,0.19,"child_vitA","gambia","zscore + curated16","oracle_national"
75,0.03,0.35,0.304,23.87,12.95,20.05,0.36,"child_vitA","ghana","spatial_tps","train_mean"
75,0.03,0.352,0.304,11.43,11.15,2.54,0.57,"child_vitA","ghana","spatial_tps","oracle_national"
75,0.03,0.271,0.258,24.75,16.56,18.4,0.2,"child_vitA","ghana","spatial + decorr20","train_mean"
75,0.03,0.281,0.258,13.79,13.02,4.56,0.32,"child_vitA","ghana","spatial + decorr20","oracle_national"
75,0.03,0.279,0.299,53.12,30.25,43.66,0.1,"child_vitA","ghana","spatial + curated16","train_mean"
75,0.03,0.368,0.299,24.83,21.87,11.75,0.18,"child_vitA","ghana","spatial + curated16","oracle_national"
75,0.03,-0.161,-0.161,17.9,17.89,0.5,-0.15,"child_vitA","ghana","zscore + screen30","train_mean"
75,0.03,-0.181,-0.161,25.64,23.68,9.84,-0.11,"child_vitA","ghana","zscore + screen30","oracle_national"
75,0.03,-0.065,-0.018,19.75,19.71,1.27,-0.05,"child_vitA","ghana","zscore + decorr20","train_mean"
75,0.03,-0.079,-0.018,29.14,27.3,10.2,-0.04,"child_vitA","ghana","zscore + decorr20","oracle_national"
75,0.03,-0.1,0.033,20.53,20.48,1.48,-0.07,"child_vitA","ghana","zscore + ridge_all","train_mean"
75,0.03,-0.086,0.033,30.4,28.61,10.27,-0.04,"child_vitA","ghana","zscore + ridge_all","oracle_national"
75,0.03,0.148,0.201,17.84,17.79,1.35,0.11,"child_vitA","ghana","zscore + curated16","train_mean"
75,0.03,0.193,0.201,26.39,24.26,10.39,0.09,"child_vitA","ghana","zscore + curated16","oracle_national"
14,0,0.153,0.147,6.62,5.62,-3.49,0.51,"child_vitA","sierraleone","spatial_tps","train_mean"
14,0,0.153,0.147,5.93,5.81,1.18,0.34,"child_vitA","sierraleone","spatial_tps","oracle_national"
14,0,0.066,0.046,6.56,6.43,-1.3,0.11,"child_vitA","sierraleone","spatial + decorr20","train_mean"
14,0,0.062,0.046,7.16,6.94,1.73,0.08,"child_vitA","sierraleone","spatial + decorr20","oracle_national"
14,0,0.129,0.064,10.07,9.22,4.04,0.09,"child_vitA","sierraleone","spatial + curated16","train_mean"
14,0,0.127,0.064,9.12,8.74,2.62,0.1,"child_vitA","sierraleone","spatial + curated16","oracle_national"
14,0,0.248,0.266,18.22,17.55,4.89,0.08,"child_vitA","sierraleone","zscore + screen30","train_mean"
14,0,0.245,0.266,8.96,8.53,2.73,0.17,"child_vitA","sierraleone","zscore + screen30","oracle_national"
14,0,0.232,0.297,18.06,17.39,4.87,0.07,"child_vitA","sierraleone","zscore + decorr20","train_mean"
14,0,0.258,0.297,8.88,8.45,2.73,0.18,"child_vitA","sierraleone","zscore + decorr20","oracle_national"
14,0,0.157,0.165,17.14,16.51,4.6,0.05,"child_vitA","sierraleone","zscore + ridge_all","train_mean"
14,0,0.17,0.165,8.94,8.53,2.69,0.13,"child_vitA","sierraleone","zscore + ridge_all","oracle_national"
14,0,0.106,0.2,18.62,17.92,5.06,0.03,"child_vitA","sierraleone","zscore + curated16","train_mean"
14,0,0.167,0.2,9.23,8.82,2.74,0.12,"child_vitA","sierraleone","zscore + curated16","oracle_national"
97,0,0.099,0.079,14.15,10.59,9.38,2.74,"child_vitA","malawi","spatial_tps","train_mean"
97,0,0.099,0.079,10.61,10.6,-0.3,5.51,"child_vitA","malawi","spatial_tps","oracle_national"
97,0,-0.12,-0.077,13.51,12.62,4.82,-0.23,"child_vitA","malawi","spatial + decorr20","train_mean"
97,0,-0.121,-0.077,11.8,11.79,0.54,-0.32,"child_vitA","malawi","spatial + decorr20","oracle_national"
97,0,0.047,-0.043,16.52,14.09,8.63,0.05,"child_vitA","malawi","spatial + curated16","train_mean"
97,0,0.056,-0.043,12.23,12.16,1.34,0.09,"child_vitA","malawi","spatial + curated16","oracle_national"
97,0,-0.045,0.056,22.97,21.28,8.66,-0.03,"child_vitA","malawi","zscore + screen30","train_mean"
97,0,-0.057,0.056,23.4,22.74,5.53,-0.03,"child_vitA","malawi","zscore + screen30","oracle_national"
97,0,0.008,-0.145,23.26,20.9,10.2,0,"child_vitA","malawi","zscore + decorr20","train_mean"
97,0,0.019,-0.145,23.86,22.59,7.7,0.01,"child_vitA","malawi","zscore + decorr20","oracle_national"
97,0,-0.002,0.001,23.84,21.49,10.32,0,"child_vitA","malawi","zscore + ridge_all","train_mean"
97,0,-0.025,0.001,24.79,23.51,7.89,-0.01,"child_vitA","malawi","zscore + ridge_all","oracle_national"
97,0,0.043,-0.033,22.28,19.99,9.84,0.03,"child_vitA","malawi","zscore + curated16","train_mean"
97,0,0.052,-0.033,22.61,21.48,7.05,0.03,"child_vitA","malawi","zscore + curated16","oracle_national"
167,0.766,-0.005,-0.011,22.25,15.7,-15.76,-0.06,"child_vitA","tanzania","spatial_tps","train_mean"
167,0.766,-0.004,-0.011,16.22,16.22,0.25,-0.02,"child_vitA","tanzania","spatial_tps","oracle_national"
167,0.766,-0.075,-0.078,23.63,17.77,-15.57,-0.16,"child_vitA","tanzania","spatial + decorr20","train_mean"
167,0.766,-0.069,-0.078,23.15,23.03,2.35,-0.07,"child_vitA","tanzania","spatial + decorr20","oracle_national"
167,0.766,0.058,0.081,23.38,15.79,-17.24,0.27,"child_vitA","tanzania","spatial + curated16","train_mean"
