auc,brier,domain_removed,n_removed,n_perm_valid,outcome,country
0.6970911267394883,0.14758492878784021,none,0,NA,child_vitA,Gambia
0.6881376627263205,0.14892997038744896,Child Health,1,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Child Nutrition,2,5,child_vitA,Gambia
0.667231482866976,0.15030558111240522,Climate,17,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Demographics,1,5,child_vitA,Gambia
0.6912201107287147,0.14836588113452112,Environment,67,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Family Planning,1,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Food Security,15,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Health and Development,5,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Household Characteristics,1,5,child_vitA,Gambia
0.6711411042944785,0.15160512651829122,Infectious Disease,13,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Infrastructure,2,5,child_vitA,Gambia
0.6970911267394883,0.14758492878784021,Survey Characteristics,4,5,child_vitA,Gambia
0.6894113422115816,0.14855758415491258,Water and Sanitation,9,5,child_vitA,Gambia
0.7882966507177034,0.025256145912890146,none,0,NA,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Agriculture,1,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Child Health,6,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Child Nutrition,4,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Climate,25,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Demographics,1,5,women_vitA,Gambia
0.6409014354066986,0.02607869177856653,Environment,80,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Food Security,18,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Health and Development,2,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Household Characteristics,5,5,women_vitA,Gambia
0.7837722488038278,0.025277187897290495,Infectious Disease,18,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Infrastructure,2,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Malaria,1,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Survey Characteristics,1,5,women_vitA,Gambia
0.7882966507177034,0.025256145912890146,Water and Sanitation,15,5,women_vitA,Gambia
0.5,0.2435271383173727,none,0,NA,child_iron,Gambia
0.5,0.2435271383173727,Adult Nutrition,1,5,child_iron,Gambia
0.5,0.2435271383173727,Child Health,3,5,child_iron,Gambia
0.5,0.2435271383173727,Child Nutrition,3,5,child_iron,Gambia
0.5,0.2435271383173727,Climate,15,5,child_iron,Gambia
0.5,0.2435271383173727,Environment,52,5,child_iron,Gambia
0.5,0.2435271383173727,Food Security,18,5,child_iron,Gambia
0.5,0.2435271383173727,Health and Development,2,5,child_iron,Gambia
0.5,0.2435271383173727,Household Characteristics,4,5,child_iron,Gambia
0.5,0.2435271383173727,Infectious Disease,12,5,child_iron,Gambia
0.5,0.2435271383173727,Infrastructure,2,5,child_iron,Gambia
0.5,0.2435271383173727,Malaria,1,5,child_iron,Gambia
0.5,0.2435271383173727,Survey Characteristics,3,5,child_iron,Gambia
0.5,0.2435271383173727,Water and Sanitation,9,5,child_iron,Gambia
0.6610889128656288,0.19926853356302401,none,0,NA,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Child Health,3,5,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Child Nutrition,2,5,women_iron,Gambia
0.6538535231974959,0.20095139178491722,Climate,18,5,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Demographics,1,5,women_iron,Gambia
0.6589658647632823,0.20003863012713605,Environment,59,5,women_iron,Gambia
0.6564584247281868,0.20035399670007717,Food Security,27,5,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Health and Development,3,5,women_iron,Gambia
0.6599981029392585,0.19953607999861975,Household Characteristics,6,5,women_iron,Gambia
0.6618648107089079,0.19935226486329283,Infectious Disease,14,5,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Infrastructure,2,5,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Malaria,1,5,women_iron,Gambia
0.6610889128656288,0.19926853356302401,Survey Characteristics,2,5,women_iron,Gambia
0.6570356054587924,0.19976277053525618,Water and Sanitation,11,5,women_iron,Gambia
0.5,0.12704894177457682,none,0,NA,child_vitA,Ghana
0.5,0.12704894177457682,Adult Nutrition,2,5,child_vitA,Ghana
0.5,0.12704894177457682,Child Health,7,5,child_vitA,Ghana
0.5,0.12704894177457682,Child Nutrition,7,5,child_vitA,Ghana
0.5,0.12704894177457682,Climate,20,5,child_vitA,Ghana
0.5,0.12704894177457682,Demographics,1,5,child_vitA,Ghana
0.5,0.12704894177457682,Environment,74,5,child_vitA,Ghana
0.5,0.12704894177457682,Family Planning,3,5,child_vitA,Ghana
0.5,0.12704894177457682,Food Security,17,5,child_vitA,Ghana
0.5,0.12704894177457682,Health and Development,25,5,child_vitA,Ghana
0.5,0.12704894177457682,HIV/AIDS,1,5,child_vitA,Ghana
0.5,0.12704894177457682,Household Characteristics,63,5,child_vitA,Ghana
0.5,0.12704894177457682,Infant and Child Mortality,1,5,child_vitA,Ghana
0.5,0.12704894177457682,Infectious Disease,11,5,child_vitA,Ghana
0.5,0.12704894177457682,Infrastructure,3,5,child_vitA,Ghana
0.5,0.12704894177457682,Malaria,4,5,child_vitA,Ghana
0.5,0.12704894177457682,Reproductive Health,1,5,child_vitA,Ghana
0.5,0.12704894177457682,Survey Characteristics,3,5,child_vitA,Ghana
0.5,0.12704894177457682,Survey Indicators,2,5,child_vitA,Ghana
0.5,0.12704894177457682,Water and Sanitation,17,5,child_vitA,Ghana
