"country","outcome","n_admin2","naive_rmse_pp","sampling_rmse_pp","adjusted_rmse_pp","naive_mae_pp","pearson_r","pearson_ci_lo","pearson_ci_hi","pearson_perm_p","n_boot"
"Gambia","child_vitA",30,10.86,3.03,10.42,8.27,0.58,0.31,0.798,0.001,1000
"Gambia","women_vitA",30,3.75,0.91,3.64,2.67,0.662,0.409,0.852,0.001,1000
"Gambia","child_iron",30,26.19,3.5,25.96,23.14,0.567,0.291,0.78,0.003,1000
"Gambia","women_iron",30,21.71,4.31,21.28,18.98,0.775,0.628,0.885,0.001,1000
"Ghana","child_vitA",75,10.87,2.43,10.59,8.95,0.34,0.084,0.549,0.002,1000
"Ghana","women_vitA",75,4.52,0.54,4.49,2.4,-0.026,-0.177,0.22,0.5195,1000
"Ghana","child_iron",75,15.59,2.09,15.45,12.47,0.56,0.414,0.685,0.001,1000
"Ghana","women_iron",75,12.13,1.98,11.97,9.5,0.307,0.043,0.518,0.005,1000
"Ghana","women_folate",75,27.07,4.74,26.65,21.78,0.432,0.22,0.601,0.001,1000
"Ghana","women_b12",75,15.39,2.1,15.25,9.6,0.385,0.153,0.623,0.007,1000
"Sierra Leone","child_vitA",14,5.37,5.34,0.59,4.47,0.476,-0.145,0.831,0.039,1000
"Sierra Leone","women_vitA",14,1.54,1.29,0.84,1.23,0.474,0.099,0.887,0.0659,1000
"Sierra Leone","child_iron",14,3.38,3.58,0,2.44,0.697,0.371,0.943,0.008,1000
"Sierra Leone","women_iron",14,9.14,6.5,6.43,7.86,0.711,0.094,0.959,0.001,1000
"Sierra Leone","women_folate",14,4.51,7.57,0,3.67,0.901,0.78,0.971,0.001,1000
"Sierra Leone","women_b12",14,0.62,0.7,0,0.46,0.498,0.192,0.909,0.0759,1000
"Malawi","child_vitA",87,13.43,1.47,13.35,9.36,0.128,-0.076,0.357,0.1169,1000
"Malawi","women_vitA",87,5.05,0,5.05,2.78,-0.112,-0.212,0.007,0.8621,1000
"Malawi","child_iron",87,18.21,2,18.1,13.64,0.233,0.001,0.436,0.024,1000
"Malawi","women_iron",87,18.52,2.34,18.37,13.88,0.168,-0.061,0.394,0.0719,1000
"Malawi","women_folate",87,18.88,2.85,18.66,14.94,0.472,0.34,0.615,0.001,1000
"Malawi","women_b12",87,6.22,0.44,6.2,4.2,0.136,-0.016,0.328,0.1049,1000
"Malawi","child_zinc",87,26.46,4.89,26.01,21.77,0.034,-0.144,0.217,0.3646,1000
"Malawi","women_zinc",87,27.17,4.24,26.84,21.62,0.149,-0.095,0.368,0.0969,1000
