"outcome","held_out","n_area","spearman_r","pearson_r","spearman_ci_lo","spearman_ci_hi","spearman_perm_p","n_boot"
"child_vitA","Gambia",30,-0.461,-0.35,-0.715,-0.151,0.991,1000
"child_vitA","Ghana",71,0.348,0.312,0.115,0.535,0.003,1000
"child_vitA","SierraLeone",14,-0.015,0.088,-0.568,0.534,0.5534,1000
"child_vitA","Malawi",83,0.05,0.097,-0.21,0.287,0.3556,1000
"women_vitA","Ghana",72,0.259,0.273,0.016,0.459,0.016,1000
"women_vitA","SierraLeone",14,0.194,-0.021,-0.395,0.653,0.2398,1000
"women_vitA","Malawi",79,0.123,0.113,-0.071,0.298,0.1608,1000
"child_iron","Gambia",30,0.507,0.489,0.154,0.747,0.004,1000
"child_iron","Ghana",71,0.383,0.419,0.148,0.597,0.002,1000
"child_iron","SierraLeone",14,0.169,-0.038,-0.522,0.749,0.2777,1000
"child_iron","Malawi",83,-0.056,-0.008,-0.28,0.174,0.6933,1000
"women_iron","Gambia",30,0.674,0.572,0.417,0.831,0.001,1000
"women_iron","Ghana",72,0.156,0.176,-0.09,0.365,0.0979,1000
"women_iron","SierraLeone",14,-0.345,-0.112,-0.739,0.203,0.9041,1000
"women_iron","Malawi",75,0.075,-0.011,-0.154,0.307,0.2937,1000
"women_folate","Ghana",52,-0.073,-0.085,-0.373,0.227,0.6913,1000
"women_folate","SierraLeone",14,0.248,0.293,-0.348,0.718,0.1958,1000
"women_folate","Malawi",80,0.033,-0.068,-0.19,0.277,0.3776,1000
"women_b12","Ghana",51,0.081,0.166,-0.198,0.357,0.2887,1000
"women_b12","SierraLeone",14,-0.193,-0.196,-0.621,0.304,0.7532,1000
"women_b12","Malawi",80,0.009,-0.061,-0.215,0.24,0.5165,1000
