"country","outcome","mode","estimator","scheme","n_area","pearson_r","spearman_r","calib_slope","mae_pp","pearson_ci_lo","pearson_ci_hi","pearson_perm_p","n_boot"
"Gambia","child_vitA","enriched","binomial","district",30,0.178,0.281,0.23,11.45,-0.165,0.576,0.1808,1000
"Gambia","child_vitA","enriched","binomial","region",30,0.211,0.053,0.31,12.38,-0.123,0.48,0.1309,1000
"Gambia","women_vitA","enriched","binomial","district",30,0.384,0.408,0.96,3.22,0.083,0.674,0.027,1000
"Gambia","women_vitA","enriched","binomial","region",30,0.314,0.224,1.37,3.32,-0.064,0.587,0.041,1000
"Gambia","child_iron","enriched","binomial","district",30,0.34,0.3,0.71,12.23,0.068,0.602,0.032,1000
"Gambia","child_iron","enriched","binomial","region",30,0.211,0.228,0.72,12.06,-0.208,0.534,0.1349,1000
"Gambia","women_iron","enriched","binomial","district",30,0.601,0.571,1.12,10.82,0.411,0.773,0.001,1000
"Gambia","women_iron","enriched","binomial","region",30,0.511,0.543,1.29,12,0.235,0.716,0.005,1000
"Ghana","child_vitA","enriched","binomial","district",71,0.221,0.215,0.46,9.65,0.002,0.42,0.03,1000
"Ghana","child_vitA","enriched","binomial","region",71,0.304,0.269,0.71,8.95,0.069,0.517,0.005,1000
"Ghana","women_vitA","enriched","binomial","district",72,-0.132,-0.151,-0.7,2.79,-0.278,0.037,0.8501,1000
"Ghana","women_vitA","enriched","binomial","region",72,-0.15,-0.135,-1.2,2.75,-0.372,0.068,0.8991,1000
"Ghana","child_iron","enriched","binomial","district",71,0.635,0.592,0.84,11.08,0.489,0.752,0.001,1000
"Ghana","child_iron","enriched","binomial","region",71,0.548,0.486,0.77,12.05,0.381,0.695,0.001,1000
"Ghana","women_iron","enriched","binomial","district",72,0.334,0.28,0.71,8.57,0.101,0.526,0.003,1000
"Ghana","women_iron","enriched","binomial","region",72,0.196,0.256,0.38,8.95,-0.034,0.458,0.048,1000
"Ghana","women_folate","enriched","binomial","district",52,-0.016,-0.091,-0.03,23.07,-0.286,0.214,0.5295,1000
"Ghana","women_folate","enriched","binomial","region",52,0.139,-0.005,0.33,20.91,-0.155,0.356,0.1518,1000
"Ghana","women_b12","enriched","binomial","district",51,0.559,0.383,0.62,8.45,0.168,0.756,0.001,1000
"Ghana","women_b12","enriched","binomial","region",51,-0.227,-0.224,-0.43,11.39,-0.421,0.012,0.951,1000
"Sierra Leone","child_vitA","enriched","binomial","district",14,-0.392,-0.552,-1.08,5.68,-0.783,-0.108,0.9291,1000
"Sierra Leone","child_vitA","enriched","binomial","region",14,0.132,0.068,0.03,19.97,-0.339,0.672,0.3217,1000
"Sierra Leone","women_vitA","enriched","binomial","district",14,-0.626,-0.873,-1.22,1.74,-0.902,-0.52,1,1000
"Sierra Leone","women_vitA","enriched","binomial","region",14,0.178,-0.042,0.05,2.85,-0.358,0.643,0.2498,1000
