"frozen_path","source_path","group","why","md5","bytes","source_mtime","frozen_date"
"results/tables/frozen_2026-09/area_comparison_all.csv","results/tables/area_comparison_all.csv","section3","individual-level aggregate, area-level arms, spatial smoother, r_share","1c18227e5e96531055b6a2f35f4e87fb",28839,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/resolution_comparison.csv","results/tables/resolution_comparison.csv","section3","admin-1 vs admin-2 comparison and the WHO-category accuracy claim","39b365b81d9f1a44ef5ff31594d2bdbb",7234,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/national_estimates_all.csv","results/tables/national_estimates_all.csv","section3","national recovery: 24/24 inside the survey 95% CI, mean abs error 0.96 pp","a071d6dbd66f26c378a6cc8c2dd11dbe",4734,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/bivariate_fdr.csv","results/tables/bivariate_fdr.csv","section3","predictors surviving FDR control: 0 of 294 in all 24 cells","d96324de15cfe8888d099f1a2621ef29",1025459,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/penalized_retained.csv","results/tables/penalized_retained.csv","section3","penalised regression retained predictors, median 0","0c22ee1d3a56b6326952afc761a5e7bd",4210,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/benchmarks_all.csv","results/tables/benchmarks_all.csv","section3","SuperLearner against the best of 21 comparators, 0 of 16 LOCO holdouts","7b9763c04791238f532ae8f5b559cf71",67191,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/covariate_validation.csv","results/tables/covariate_validation.csv","section3","covariate bounds and known-relationship checks","ac33210eedb4bfe90232a38f1fba2535",3464,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/admin1_arms.csv","results/tables/admin1_arms.csv","section4","the five anchoring arms; WS2 rescores these cells","5b16398125de4057abe8bf8f7bcd5f91",9977,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/individual_anchor.csv","results/tables/individual_anchor.csv","section5","proxy against questionnaire, district and cluster; WS3 rescores these","a333c3c064d152bceb29c5b745f0c712",3425,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/national_composition.csv","results/tables/national_composition.csv","section6","composition arms including the oracle national level","de8b5611f70fac64d3b842b0fd537d27",3289,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/national_composition_levels.csv","results/tables/national_composition_levels.csv","section6","predicted against true national levels","66e080f35d75d01aa1fec872c6e8f1e9",785,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/national_vmnis_loco.csv","results/tables/national_vmnis_loco.csv","section6","the VMNIS LOCO model panels","59cb1cc77d161b046afc758e0e54436a",1424,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/national_vmnis_ceiling.csv","results/tables/national_vmnis_ceiling.csv","section6","VMNIS variance components and r_max; WS6a recomputes the sampling term","e71adeb8af1d7b2fce520f369c8e6c4b",454,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/corrected/protocol_reconciliation.csv","results/tables/corrected/protocol_reconciliation.csv","corrected","per-cell r under each fold protocol; the WS3a starting point","6f34237ced2751ce11b2cc070667cc73",6067,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/corrected/protocol_reconciliation_medians.csv","results/tables/corrected/protocol_reconciliation_medians.csv","corrected","median r by protocol, including indiv_region_wt 0.031","4f340c879d5b620216f3f145233a12fc",515,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/corrected/cv_honesty_compare.csv","results/tables/corrected/cv_honesty_compare.csv","corrected","section 2.3 selection optimism, honest against optimistic schemes","7c3ce1d679dac61b9642fada72b4e544",9003,"2026-08-31 07:27:54","2026-08-31"
"results/tables/frozen_2026-09/corrected/admin2_unit_counts.csv","results/tables/corrected/admin2_unit_counts.csv","corrected","per-country polygon, unique-name and analytic unit counts for WS7a","cac25f7b9465f820bab491c6f5952f3a",207,"2026-08-28 11:49:40","2026-08-31"
"results/tables/frozen_2026-09/corrected/subsample_cost_of_accuracy.csv","results/tables/corrected/subsample_cost_of_accuracy.csv","corrected","subsample replicate structure WS5 reuses","4b72a15a7be69243a699cb34204ceeca",1180061,"2026-08-28 13:58:55","2026-08-31"
"results/tables/frozen_2026-09/corrected/subsample_summary.csv","results/tables/corrected/subsample_summary.csv","corrected","subsample summary by coverage stratum","9e0cd4aca8d75272e7ecd5c5a8f35ba8",360,"2026-08-28 13:58:55","2026-08-31"
