country,target,family,n_districts,n_degenerate_var,mean_est,lambda,r_max,r_oof,r_share
Gambia,AN_ANEM_W_ANY,DHS indicator,33,2,0.5365,0.8043,0.8968,0.3955,0.441
Gambia,AN_NUTS_W_THN,DHS indicator,33,2,0.1521,0.4705,0.6859,0.0863,0.126
Gambia,CH_DIAT_C_ORT,DHS indicator,33,2,0.5237,0.7765,0.8812,-0.4033,-0.458
Gambia,CH_VACC_C_BAS,DHS indicator,29,6,0.8582,-0.0389,0,-0.5127,NA
Gambia,CH_VACC_C_DP3,DHS indicator,21,14,0.9189,0.3425,0.5852,-0.149,-0.255
Gambia,CH_VACC_C_MSL,DHS indicator,20,15,0.8976,0.0631,0.2512,0.2183,0.869
Gambia,CM_ECMR_C_NNR,DHS indicator,32,3,0.0352,0.2856,0.5345,0.0087,0.016
Gambia,CN_ANMC_C_ANY,DHS indicator,33,2,0.5487,0.9048,0.9512,0.6229,0.655
Gambia,CN_BRFS_C_EXB,DHS indicator,33,2,0.6036,-0.0222,0,0.0589,NA
Gambia,CN_NUTS_C_HA2,DHS indicator,33,2,0.1922,0.4511,0.6717,0.1431,0.213
Gambia,CN_NUTS_C_WH2,DHS indicator,30,5,0.0604,0.6551,0.8094,-0.0912,-0.113
Gambia,FP_CUSA_W_MOD,DHS indicator,32,3,0.1213,0.6127,0.7827,0.129,0.165
Gambia,FP_NADA_W_UNT,DHS indicator,33,2,0.1779,0.6606,0.8128,0.0708,0.087
Gambia,ML_NETP_H_IT2,DHS indicator,33,2,0.4972,0.861,0.9279,0.1412,0.152
Gambia,RH_ANCN_W_N4P,DHS indicator,33,2,0.823,0.6321,0.7951,0.0288,0.036
Gambia,RH_DELA_C_SKP,DHS indicator,33,2,0.7792,0.8331,0.9127,0.2216,0.243
Gambia,WS_TLET_H_IMP,DHS indicator,33,2,0.5133,0.9033,0.9504,0.5878,0.618
Gambia,WS_TLET_P_BAS,DHS indicator,33,2,0.3688,0.862,0.9285,0.1671,0.18
Ghana,AN_ANEM_W_ANY,DHS indicator,117,102,0.4275,0.7097,0.8425,0.0956,0.113
Ghana,AN_NUTS_W_THN,DHS indicator,90,129,0.0925,-0.2016,0,0.2122,NA
Ghana,CH_DIAT_C_ORT,DHS indicator,59,119,0.5182,-0.456,0,0.1549,NA
Ghana,CH_VACC_C_BAS,DHS indicator,73,135,0.6995,0.0864,0.2939,0.0617,0.21
Ghana,CH_VACC_C_DP1,DHS indicator,25,183,0.8132,-0.1393,0,0.2501,NA
Ghana,CH_VACC_C_DP3,DHS indicator,52,156,0.7622,0.0313,0.1769,-0.0489,-0.277
Ghana,CH_VACC_C_MSL,DHS indicator,48,160,0.7799,-0.0881,0,-0.0616,NA
Ghana,CH_VACC_C_NON,DHS indicator,13,195,0.1818,-0.1249,0,0.159,NA
Ghana,CM_ECMR_C_NNR,DHS indicator,96,123,0.0386,0.2071,0.4551,-0.0785,-0.172
Ghana,CN_ANMC_C_ANY,DHS indicator,111,107,0.6557,0.7292,0.8539,0.3135,0.367
Ghana,CN_BRFS_C_EXB,DHS indicator,54,135,0.5311,0.328,0.5727,-0.0202,-0.035
Ghana,CN_NUTS_C_HA2,DHS indicator,106,112,0.2045,0.3264,0.5714,-0.3258,-0.57
Ghana,CN_NUTS_C_WH2,DHS indicator,62,156,0.084,0.0706,0.2658,-0.0369,-0.139
Ghana,FP_CUSA_W_MOD,DHS indicator,119,100,0.1779,0.549,0.741,0.1067,0.144
Ghana,FP_NADA_W_UNT,DHS indicator,120,99,0.2149,0.5985,0.7736,0.1393,0.18
Ghana,HA_HIVP_B_HIV,DHS indicator,56,163,0.0455,-0.0905,0,0.0747,NA
Ghana,ML_NETP_H_IT2,DHS indicator,117,102,0.447,0.7586,0.871,0.3442,0.395
Ghana,RH_ANCN_W_N4P,DHS indicator,97,122,0.8336,0.7044,0.8393,0.0544,0.065
Ghana,RH_DELA_C_SKP,DHS indicator,112,107,0.6833,0.7655,0.8749,0.426,0.487
Ghana,WS_TLET_H_IMP,DHS indicator,116,103,0.6479,0.8892,0.943,0.7629,0.809
Ghana,WS_TLET_P_BAS,DHS indicator,109,110,0.2447,0.8007,0.8948,0.1013,0.113
Malawi,AN_ANEM_W_ANY,DHS indicator,167,50,0.3315,0.7158,0.8461,0.4271,0.505
Malawi,AN_NUTS_W_THN,DHS indicator,137,80,0.0845,-0.0351,0,-0.2033,NA
Malawi,CH_DIAT_C_ORT,DHS indicator,148,69,0.6912,0.5215,0.7221,0.1534,0.212
Malawi,CH_VACC_C_BAS,DHS indicator,152,62,0.7357,0.5684,0.7539,-0.0152,-0.02
Malawi,CH_VACC_C_DP1,DHS indicator,52,164,0.9098,-0.2128,0,-0.2626,NA
Malawi,CH_VACC_C_DP3,DHS indicator,105,109,0.8815,0.1794,0.4236,-0.0771,-0.182
Malawi,CH_VACC_C_MSL,DHS indicator,107,107,0.8576,0.3564,0.597,-0.2229,-0.373
Malawi,CH_VACC_C_NON,DHS indicator,34,182,0.0992,-0.2371,0,-0.3751,NA
Malawi,CM_ECMR_C_NNR,DHS indicator,152,65,0.0266,0.3395,0.5826,-0.0192,-0.033
Malawi,CN_ANMC_C_ANY,DHS indicator,162,55,0.6203,0.5524,0.7432,0.1365,0.184
Malawi,CN_BRFS_C_EXB,DHS indicator,140,71,0.5766,0.0779,0.2791,-0.1148,-0.411
Malawi,CN_NUTS_C_HA2,DHS indicator,163,54,0.3585,0.3807,0.617,0.2421,0.392
Malawi,CN_NUTS_C_WH2,DHS indicator,83,134,0.0572,-0.0112,0,0.1058,NA
Malawi,FP_CUSA_W_MOD,DHS indicator,168,49,0.4419,0.7526,0.8675,0.3957,0.456
Malawi,FP_NADA_W_UNT,DHS indicator,168,49,0.1589,0.6797,0.8244,0.311,0.377
Malawi,HA_HIVP_B_HIV,DHS indicator,149,68,0.0886,0.6208,0.7879,0.6411,0.814
Malawi,ML_NETP_H_IT2,DHS indicator,168,49,0.2427,0.8132,0.9018,0.0989,0.11
Malawi,RH_ANCN_W_N4P,DHS indicator,164,53,0.4981,0.6142,0.7837,0.3596,0.459
Malawi,RH_DELA_C_SKP,DHS indicator,162,55,0.9019,0.6633,0.8145,0.0888,0.109
Malawi,WS_TLET_H_IMP,DHS indicator,168,49,0.83,0.8008,0.8949,0.2827,0.316
Malawi,WS_TLET_P_BAS,DHS indicator,168,49,0.5723,0.8317,0.912,0.3415,0.374
Sierra Leone,AN_ANEM_W_ANY,DHS indicator,14,0,0.4703,0.9156,0.9569,-0.6306,-0.659
Sierra Leone,AN_NUTS_W_THN,DHS indicator,14,0,0.0948,0.4167,0.6455,-0.4205,-0.651
Sierra Leone,CH_DIAT_C_ORT,DHS indicator,14,0,0.8773,0.5717,0.7561,-0.4325,-0.572
Sierra Leone,CH_VACC_C_BAS,DHS indicator,14,0,0.6798,0.7539,0.8683,-0.0316,-0.036
Sierra Leone,CH_VACC_C_DP1,DHS indicator,14,0,0.9331,0.3553,0.5961,-0.3652,-0.613
Sierra Leone,CH_VACC_C_DP3,DHS indicator,14,0,0.7773,0.7764,0.8811,0.2826,0.321
Sierra Leone,CH_VACC_C_MSL,DHS indicator,14,0,0.7977,0.6049,0.7778,-0.831,-1.068
Sierra Leone,CH_VACC_C_NON,DHS indicator,14,0,0.034,0.1862,0.4315,-0.6636,-1.538
Sierra Leone,CM_ECMR_C_NNR,DHS indicator,14,0,0.0419,0.7227,0.8501,-0.7499,-0.882
Sierra Leone,CN_ANMC_C_ANY,DHS indicator,14,0,0.7441,0.8181,0.9045,-0.4533,-0.501
Sierra Leone,CN_BRFS_C_EXB,DHS indicator,14,0,0.3379,0.8354,0.914,0.1423,0.156
Sierra Leone,CN_NUTS_C_HA2,DHS indicator,14,0,0.3047,0.7438,0.8625,-0.4224,-0.49
Sierra Leone,CN_NUTS_C_WH2,DHS indicator,14,0,0.0715,0.8332,0.9128,-0.0826,-0.09
Sierra Leone,FP_CUSA_W_MOD,DHS indicator,14,0,0.1963,0.9052,0.9514,-0.6128,-0.644
Sierra Leone,FP_NADA_W_UNT,DHS indicator,14,0,0.2059,0.7656,0.875,-0.4275,-0.489
Sierra Leone,HA_HIVP_B_HIV,DHS indicator,14,0,0.014,0.5981,0.7733,-0.4175,-0.54
Sierra Leone,ML_NETP_H_IT2,DHS indicator,14,0,0.1554,0.9101,0.954,-0.0187,-0.02
Sierra Leone,RH_ANCN_W_N4P,DHS indicator,14,0,0.7701,0.7403,0.8604,0.3413,0.397
Sierra Leone,RH_DELA_C_SKP,DHS indicator,14,0,0.46,0.936,0.9675,-0.5844,-0.604
Sierra Leone,WS_TLET_H_IMP,DHS indicator,14,0,0.4683,0.9145,0.9563,0.6475,0.677
Sierra Leone,WS_TLET_P_BAS,DHS indicator,14,0,0.1012,0.9223,0.9604,-0.9407,-0.98
Gambia,child_vitA,micronutrient,30,NA,0.1875,0.6355,0.7972,0.539,0.676
Gambia,women_vitA,micronutrient,30,NA,0.0349,0.4149,0.6441,0.5556,0.863
Gambia,child_iron,micronutrient,30,NA,0.638,0.5678,0.7535,0.528,0.701
Gambia,women_iron,micronutrient,30,NA,0.5146,0.6785,0.8237,0.7548,0.916
Ghana,child_vitA,micronutrient,75,NA,0.1353,0.3508,0.5923,0.1284,0.217
Ghana,women_vitA,micronutrient,75,NA,0.0162,0.1541,0.3925,0.1411,0.359
Ghana,child_iron,micronutrient,75,NA,0.2134,0.6574,0.8108,0.4908,0.605
Ghana,women_iron,micronutrient,75,NA,0.1298,0.1474,0.3839,0.0287,0.075
Ghana,women_folate,micronutrient,75,NA,0.5363,0.5085,0.7131,0.1443,0.202
Ghana,women_b12,micronutrient,75,NA,0.0948,0.2364,0.4862,-0.0596,-0.122
Sierra Leone,child_vitA,micronutrient,14,NA,0.1122,0.0333,0.1826,0.185,1.013
Sierra Leone,women_vitA,micronutrient,14,NA,0.0129,0.2044,0.4521,0.0942,0.208
Sierra Leone,child_iron,micronutrient,14,NA,0.0594,0.0628,0.2505,0.5076,2.026
Sierra Leone,women_iron,micronutrient,14,NA,0.1744,0.6747,0.8214,0.4396,0.535
Sierra Leone,women_folate,micronutrient,14,NA,0.8077,0.7183,0.8475,-0.45,-0.531
Sierra Leone,women_b12,micronutrient,14,NA,0.0042,0,0,0.4142,NA
Malawi,child_vitA,micronutrient,87,NA,0.0868,0.4021,0.6341,0.2151,0.339
Malawi,women_vitA,micronutrient,87,NA,0.016,0,0,0.0519,NA
Malawi,child_iron,micronutrient,87,NA,0.2031,0.2013,0.4487,0.3599,0.802
Malawi,women_iron,micronutrient,87,NA,0.1714,0.1558,0.3947,-0.0832,-0.211
Malawi,women_folate,micronutrient,87,NA,0.2047,0.6897,0.8305,0.3054,0.368
Malawi,women_b12,micronutrient,87,NA,0.03,0,0,0.3,NA
Malawi,child_zinc,micronutrient,87,NA,0.5777,0.6376,0.7985,-0.1592,-0.199
Malawi,women_zinc,micronutrient,87,NA,0.6403,0.6255,0.7909,-0.4615,-0.583
