country,outcome,predictor_set,n_predictors,rank,column,r,abs_r,n_pairs,min_n,eligible,threshold,flagged,n_flagged_in_cell,max_abs_r_in_cell,n_under_measured_cols
Gambia,child_vitA,questionnaire,1704,1,gw_cCurrentBF,0.2477,0.2477,537,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,2,map2_accessibility_201501_global_travel_time_to_cities,0.211,0.211,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,3,map2_explorer_2015_accessibility_to_cities_v1_0,0.211,0.211,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,4,gee_a2_AccessibilityCities,0.2105,0.2105,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,5,gw_WS8,0.2089,0.2089,143,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,6,dhs2019_w_literate_adm2.x,-0.2044,0.2044,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,7,dhs2019_w_literate_adm2.y,-0.2044,0.2044,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,8,gee_lst_night_2015_monthly_annual_mean,0.2033,0.2033,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,9,gee_lst_night_2015_annual_mean_mean,0.2032,0.2032,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,10,gee_a2_LST_Night_Mean,0.2032,0.2032,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,11,gee_lst_night_2015_monthly_2015_04_mean,0.2022,0.2022,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,12,gee_terraclimate_2017_vpd,0.202,0.202,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,13,gee_a2_LandCoverLayers,-0.2016,0.2016,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,14,gee_terraclimate_2018_vap,-0.2013,0.2013,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,15,mics_ir1,-0.201,0.201,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,16,gee_a2_TerraClimate_vap,-0.2009,0.2009,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,17,gw_Stratum,0.2008,0.2008,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,18,gee_a2_TerraClimate_vs,-0.2005,0.2005,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,19,gee_terraclimate_2018_vs,-0.2002,0.2002,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,20,mics_ws14_se,-0.2001,0.2001,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,21,gee_terraclimate_2017_vs,-0.1996,0.1996,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,22,gee_lst_night_2015_monthly_annual_max,0.1995,0.1995,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,23,gw_cAgeMonthsCat_COHA,0.1995,0.1995,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,24,gee_landcoverlayers_2018_2018_discrete_classification,-0.1994,0.1994,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,questionnaire,1704,25,gee_landcoverlayers_2017_2017_discrete_classification,-0.1993,0.1993,1020,100,TRUE,0.55,FALSE,0,0.2477,4
Gambia,child_vitA,proxy,1378,1,map2_accessibility_201501_global_travel_time_to_cities,0.211,0.211,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,2,map2_explorer_2015_accessibility_to_cities_v1_0,0.211,0.211,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,3,gee_a2_AccessibilityCities,0.2105,0.2105,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,4,dhs2019_w_literate_adm2.x,-0.2044,0.2044,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,5,dhs2019_w_literate_adm2.y,-0.2044,0.2044,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,6,gee_lst_night_2015_monthly_annual_mean,0.2033,0.2033,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,7,gee_lst_night_2015_annual_mean_mean,0.2032,0.2032,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,8,gee_a2_LST_Night_Mean,0.2032,0.2032,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,9,gee_lst_night_2015_monthly_2015_04_mean,0.2022,0.2022,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,10,gee_terraclimate_2017_vpd,0.202,0.202,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,11,gee_a2_LandCoverLayers,-0.2016,0.2016,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,12,gee_terraclimate_2018_vap,-0.2013,0.2013,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,13,mics_ir1,-0.201,0.201,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,14,gee_a2_TerraClimate_vap,-0.2009,0.2009,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,15,gee_a2_TerraClimate_vs,-0.2005,0.2005,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,16,gee_terraclimate_2018_vs,-0.2002,0.2002,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,17,mics_ws14_se,-0.2001,0.2001,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,18,gee_terraclimate_2017_vs,-0.1996,0.1996,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,19,gee_lst_night_2015_monthly_annual_max,0.1995,0.1995,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,20,gee_landcoverlayers_2018_2018_discrete_classification,-0.1994,0.1994,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,21,gee_landcoverlayers_2017_2017_discrete_classification,-0.1993,0.1993,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,22,gee_terraclimate_2017_vap,-0.1992,0.1992,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,23,gee_a2_LST_Night_Mean_yoy,0.199,0.199,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,24,ihme_adm1_global_anemia_2000_2019_sev_anemia_prev_15_49_years_females_severe_anemia_percent,0.1989,0.1989,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,25,gee_soilcalcium_stdev_20_50,-0.1987,0.1987,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,women_vitA,questionnaire,1727,1,gee_ndvi_50km_seasonal_cv,0.1734,0.1734,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,2,gee_lst_night_2014_monthly_2014_07_mean,0.1617,0.1617,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,3,dhs2019_c_anemia_moderate_adm2.x,0.1611,0.1611,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,4,dhs2019_c_anemia_moderate_adm2.y,0.1611,0.1611,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,5,dhs2019_c_anemia_any_adm2.x,0.1518,0.1518,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,6,dhs2019_c_anemia_any_adm2.y,0.1518,0.1518,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,7,dhs2019_CN_ANMC_C_ANY_adm2.x,0.1502,0.1502,1413,100,TRUE,0.55,FALSE,0,0.1734,4
