country,outcome,predictor_set,n_predictors,rank,column,r,abs_r,n_pairs,min_n,eligible,threshold,flagged,n_flagged_in_cell,max_abs_r_in_cell,n_under_measured_cols
Ghana,child_iron,questionnaire,2080,1,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_females_30_34_years_females_hiv_prevalence_percent,-0.3343,0.3343,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,2,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_30_34_years_males_hiv_prevalence_percent,-0.3343,0.3343,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,3,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_females_20_24_years_females_hiv_prevalence_percent,-0.3343,0.3343,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,4,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_females_25_29_years_females_hiv_prevalence_percent,-0.3342,0.3342,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,5,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_40_44_years_males_hiv_prevalence_percent,-0.334,0.334,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,6,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_45_49_years_males_hiv_prevalence_percent,-0.334,0.334,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,7,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_25_29_years_males_hiv_prevalence_percent,-0.334,0.334,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,8,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_35_39_years_males_hiv_prevalence_percent,-0.334,0.334,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,9,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_females_35_39_years_females_hiv_prevalence_percent,-0.3339,0.3339,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,10,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_females_40_44_years_females_hiv_prevalence_percent,-0.3339,0.3339,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,11,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_females_45_49_years_females_hiv_prevalence_percent,-0.3338,0.3338,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,12,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_20_24_years_males_hiv_prevalence_percent,-0.3338,0.3338,883,100,TRUE,0.55,FALSE,0,0.3343,11
Ghana,child_iron,questionnaire,2080,13,ihme_adm1_africa_hiv_2000_2018_hiv_prevalence_males_50_54_years_males_hiv_prevalence_percent,-0.3336,0.3336,883,100,TRUE,0.55,FALSE,0,0.3343,11
