outcome,held_out,frac_flagged,frac_score_out,frac_orth_out,od_ratio,sd_ratio,frac_marginal_out,n_pc,cond_number
child_vitA,Gambia,1,0,1,1.56,0.6,0,10,4.4
child_vitA,Ghana,1,0.173,1,2.03,0.76,0.307,10,4.33
child_vitA,Sierra Leone,1,1,1,1.79,1.26,0,10,4.05
child_vitA,Malawi,1,0,1,3.11,0.75,1,10,3.85
women_vitA,Gambia,1,0,1,1.56,0.6,0,10,4.4
women_vitA,Ghana,1,0.173,1,2.03,0.76,0.307,10,4.33
women_vitA,Sierra Leone,1,1,1,1.79,1.26,0,10,4.05
women_vitA,Malawi,1,0,1,3.11,0.75,1,10,3.85
child_iron,Gambia,1,0,1,1.56,0.6,0,10,4.4
child_iron,Ghana,1,0.173,1,2.03,0.76,0.307,10,4.33
child_iron,Sierra Leone,1,1,1,1.79,1.26,0,10,4.05
child_iron,Malawi,1,0,1,3.11,0.75,1,10,3.85
women_iron,Gambia,1,0,1,1.56,0.6,0,10,4.4
women_iron,Ghana,1,0.173,1,2.03,0.76,0.307,10,4.33
women_iron,Sierra Leone,1,1,1,1.79,1.26,0,10,4.05
women_iron,Malawi,1,0,1,3.11,0.75,1,10,3.85
women_folate,Ghana,1,0.187,1,2.58,0.75,0.853,10,4.48
women_folate,Sierra Leone,1,0.929,1,2.15,1.08,0.143,10,4.29
women_folate,Malawi,1,0.253,1,3.48,0.93,1,10,3.78
women_b12,Ghana,1,0.187,1,2.58,0.75,0.853,10,4.48
women_b12,Sierra Leone,1,0.929,1,2.15,1.08,0.143,10,4.29
women_b12,Malawi,1,0.253,1,3.48,0.93,1,10,3.78
