"outcome","heldout","n_units","spearman","n_common","arm"
"child_iron","Gambia",30,0.536373748609566,101,"4 countries only"
"child_iron","Ghana",75,0.567368421052632,101,"4 countries only"
"child_iron","Malawi",87,0.142615003280601,101,"4 countries only"
"child_iron","SierraLeone",14,0.314285714285714,101,"4 countries only"
"child_vitA","Gambia",30,0.78420467185762,101,"4 countries only"
"child_vitA","Ghana",75,0.290867709815078,101,"4 countries only"
"child_vitA","Malawi",87,0.225632426915506,101,"4 countries only"
"child_vitA","SierraLeone",14,0.397802197802198,101,"4 countries only"
"women_iron","Gambia",30,0.712124582869855,101,"4 countries only"
"women_iron","Ghana",75,0.319857752489331,101,"4 countries only"
"women_iron","Malawi",87,0.289221404097106,101,"4 countries only"
"women_iron","SierraLeone",14,0.107692307692308,101,"4 countries only"
"women_vitA","Gambia",30,0.745494994438265,101,"4 countries only"
"women_vitA","Ghana",75,0.43448079658606,101,"4 countries only"
"women_vitA","Malawi",87,0.206732521688416,101,"4 countries only"
"women_vitA","SierraLeone",14,0.38021978021978,101,"4 countries only"
"women_folate","Ghana",75,-0.00679943100995732,101,"4 countries only"
"women_folate","Malawi",87,0.279525406429977,101,"4 countries only"
"women_folate","SierraLeone",14,0.103296703296703,101,"4 countries only"
"women_b12","Ghana",75,0.600455192034139,101,"4 countries only"
"women_b12","Malawi",87,0.493402347452067,101,"4 countries only"
"women_b12","SierraLeone",14,0.384615384615385,101,"4 countries only"
"child_iron","Gambia",30,0.566184649610678,74,"with CIV in the vocabulary"
"child_iron","Ghana",75,0.517268847795164,74,"with CIV in the vocabulary"
"child_iron","Malawi",87,0.214751767879274,74,"with CIV in the vocabulary"
"child_iron","SierraLeone",14,0.38021978021978,74,"with CIV in the vocabulary"
"child_vitA","Gambia",30,0.788209121245829,74,"with CIV in the vocabulary"
"child_vitA","Ghana",75,0.286913229018492,74,"with CIV in the vocabulary"
"child_vitA","Malawi",87,0.176970182984618,74,"with CIV in the vocabulary"
"child_vitA","SierraLeone",14,0.424175824175824,74,"with CIV in the vocabulary"
"women_iron","Gambia",30,0.689432703003337,74,"with CIV in the vocabulary"
"women_iron","Ghana",75,0.359971550497866,74,"with CIV in the vocabulary"
"women_iron","Malawi",87,0.303364438288255,74,"with CIV in the vocabulary"
"women_iron","SierraLeone",14,0.107692307692308,74,"with CIV in the vocabulary"
"women_vitA","Gambia",30,0.77174638487208,74,"with CIV in the vocabulary"
"women_vitA","Ghana",75,0.434566145092461,74,"with CIV in the vocabulary"
"women_vitA","Malawi",87,0.190129036961435,74,"with CIV in the vocabulary"
"women_vitA","SierraLeone",14,0.472527472527473,74,"with CIV in the vocabulary"
"women_folate","Ghana",75,0.171891891891892,74,"with CIV in the vocabulary"
"women_folate","Malawi",87,0.26215644820296,74,"with CIV in the vocabulary"
"women_folate","SierraLeone",14,0.173626373626374,74,"with CIV in the vocabulary"
"women_b12","Ghana",75,0.593911806543385,74,"with CIV in the vocabulary"
"women_b12","Malawi",87,0.411369104031494,74,"with CIV in the vocabulary"
"women_b12","SierraLeone",14,0.371428571428571,74,"with CIV in the vocabulary"
