"outcome","heldout","n_units","spearman","n_common","arm"
"child_iron","Gambia",30,0.547942157953281,138,"4 countries only"
"child_iron","Ghana",75,0.550412517780939,138,"4 countries only"
"child_iron","Malawi",87,0.190803382663848,138,"4 countries only"
"child_iron","SierraLeone",14,0.23956043956044,138,"4 countries only"
"child_vitA","Gambia",30,0.755728587319244,138,"4 countries only"
"child_vitA","Ghana",75,0.295305832147937,138,"4 countries only"
"child_vitA","Malawi",87,0.238554348618503,138,"4 countries only"
"child_vitA","SierraLeone",14,0.336263736263736,138,"4 countries only"
"women_iron","Gambia",30,0.722803114571746,138,"4 countries only"
"women_iron","Ghana",75,0.500142247510668,138,"4 countries only"
"women_iron","Malawi",87,0.366588904279361,138,"4 countries only"
"women_iron","SierraLeone",14,0.257142857142857,138,"4 countries only"
"women_vitA","Gambia",30,0.74460511679644,138,"4 countries only"
"women_vitA","Ghana",75,0.464779516358464,138,"4 countries only"
"women_vitA","Malawi",87,0.1793941824014,138,"4 countries only"
"women_vitA","SierraLeone",14,0.463736263736264,138,"4 countries only"
"women_folate","Ghana",75,0.0815647226173542,138,"4 countries only"
"women_folate","Malawi",87,0.363126047969673,138,"4 countries only"
"women_folate","SierraLeone",14,0.336263736263736,138,"4 countries only"
"women_b12","Ghana",75,0.600625889046942,138,"4 countries only"
"women_b12","Malawi",87,0.369322738208063,138,"4 countries only"
"women_b12","SierraLeone",14,0.512087912087912,138,"4 countries only"
"child_iron","Gambia",30,0.569744160177976,125,"with CIV in the vocabulary"
"child_iron","Ghana",75,0.509701280227596,125,"with CIV in the vocabulary"
"child_iron","Malawi",87,0.202394838521543,125,"with CIV in the vocabulary"
"child_iron","SierraLeone",14,0.305494505494505,125,"with CIV in the vocabulary"
"child_vitA","Gambia",30,0.764182424916574,125,"with CIV in the vocabulary"
"child_vitA","Ghana",75,0.273058321479374,125,"with CIV in the vocabulary"
"child_vitA","Malawi",87,0.199715681271415,125,"with CIV in the vocabulary"
"child_vitA","SierraLeone",14,0.362637362637363,125,"with CIV in the vocabulary"
"women_iron","Gambia",30,0.725472747497219,125,"with CIV in the vocabulary"
"women_iron","Ghana",75,0.487368421052632,125,"with CIV in the vocabulary"
"women_iron","Malawi",87,0.379200991470438,125,"with CIV in the vocabulary"
"women_iron","SierraLeone",14,0.173626373626374,125,"with CIV in the vocabulary"
"women_vitA","Gambia",30,0.739710789766407,125,"with CIV in the vocabulary"
"women_vitA","Ghana",75,0.430953058321479,125,"with CIV in the vocabulary"
"women_vitA","Malawi",87,0.181745279580083,125,"with CIV in the vocabulary"
"women_vitA","SierraLeone",14,0.358241758241758,125,"with CIV in the vocabulary"
"women_folate","Ghana",75,0.0727453769559033,125,"with CIV in the vocabulary"
"women_folate","Malawi",87,0.303400889407305,125,"with CIV in the vocabulary"
"women_folate","SierraLeone",14,0.345054945054945,125,"with CIV in the vocabulary"
"women_b12","Ghana",75,0.60099573257468,125,"with CIV in the vocabulary"
"women_b12","Malawi",87,0.381533863089597,125,"with CIV in the vocabulary"
"women_b12","SierraLeone",14,0.406593406593407,125,"with CIV in the vocabulary"
