"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Banjul",-0.418371287911654,-1.4712545144417
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Kanifing",-0.571637525165086,-2.01023424365825
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Jarra East",-0.274391487860037,-0.964931693218156
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Jarra West",0.0677986154412356,0.238422238626179
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Kiang Central",-0.345485073719799,-1.21494110391679
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Kiang East",-0.204659918570476,-0.719711982686695
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Fulladu West",1.04224674183241,3.66518991237966
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Lower Saloum",0.653376610971535,2.29767987502402
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Niamina Dankunku",-0.0677986154412357,-0.23842223862618
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Niamina East",0.493553395089545,1.73564171735623
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Niani",1.16691860113532,4.10361396566215
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Nianija",0.73973721941389,2.60137766383494
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Sami",2.21112724108533,7.77570313605927
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Upper Saloum",0.571637525165086,2.01023424365825
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Central Baddibu",0.418371287911654,1.4712545144417
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Jokadu",0.204659918570476,0.719711982686695
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Lower Baddibu",0.274391487860037,0.964931693218156
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Lower Nuimi",0,0
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Upper Baddibu",0.345485073719798,1.21494110391679
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Upper Nuimi",-0.493553395089545,-1.73564171735623
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Fulladu East",0.832006270016473,2.92585322218388
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Kantora",1.4941549086209,5.254381020162
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Sandu",1.31298147897337,4.6172621882356
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Gambia","Wuli",1.74444754214097,6.13456610369396
