"outcome","heldout","n_districts","refits","coverage_90","median_width","width_share","spearman_med"
"child_iron","Gambia",30,100,0.366666666666667,7,0.233333333333333,0.565895050512676
"child_iron","Ghana",75,100,0.533333333333333,29.05,0.387333333333333,0.560204340601926
"child_iron","Malawi",87,100,0.183908045977011,15.05,0.172988505747126,0.14993323903322
"child_iron","SierraLeone",14,100,0.428571428571429,4,0.285714285714286,0.328921528033672
"child_vitA","Gambia",30,100,0.433333333333333,8,0.266666666666667,0.766284762896939
"child_vitA","Ghana",75,100,0.16,12.05,0.160666666666667,0.298493450329865
"child_vitA","Malawi",87,100,0.275862068965517,20.05,0.230459770114943,0.211477032272715
"child_vitA","SierraLeone",14,100,0.357142857142857,3,0.214285714285714,0.444444713387363
"women_iron","Gambia",30,100,0.7,13.025,0.434166666666667,0.721078193042804
"women_iron","Ghana",75,100,0.32,16.05,0.214,0.332242515019021
"women_iron","Malawi",87,100,0.344827586206897,23.35,0.268390804597701,0.294501229693276
"women_iron","SierraLeone",14,100,0.357142857142857,3,0.214285714285714,0.0950290746588908
"women_vitA","Gambia",30,100,0.433333333333333,6.025,0.200833333333333,0.762964687207598
"women_vitA","Ghana",75,100,0.2,10.05,0.134,0.433155734907521
"women_vitA","Malawi",87,100,0.172413793103448,14.1,0.162068965517241,0.209912829501776
"women_vitA","SierraLeone",14,100,0.285714285714286,3,0.214285714285714,0.367436966018266
"women_folate","Ghana",75,100,0.44,34.2,0.456,0.0653151237225947
"women_folate","Malawi",87,100,0.64367816091954,45.2,0.519540229885057,0.265562058996291
"women_folate","SierraLeone",14,100,0.642857142857143,6.575,0.469642857142857,0.254714187102839
"women_b12","Ghana",75,100,0.413333333333333,15.1,0.201333333333333,0.600793898192877
"women_b12","Malawi",87,100,0.344827586206897,17,0.195402298850575,0.520788527047293
"women_b12","SierraLeone",14,100,0.285714285714286,2,0.142857142857143,0.437575739126985
