"outcome","heldout","n_districts","truth_rank","rank_med","rank_lo","rank_hi","score"
"child_iron","Gambia",30,23,30,27.95,30,0.233333333333333
"child_iron","Gambia",30,25,27,22,29,0.0666666666666667
"child_iron","Gambia",30,6,12,9,17,0.2
"child_iron","Gambia",30,29,14,12,15,0.5
"child_iron","Gambia",30,10,13,8.95,17,0.1
"child_iron","Gambia",30,4,15,11,18.05,0.366666666666667
"child_iron","Gambia",30,13,7,4.95,10,0.2
"child_iron","Gambia",30,14,3,1,8,0.366666666666667
"child_iron","Gambia",30,11,16,13,22,0.166666666666667
"child_iron","Gambia",30,9,8,5,12.05,0.0333333333333333
"child_iron","Gambia",30,16,6,2,9.05,0.333333333333333
"child_iron","Gambia",30,21,12,5,18,0.3
"child_iron","Gambia",30,1,2,1,5,0.0333333333333333
"child_iron","Gambia",30,5,5,2,10.05,0
"child_iron","Gambia",30,22,18,12,18.05,0.133333333333333
"child_iron","Gambia",30,7,21,17,25,0.466666666666667
"child_iron","Gambia",30,20,19,18.95,21,0.0333333333333333
"child_iron","Gambia",30,15,19,13,23.05,0.133333333333333
"child_iron","Gambia",30,12,17,13,18,0.166666666666667
"child_iron","Gambia",30,26,22,21,24,0.133333333333333
"child_iron","Gambia",30,17,8,3,12.05,0.3
"child_iron","Gambia",30,3,2,1,9,0.0333333333333333
"child_iron","Gambia",30,24,10,5,12,0.466666666666667
"child_iron","Gambia",30,2,4,2,8,0.0666666666666667
"child_iron","Gambia",30,30,24,19,26,0.2
"child_iron","Gambia",30,8,28,25.95,30,0.666666666666667
"child_iron","Gambia",30,28,26,24,28,0.0666666666666667
"child_iron","Gambia",30,18,28,27,29,0.333333333333333
"child_iron","Gambia",30,19,23,21,25,0.133333333333333
"child_iron","Gambia",30,27,26,24,27,0.0333333333333333
"child_iron","Ghana",75,69,49,41.95,59.05,0.266666666666667
"child_iron","Ghana",75,46,46,29,65.05,0
"child_iron","Ghana",75,65,48,13.95,60,0.226666666666667
"child_iron","Ghana",75,38,48,26.9,54,0.133333333333333
"child_iron","Ghana",75,22,43,20.7,58.2,0.28
"child_iron","Ghana",75,11,36,12.85,46.05,0.333333333333333
"child_iron","Ghana",75,61,56.5,39.95,61.05,0.06
"child_iron","Ghana",75,50,41.5,20.95,52.15,0.113333333333333
"child_iron","Ghana",75,58,48,21.9,59.05,0.133333333333333
"child_iron","Ghana",75,30,39.5,16,53,0.126666666666667
"child_iron","Ghana",75,32,38,15.9,47,0.08
"child_iron","Ghana",75,67,47,15.9,58,0.266666666666667
"child_iron","Ghana",75,53,55,42.9,61,0.0266666666666667
"child_iron","Ghana",75,60,62,38.95,72,0.0266666666666667
"child_iron","Ghana",75,39,47,35.95,66.05,0.106666666666667
"child_iron","Ghana",75,57,39,20,62,0.24
"child_iron","Ghana",75,66,38,29,51.05,0.373333333333333
"child_iron","Ghana",75,18,29,12,43.05,0.146666666666667
"child_iron","Ghana",75,44,43,28.95,62.05,0.0133333333333333
"child_iron","Ghana",75,64,53,37.9,72,0.146666666666667
"child_iron","Ghana",75,29,63,48.7,66,0.453333333333333
"child_iron","Ghana",75,47,66.5,38.75,70,0.26
"child_iron","Ghana",75,42,54,34.7,61,0.16
"child_iron","Ghana",75,40,60,48.85,68.05,0.266666666666667
"child_iron","Ghana",75,74,64,34.95,68.05,0.133333333333333
"child_iron","Ghana",75,75,69,58.75,72,0.08
"child_iron","Ghana",75,36,67,49.95,71,0.413333333333333
"child_iron","Ghana",75,49,67,59.95,73,0.24
"child_iron","Ghana",75,24,49,17,61,0.333333333333333
"child_iron","Ghana",75,23,54,19,63.05,0.413333333333333
"child_iron","Ghana",75,41,24,5.95,40.05,0.226666666666667
"child_iron","Ghana",75,28,38,17.9,63.05,0.133333333333333
"child_iron","Ghana",75,35,28,7,53.25,0.0933333333333333
"child_iron","Ghana",75,71,21,8.95,47.05,0.666666666666667
"child_iron","Ghana",75,37,24,11.95,48.05,0.173333333333333
"child_iron","Ghana",75,25,28.5,10,45.1,0.0466666666666667
"child_iron","Ghana",75,63,28,11,53.05,0.466666666666667
"child_iron","Ghana",75,27,24,13.95,48.05,0.04
"child_iron","Ghana",75,45,39,21.95,57.05,0.08
"child_iron","Ghana",75,43,13,5.95,28.05,0.4
"child_iron","Ghana",75,17,10,5,17.2,0.0933333333333333
"child_iron","Ghana",75,33,10,3,25,0.306666666666667
"child_iron","Ghana",75,8,16.5,8.95,34,0.113333333333333
"child_iron","Ghana",75,4,36,23.8,55.15,0.426666666666667
"child_iron","Ghana",75,10,34,20,53.05,0.32
"child_iron","Ghana",75,21,9.5,2.95,22.05,0.153333333333333
"child_iron","Ghana",75,2,10.5,3,28.05,0.113333333333333
"child_iron","Ghana",75,1,9,2,17.05,0.106666666666667
"child_iron","Ghana",75,19,31.5,21,48,0.166666666666667
"child_iron","Ghana",75,5,3,1,10.1,0.0266666666666667
"child_iron","Ghana",75,48,55,45,66,0.0933333333333333
"child_iron","Ghana",75,31,29,18,44.2,0.0266666666666667
"child_iron","Ghana",75,13,24,16,36.3,0.146666666666667
"child_iron","Ghana",75,34,23,13,37.15,0.146666666666667
"child_iron","Ghana",75,68,28,15,53.1,0.533333333333333
"child_iron","Ghana",75,3,2,1.95,8.05,0.0133333333333333
"child_iron","Ghana",75,6,1,1,14,0.0666666666666667
"child_iron","Ghana",75,20,10,5,19.05,0.133333333333333
"child_iron","Ghana",75,9,8.5,3,22.1,0.00666666666666667
"child_iron","Ghana",75,12,6,3,18.05,0.08
"child_iron","Ghana",75,54,13.5,3,41.05,0.54
"child_iron","Ghana",75,26,22,7,55.15,0.0533333333333333
"child_iron","Ghana",75,7,17,8,42.1,0.133333333333333
"child_iron","Ghana",75,14,21,9.95,42.1,0.0933333333333333
"child_iron","Ghana",75,62,12,4,33.05,0.666666666666667
"child_iron","Ghana",75,59,62,52.9,66,0.04
"child_iron","Ghana",75,70,33,12.85,54.05,0.493333333333333
"child_iron","Ghana",75,52,61,53.95,66.05,0.12
"child_iron","Ghana",75,15,37,14.95,61.15,0.293333333333333
"child_iron","Ghana",75,55,70,64.95,72,0.2
"child_iron","Ghana",75,51,74,71.95,74,0.306666666666667
"child_iron","Ghana",75,16,75,72.9,75,0.786666666666667
"child_iron","Ghana",75,56,73,71,75,0.226666666666667
"child_iron","Ghana",75,73,72,61.75,73,0.0133333333333333
"child_iron","Ghana",75,72,68,55,71.05,0.0533333333333333
"child_iron","Malawi",87,2,13,8,24.1,0.126436781609195
"child_iron","Malawi",87,18,19,13,28,0.0114942528735632
"child_iron","Malawi",87,11,68,62,71.05,0.655172413793103
"child_iron","Malawi",87,7,35,29,44,0.32183908045977
"child_iron","Malawi",87,62,8,5,17,0.620689655172414
"child_iron","Malawi",87,4,3,2,11.1,0.0114942528735632
"child_iron","Malawi",87,53,61,54.9,65.05,0.0919540229885057
"child_iron","Malawi",87,32,64,57.95,67.05,0.367816091954023
"child_iron","Malawi",87,67,47,38.95,54,0.229885057471264
"child_iron","Malawi",87,5,24,10,40.05,0.218390804597701
"child_iron","Malawi",87,34,87,87,87,0.609195402298851
"child_iron","Malawi",87,64,49,37,61.05,0.172413793103448
"child_iron","Malawi",87,44,79.5,76,81,0.408045977011494
"child_iron","Malawi",87,26,78,74,82.1,0.597701149425287
"child_iron","Malawi",87,59,66.5,57.95,73,0.0862068965517241
"child_iron","Malawi",87,79,72,61,78,0.0804597701149425
