"country","outcome","Admin1","Admin2","n_districts","k_worst","obs_prev","obs_worst_fifth","pred_mean","p_worst_fifth","draws"
"Gambia","child_vitA","Banjul","Banjul",30,6,0.0747119309212328,FALSE,0.00921262506968989,0,40
"Gambia","child_vitA","Banjul","Kanifing",30,6,0.129379459724291,FALSE,0.008216981180337,0,40
"Gambia","child_vitA","Lower River","Jarra East",30,6,0.208221526787354,FALSE,0.207228859484247,0,40
"Gambia","child_vitA","Lower River","Jarra West",30,6,0.0755206393695848,FALSE,0.0976625658051434,0,40
"Gambia","child_vitA","Lower River","Kiang Central",30,6,0.208333333333333,FALSE,0.122956424926011,0,40
"Gambia","child_vitA","Lower River","Kiang East",30,6,0.227272727272727,FALSE,0.120343907536306,0,40
"Gambia","child_vitA","Maccarthy Island","Fulladu West",30,6,0.322404265149205,TRUE,0.314062197627313,0,40
"Gambia","child_vitA","Maccarthy Island","Lower Saloum",30,6,0.178749949951543,FALSE,0.258036761949842,0,40
"Gambia","child_vitA","Maccarthy Island","Niamina Dankunku",30,6,0.382352941176471,TRUE,0.211496774943821,0,40
"Gambia","child_vitA","Maccarthy Island","Niamina East",30,6,0.25,FALSE,0.311242645617585,0,40
"Gambia","child_vitA","Maccarthy Island","Niani",30,6,0.307965738346523,TRUE,0.411177931956473,0.975,40
"Gambia","child_vitA","Maccarthy Island","Nianija",30,6,0.136160861272839,FALSE,0.439815038762516,1,40
"Gambia","child_vitA","Maccarthy Island","Sami",30,6,0.388888888888889,TRUE,0.524965630205155,1,40
"Gambia","child_vitA","Maccarthy Island","Upper Saloum",30,6,0.3,FALSE,0.480765839456682,1,40
"Gambia","child_vitA","North Bank","Central Baddibu",30,6,0.357142857142857,TRUE,0.109975878400667,0,40
"Gambia","child_vitA","North Bank","Jokadu",30,6,0.142857142857143,FALSE,0.102849098325621,0,40
"Gambia","child_vitA","North Bank","Lower Baddibu",30,6,0,FALSE,0.121553534266613,0,40
"Gambia","child_vitA","North Bank","Lower Nuimi",30,6,0,FALSE,0.0933489896702839,0,40
"Gambia","child_vitA","North Bank","Upper Baddibu",30,6,0.0887310206459296,FALSE,0.128039611199243,0,40
"Gambia","child_vitA","North Bank","Upper Nuimi",30,6,0.222222222222222,FALSE,0.0635053663030694,0,40
"Gambia","child_vitA","Upper River","Fulladu East",30,6,0.246336969602765,FALSE,0.229769045050622,0,40
"Gambia","child_vitA","Upper River","Kantora",30,6,0.5625,TRUE,0.320050963263784,0.075,40
"Gambia","child_vitA","Upper River","Sandu",30,6,0.25,FALSE,0.432709180979956,0.95,40
"Gambia","child_vitA","Upper River","Wuli",30,6,0.111111111111111,FALSE,0.535085674663034,1,40
"Gambia","child_vitA","Western","Foni Bintang Karanai",30,6,0,FALSE,0.0678965909453677,0,40
"Gambia","child_vitA","Western","Foni Brefet",30,6,0,FALSE,0.0439285570948287,0,40
"Gambia","child_vitA","Western","Kombo Central",30,6,0.174231843559703,FALSE,0.0193498264014278,0,40
"Gambia","child_vitA","Western","Kombo East",30,6,0.1,FALSE,0.0267738409699061,0,40
"Gambia","child_vitA","Western","Kombo Saint Mary",30,6,0.128387617887681,FALSE,0.0135965750555632,0,40
"Gambia","child_vitA","Western","Kombo South",30,6,0.0526315789473684,FALSE,0.0220889064068727,0,40
"Gambia","women_vitA","Banjul","Banjul",30,6,0,FALSE,0.00286483911868447,0,40
"Gambia","women_vitA","Banjul","Kanifing",30,6,0.0132270263647896,FALSE,0.00189419548069993,0,40
"Gambia","women_vitA","Lower River","Jarra East",30,6,0.141791677971889,TRUE,0.0224942906309209,0,40
"Gambia","women_vitA","Lower River","Jarra West",30,6,0,FALSE,0.0127848483244411,0,40
"Gambia","women_vitA","Lower River","Kiang Central",30,6,0,FALSE,0.0134773125560163,0,40
"Gambia","women_vitA","Lower River","Kiang East",30,6,0,FALSE,0.0140568945435939,0,40
"Gambia","women_vitA","Maccarthy Island","Fulladu West",30,6,0.0218873492044434,FALSE,0.0505774111670851,0.175,40
"Gambia","women_vitA","Maccarthy Island","Lower Saloum",30,6,0.0118656087318595,FALSE,0.0347757331968044,0,40
"Gambia","women_vitA","Maccarthy Island","Niamina Dankunku",30,6,0,FALSE,0.0411729687277719,0.025,40
"Gambia","women_vitA","Maccarthy Island","Niamina East",30,6,0.130434782608696,TRUE,0.0415331871886543,0,40
"Gambia","women_vitA","Maccarthy Island","Niani",30,6,0.101351662685147,TRUE,0.0768687100289538,0.975,40
"Gambia","women_vitA","Maccarthy Island","Nianija",30,6,0.0477098880449538,FALSE,0.0708939302055319,0.8,40
"Gambia","women_vitA","Maccarthy Island","Sami",30,6,0.0526315789473684,FALSE,0.097055436506271,1,40
"Gambia","women_vitA","Maccarthy Island","Upper Saloum",30,6,0.0714285714285714,TRUE,0.0827936055667538,0.95,40
"Gambia","women_vitA","North Bank","Central Baddibu",30,6,0.0606060606060606,FALSE,0.0119257689035035,0,40
"Gambia","women_vitA","North Bank","Jokadu",30,6,0,FALSE,0.0111408923598089,0,40
"Gambia","women_vitA","North Bank","Lower Baddibu",30,6,0,FALSE,0.0117392030065228,0,40
"Gambia","women_vitA","North Bank","Lower Nuimi",30,6,0,FALSE,0.0083232404877614,0,40
"Gambia","women_vitA","North Bank","Upper Baddibu",30,6,0.030561624570692,FALSE,0.0154350218579537,0,40
"Gambia","women_vitA","North Bank","Upper Nuimi",30,6,0,FALSE,0.00861019493449639,0,40
"Gambia","women_vitA","Upper River","Fulladu East",30,6,0.0251968204454412,FALSE,0.0420511567434688,0.05,40
"Gambia","women_vitA","Upper River","Kantora",30,6,0.176470588235294,TRUE,0.0544095495791656,0.15,40
"Gambia","women_vitA","Upper River","Sandu",30,6,0,FALSE,0.0857354713989777,1,40
"Gambia","women_vitA","Upper River","Wuli",30,6,0.0909090909090909,TRUE,0.0835860843553863,0.875,40
"Gambia","women_vitA","Western","Foni Bintang Karanai",30,6,0,FALSE,0.00830493393819001,0,40
