country,outcome,aggregation,target,n_units,r,mae_pp
Sierra Leone,child_vitA,realised,sample_mean,14,0.1033,6.49
Sierra Leone,child_vitA,realised,svy_weighted,14,0.1804,7.41
Sierra Leone,child_vitA,realised,svy_prev,14,0.1804,7.41
Sierra Leone,child_vitA,poststrat,sample_mean,14,0.1063,6.49
Sierra Leone,child_vitA,poststrat,svy_weighted,14,0.1817,7.43
Sierra Leone,child_vitA,poststrat,svy_prev,14,0.1817,7.43
Sierra Leone,women_vitA,realised,sample_mean,14,-0.4257,1.77
Sierra Leone,women_vitA,realised,svy_weighted,14,-0.153,1.43
Sierra Leone,women_vitA,realised,svy_prev,14,-0.153,1.43
Sierra Leone,women_vitA,poststrat,sample_mean,14,-0.4085,1.78
Sierra Leone,women_vitA,poststrat,svy_weighted,14,-0.1328,1.44
Sierra Leone,women_vitA,poststrat,svy_prev,14,-0.1328,1.44
Sierra Leone,child_iron,realised,sample_mean,14,0.2856,4.28
Sierra Leone,child_iron,realised,svy_weighted,14,0.3946,3.66
Sierra Leone,child_iron,realised,svy_prev,14,0.3946,3.66
Sierra Leone,child_iron,poststrat,sample_mean,14,0.2877,4.28
Sierra Leone,child_iron,poststrat,svy_weighted,14,0.3985,3.67
Sierra Leone,child_iron,poststrat,svy_prev,14,0.3985,3.67
Sierra Leone,women_iron,realised,sample_mean,14,0.1661,7.5
Sierra Leone,women_iron,realised,svy_weighted,14,0.1054,8.32
Sierra Leone,women_iron,realised,svy_prev,14,0.1224,10.03
Sierra Leone,women_iron,poststrat,sample_mean,14,0.167,7.55
Sierra Leone,women_iron,poststrat,svy_weighted,14,0.1066,8.37
Sierra Leone,women_iron,poststrat,svy_prev,14,0.1148,10.08
Sierra Leone,women_folate,realised,sample_mean,14,-0.4572,12.66
Sierra Leone,women_folate,realised,svy_weighted,14,-0.3272,12.6
Sierra Leone,women_folate,realised,svy_prev,14,-0.3272,12.6
Sierra Leone,women_folate,poststrat,sample_mean,14,-0.4554,12.45
Sierra Leone,women_folate,poststrat,svy_weighted,14,-0.3221,12.39
Sierra Leone,women_folate,poststrat,svy_prev,14,-0.3221,12.39
Sierra Leone,women_b12,realised,sample_mean,14,-0.0933,0.83
Sierra Leone,women_b12,realised,svy_weighted,14,-0.1653,0.86
Sierra Leone,women_b12,realised,svy_prev,14,-0.1653,0.86
Sierra Leone,women_b12,poststrat,sample_mean,14,-0.102,0.85
Sierra Leone,women_b12,poststrat,svy_weighted,14,-0.1732,0.88
Sierra Leone,women_b12,poststrat,svy_prev,14,-0.1732,0.88
