predictor,family,cellset,z,tau,k_countries,z_undisattenuated,n_cells,n_positive,p_analytic,z_gambia,z_ghana,z_sierraleone,z_malawi,p_perm,p_perm_fwer,q_analytic,q_perm,n_permutations
soil_zinc_stdev_0_20,marginal,shared,-5.679,0.0318,4,-3.5114,16,5,1.35477673502624e-8,-0.1447,-0.2254,-0.0562,-0.2947,0.03992015968063872,0.43912175648702595,3.8069226254237343e-6,0.9060340856748043,500
dhs_CN_BRFS_C_EXB,marginal,shared,5.0492,0,2,1.9872,8,7,4.436711436414201e-7,0.4379,NA,0.3398,NA,0.16766467065868262,0.5848303393213573,6.233579568161953e-5,0.9889169030360333,500
soil_calcium_mean_20_50,marginal,shared,4.7601,0.1715,4,3.0729,16,14,1.935050267515076e-6,0.5948,0.4447,0.6835,0.2289,0.0718562874251497,0.6726546906187625,1.812497083905788e-4,0.9889169030360333,500
soil_magnesium_mean_20_50,marginal,shared,4.6629,0.1625,4,3.0243,16,15,3.1180624779228886e-6,0.5759,0.3693,0.6945,0.2218,0.11776447105788423,0.7025948103792415,2.1904388907408292e-4,0.9889169030360333,500
dhs_hh_handwash_facility,marginal,shared,4.5717,0,3,2.2109,12,10,4.838036512267145e-6,0.1284,NA,0.1216,0.2434,0.001996007984031936,0.720558882235529,2.718976519894136e-4,0.42065868263473055,500
soil_calcium_stdev_20_50,marginal,shared,-4.0263,0.3137,4,-2.765,16,2,5.6668799319815835e-5,-1.0093,-0.5938,-0.8157,-0.2667,0.11776447105788423,0.9021956087824351,0.0026539887681447084,0.9889169030360333,500
aef_A17,marginal,shared,3.9749,0.1084,4,3.009,16,14,7.040111045591474e-5,0.2374,0.4044,0.2925,0.1663,0.2215568862275449,0.9141716566866267,0.002826101719730292,0.9889169030360333,500
lai_t0,marginal,shared,-3.8651,0,3,-2.3111,12,2,1.1103025330231554e-4,-0.1994,NA,-0.036,-0.1853,0.005988023952095809,0.9421157684630739,0.003899937647243833,0.42065868263473055,500
soil_calcium_stdev_0_20,marginal,shared,-3.7988,0.2899,4,-2.5266,16,3,1.4539594725702308e-4,-0.8731,-0.5943,-0.6711,-0.2155,0.0718562874251497,0.9520958083832335,0.004103811587506079,0.9889169030360333,500
soil_totalcarbon_mean_0_20,marginal,shared,-3.7977,0.338,4,-2.708,16,1,1.4604311699309888e-4,-0.807,-0.6421,-1.0839,-0.202,0.03592814371257485,0.9520958083832335,0.004103811587506079,0.9060340856748043,500
soil_aluminium_mean_20_50,marginal,shared,-3.71,0.2431,4,-3.0855,16,1,2.0728060320604293e-4,-0.5598,-0.5216,-0.7728,-0.156,0.22355289421157684,0.9720558882235529,0.005295077227354369,0.9889169030360333,500
soil_aluminium_stdev_0_20,marginal,shared,3.4499,0.4871,4,2.8934,16,16,5.608288309385546e-4,0.9509,0.6704,1.6853,0.1846,0.13373253493013973,0.9900199600798403,0.013132741791144487,0.9889169030360333,500
soil_totalcarbon_mean_20_50,marginal,shared,-3.4173,0.3529,4,-2.3655,16,2,6.324991099850818e-4,-0.7356,-0.7017,-0.9542,-0.1574,0.3273453093812375,0.9920159680638723,0.013671711531216,0.9889169030360333,500
lst_night_m04_t0,marginal,shared,3.2895,0.4304,4,2.514,16,16,0.00100354486813062,1.1491,0.602,1.0215,0.1706,0.12375249500998003,0.998003992015968,0.019686161469859298,0.9889169030360333,500
aef_A03,marginal,shared,3.2685,0.3835,4,2.7462,16,15,0.0010811903195807671,0.8868,0.5624,1.0721,0.1219,0.19760479041916168,1,0.019686161469859298,0.9889169030360333,500
dhs_w_anc1,marginal,shared,3.2583,0,3,1.7027,12,8,0.0011209202260418106,0.15,NA,0.3238,0.1236,0.013972055888223553,1,0.019686161469859298,0.5608782435129741,500
aef_A02,marginal,shared,3.13,0.2717,4,2.1576,16,12,0.0017483111716396315,0.4494,0.6624,0.5503,0.1601,0.10578842315369262,1,0.028898555248866854,0.9889169030360333,500
soil_calcium_mean_0_20,marginal,shared,3.078,0.1786,4,1.9056,16,12,0.0020836059301680755,0.594,0.1084,0.3574,0.2326,0.05389221556886228,1,0.03252740368762384,0.9889169030360333,500
aef_A36,marginal,shared,-3.0568,0.4195,4,-2.5475,16,1,0.002236895738246432,-0.78,-0.4124,-1.4208,-0.0974,0.35528942115768464,1,0.03308251065511828,0.9889169030360333,500
aef_A50,marginal,shared,3.0304,0.3631,4,2.9272,16,15,0.0024424797153304676,0.3612,0.7164,1.1049,0.1533,0.2754491017964072,1,0.03431684000039307,0.9889169030360333,500
soil_aluminium_stdev_20_50,marginal,shared,2.9752,0.5132,4,2.4468,16,15,0.0029282593427629915,1.1213,0.6291,1.325,0.0779,0.19161676646706588,1,0.03918289882459051,0.9889169030360333,500
aef_A53,marginal,shared,-2.896,0.2075,4,-3.1651,16,5,0.00378004216581911,-9e-4,-0.3439,-0.8546,-0.2349,0.19560878243512975,1,0.04828144766341682,0.9889169030360333,500
soil_magnesium_mean_0_20,marginal,shared,2.8404,0.2304,4,1.6891,16,11,0.004505501934077431,0.597,0.0707,0.6461,0.1964,0.5508982035928144,1,0.05433617630895902,0.9889169030360333,500
aef_A49,marginal,shared,-2.831,0.421,4,-2.2949,16,2,0.0046408122114413395,-0.839,-0.5267,-1.1038,-0.0318,0.09181636726546906,1,0.05433617630895902,0.9889169030360333,500
soil_magnesium_stdev_20_50,marginal,shared,-2.7992,0.3474,4,-2.1657,16,2,0.0051233139020905386,-0.9109,-0.4625,-0.5932,-0.0822,0.5029940119760479,1,0.05758604825949765,0.9889169030360333,500
tclim_pr_t0,marginal,shared,-2.7815,0.3904,4,-2.2513,16,2,0.005410386737403557,-0.7445,-0.5543,-0.9645,-0.0263,0.003992015968063872,1,0.05847379512347691,0.42065868263473055,500
aef_A25,marginal,shared,-2.7573,0.2759,4,-2.3032,16,4,0.00582840215662142,-0.3461,-0.3794,-0.945,-0.0419,0.5868263473053892,1,0.060658555778171065,0.9889169030360333,500
lcover_tree_frac_t0,marginal,shared,-2.7001,0.2715,4,-2.5277,16,4,0.006932254327162987,-0.5713,-0.7033,0.1341,-0.3208,0.35728542914171657,1,0.06957012378331427,0.9889169030360333,500
aef_A09,marginal,shared,-2.6797,0.4535,4,-2.1251,16,2,0.007368503624453132,-0.6382,-0.3981,-1.5134,-0.0125,0.013972055888223553,1,0.07139825925763207,0.5608782435129741,500
aef_A33,marginal,shared,-2.6666,0.3158,4,-2.39,16,3,0.007661876115894802,-0.041,-0.6235,-0.9454,-0.2084,0.16167664670658682,1,0.07163707257336692,0.9889169030360333,500
soilgrids_ph,region_partialed,shared,7.3415,0,3,3.0871,12,9,2.1121517158951866e-13,0.2702,NA,0.1879,0.3712,0.001996007984031936,0.01996007984031936,5.935146321665474e-11,0.2243512974051896,500
dhs_w_skilled_attendant,region_partialed,shared,7.0204,0,3,3.9866,12,9,2.2123918306190907e-12,0.2359,NA,0.4397,0.3282,0.003992015968063872,0.027944111776447105,3.1084105220198225e-10,0.2243512974051896,500
dhs_w_anc_visits,region_partialed,shared,5.7554,0,3,1.8417,12,8,8.64357255110885e-9,0.3077,NA,0.2277,0.2497,0.003992015968063872,0.16367265469061876,8.096146289538624e-7,0.2243512974051896,500
soil_sulfur_stdev_0_20,region_partialed,shared,-4.7266,0,4,-1.681,16,5,2.2830335546228805e-6,-0.0948,-0.1856,-0.2548,-0.1689,0.001996007984031936,0.4530938123752495,1.6038310721225735e-4,0.2243512974051896,500
