"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",409,0,0.749054505005562
"Gambia","child_vitA","level",1,"plus",422,13,0.729032258064516
"Gambia","child_vitA","level",1,"addon_only",13,13,0.554616240266963
"Gambia","child_vitA","level",2,"base",409,0,0.775750834260289
"Gambia","child_vitA","level",2,"plus",422,13,0.781979977753059
"Gambia","child_vitA","level",2,"addon_only",13,13,0.65650723025584
"Gambia","child_vitA","level",3,"base",409,0,0.720133481646274
"Gambia","child_vitA","level",3,"plus",422,13,0.717018909899889
"Gambia","child_vitA","level",3,"addon_only",13,13,0.571078976640712
"Gambia","child_vitA","level",4,"base",409,0,0.771301446051168
"Gambia","child_vitA","level",4,"plus",422,13,0.773081201334817
"Gambia","child_vitA","level",4,"addon_only",13,13,0.515461624026696
"Gambia","child_vitA","level",5,"base",409,0,0.748164627363738
"Gambia","child_vitA","level",5,"plus",422,13,0.735706340378198
"Gambia","child_vitA","level",5,"addon_only",13,13,0.515461624026696
"Gambia","child_vitA","level",6,"base",409,0,0.734816462736374
"Gambia","child_vitA","level",6,"plus",422,13,0.73392658509455
"Gambia","child_vitA","level",6,"addon_only",13,13,0.608898776418243
"Gambia","child_vitA","level",7,"base",409,0,0.756173526140156
"Gambia","child_vitA","level",7,"plus",422,13,0.747274749721913
"Gambia","child_vitA","level",7,"addon_only",13,13,0.62714126807564
"Gambia","child_vitA","level",8,"base",409,0,0.749499443826474
"Gambia","child_vitA","level",8,"plus",422,13,0.761512791991101
"Gambia","child_vitA","level",8,"addon_only",13,13,0.653837597330367
"Gambia","child_vitA","level",9,"base",409,0,0.713904338153504
"Gambia","child_vitA","level",9,"plus",422,13,0.709010011123471
"Gambia","child_vitA","level",9,"addon_only",13,13,0.432258064516129
"Gambia","child_vitA","level",10,"base",409,0,0.679199110122358
"Gambia","child_vitA","level",10,"plus",422,13,0.684538375973304
"Gambia","child_vitA","level",10,"addon_only",13,13,0.603114571746385
"Gambia","child_vitA","prev",1,"base",409,0,0.643724728520198
"Gambia","child_vitA","prev",1,"plus",422,13,0.630137459163889
"Gambia","child_vitA","prev",1,"addon_only",13,13,0.501169771339255
"Gambia","child_vitA","prev",2,"base",409,0,0.620114063737104
"Gambia","child_vitA","prev",2,"plus",422,13,0.618332126772343
"Gambia","child_vitA","prev",2,"addon_only",13,13,0.580465966271154
"Gambia","child_vitA","prev",3,"base",409,0,0.576233865979845
"Gambia","child_vitA","prev",3,"plus",422,13,0.594498719868653
"Gambia","child_vitA","prev",3,"addon_only",13,13,0.550173037870204
"Gambia","child_vitA","prev",4,"base",409,0,0.607640504983772
"Gambia","child_vitA","prev",4,"plus",422,13,0.608085989224962
"Gambia","child_vitA","prev",4,"addon_only",13,13,0.349259645093312
"Gambia","child_vitA","prev",5,"base",409,0,0.607195020742581
"Gambia","child_vitA","prev",5,"plus",422,13,0.616772931928176
"Gambia","child_vitA","prev",5,"addon_only",13,13,0.597839851677582
"Gambia","child_vitA","prev",6,"base",409,0,0.645729407605555
"Gambia","child_vitA","prev",6,"plus",422,13,0.639047143987698
"Gambia","child_vitA","prev",6,"addon_only",13,13,0.638156175505317
"Gambia","child_vitA","prev",7,"base",409,0,0.59650339895401
"Gambia","child_vitA","prev",7,"plus",422,13,0.591825814421511
"Gambia","child_vitA","prev",7,"addon_only",13,13,0.558414496332227
"Gambia","child_vitA","prev",8,"base",409,0,0.614322768601628
"Gambia","child_vitA","prev",8,"plus",422,13,0.605190341657224
"Gambia","child_vitA","prev",8,"addon_only",13,13,0.559750949055799
"Gambia","child_vitA","prev",9,"base",409,0,0.498942350133302
"Gambia","child_vitA","prev",9,"plus",422,13,0.509633971921873
"Gambia","child_vitA","prev",9,"addon_only",13,13,0.386012094991524
"Gambia","child_vitA","prev",10,"base",409,0,0.581802418994726
"Gambia","child_vitA","prev",10,"plus",422,13,0.584698066562464
"Gambia","child_vitA","prev",10,"addon_only",13,13,0.572001765688536
"Gambia","women_vitA","level",1,"base",409,0,0.745494994438265
"Gambia","women_vitA","level",1,"plus",422,13,0.732146829810901
"Gambia","women_vitA","level",1,"addon_only",13,13,0.455839822024472
"Gambia","women_vitA","level",2,"base",409,0,0.713459399332592
"Gambia","women_vitA","level",2,"plus",422,13,0.717018909899889
"Gambia","women_vitA","level",2,"addon_only",13,13,0.509677419354839
"Gambia","women_vitA","level",3,"base",409,0,0.725472747497219
"Gambia","women_vitA","level",3,"plus",422,13,0.713459399332592
"Gambia","women_vitA","level",3,"addon_only",13,13,0.458064516129032
"Gambia","women_vitA","level",4,"base",409,0,0.699666295884316
"Gambia","women_vitA","level",4,"plus",422,13,0.699221357063404
"Gambia","women_vitA","level",4,"addon_only",13,13,0.394883203559511
"Gambia","women_vitA","level",5,"base",409,0,0.749499443826474
"Gambia","women_vitA","level",5,"plus",422,13,0.736596218020022
"Gambia","women_vitA","level",5,"addon_only",13,13,0.500333704115684
"Gambia","women_vitA","level",6,"base",409,0,0.728587319243604
"Gambia","women_vitA","level",6,"plus",422,13,0.72146829810901
"Gambia","women_vitA","level",6,"addon_only",13,13,0.494549499443827
"Gambia","women_vitA","level",7,"base",409,0,0.745494994438265
"Gambia","women_vitA","level",7,"plus",422,13,0.733036707452725
"Gambia","women_vitA","level",7,"addon_only",13,13,0.512791991101224
"Gambia","women_vitA","level",8,"base",409,0,0.749499443826474
"Gambia","women_vitA","level",8,"plus",422,13,0.742825361512792
"Gambia","women_vitA","level",8,"addon_only",13,13,0.456284760845384
"Gambia","women_vitA","level",9,"base",409,0,0.71301446051168
"Gambia","women_vitA","level",9,"plus",422,13,0.685428253615128
"Gambia","women_vitA","level",9,"addon_only",13,13,0.314349276974416
"Gambia","women_vitA","level",10,"base",409,0,0.690767519466073
"Gambia","women_vitA","level",10,"plus",422,13,0.691657397107898
"Gambia","women_vitA","level",10,"addon_only",13,13,0.470967741935484
"Gambia","women_vitA","prev",1,"base",409,0,0.461816625442603
"Gambia","women_vitA","prev",1,"plus",422,13,0.459704659167713
"Gambia","women_vitA","prev",1,"addon_only",13,13,0.583137354789059
"Gambia","women_vitA","prev",2,"base",409,0,0.457123367053958
"Gambia","women_vitA","prev",2,"plus",422,13,0.46580589507295
"Gambia","women_vitA","prev",2,"addon_only",13,13,0.501239995907215
"Gambia","women_vitA","prev",3,"base",409,0,0.456184715376229
"Gambia","women_vitA","prev",3,"plus",422,13,0.463928591717493
