"column","outcome","country","n","rho","z"
"espen_sth_prev_mid","child_vitA","Gambia",29,-0.0332145016463181,-0.169423713291189
"espen_sth_prev_mid_base","child_vitA","Gambia",29,-0.0332145016463181,-0.169423713291189
"espen_sth_mda_share","child_vitA","Gambia",30,-0.339968448710693,-1.83973337986418
"espen_sth_cov_mean","child_vitA","Gambia",30,-0.339968448710693,-1.83973337986418
"espen_sch_prev_mid","child_vitA","Gambia",29,0.379216354319246,2.03524338404592
"espen_sch_prev_mid_base","child_vitA","Gambia",29,0.381814440718251,2.050734010141
"espen_sch_mda_share","child_vitA","Gambia",30,0.301058833819282,1.61435915728255
"espen_sch_cov_mean","child_vitA","Gambia",30,0.259771851811464,1.38146848167742
"espen_sth_prev_mid","women_vitA","Gambia",29,-0.141161631996852,-0.724624867092676
"espen_sth_prev_mid_base","women_vitA","Gambia",29,-0.141161631996852,-0.724624867092676
"espen_sth_mda_share","women_vitA","Gambia",30,-0.369799265692872,-2.01709724652525
"espen_sth_cov_mean","women_vitA","Gambia",30,-0.369799265692872,-2.01709724652525
"espen_sch_prev_mid","women_vitA","Gambia",29,0.226465345632055,1.17512293737484
"espen_sch_prev_mid_base","women_vitA","Gambia",29,0.231588006870193,1.2026895164126
"espen_sch_mda_share","women_vitA","Gambia",30,0.162108602825767,0.849838264685983
"espen_sch_cov_mean","women_vitA","Gambia",30,0.120382077668727,0.628571837012168
"espen_sth_prev_mid","child_iron","Gambia",29,0.164134995635555,0.844567110585977
"espen_sth_prev_mid_base","child_iron","Gambia",29,0.164134995635555,0.844567110585977
"espen_sth_mda_share","child_iron","Gambia",30,-0.295222223237425,-1.58107231429295
"espen_sth_cov_mean","child_iron","Gambia",30,-0.295222223237425,-1.58107231429295
"espen_sch_prev_mid","child_iron","Gambia",29,0.121083116642286,0.620449281765982
"espen_sch_prev_mid_base","child_iron","Gambia",29,0.113002184752964,0.578671904861236
"espen_sch_mda_share","child_iron","Gambia",30,0,0
"espen_sch_cov_mean","child_iron","Gambia",30,0.0450552805309856,0.234272713833035
"espen_sth_prev_mid","women_iron","Gambia",29,-0.00996435049389542,-0.0508100992689776
"espen_sth_prev_mid_base","women_iron","Gambia",29,-0.00996435049389542,-0.0508100992689776
"espen_sth_mda_share","women_iron","Gambia",30,-0.322995742496695,-1.74064970640252
"espen_sth_cov_mean","women_iron","Gambia",30,-0.322995742496695,-1.74064970640252
"espen_sch_prev_mid","women_iron","Gambia",29,0.212361158418778,1.09956645204428
"espen_sch_prev_mid_base","women_iron","Gambia",29,0.208455794932527,1.07873045024638
"espen_sch_mda_share","women_iron","Gambia",30,0.138950230993515,0.726707794865999
"espen_sch_cov_mean","women_iron","Gambia",30,0.18632235802918,0.979602232313426
"espen_sth_prev_mid","child_vitA","Ghana",73,0.0638422763248349,0.534870278775451
"espen_sth_prev_mid_base","child_vitA","Ghana",73,0.0638422763248349,0.534870278775451
"espen_sth_mda_share","child_vitA","Ghana",62,0.0866786056259968,0.667465962807656
"espen_sth_cov_mean","child_vitA","Ghana",73,0.219707182077495,1.86866693915801
"espen_sch_prev_mid","child_vitA","Ghana",73,-0.0997082472157957,-0.837000184264096
"espen_sch_prev_mid_base","child_vitA","Ghana",73,-0.0997082472157957,-0.837000184264096
"espen_sch_mda_share","child_vitA","Ghana",62,-0.0918941181948408,-0.707849106097999
"espen_sch_cov_mean","child_vitA","Ghana",73,0.0864372112819616,0.724994779642789
"espen_sth_prev_mid","women_vitA","Ghana",73,-0.117131246743273,-0.984509312290898
"espen_sth_prev_mid_base","women_vitA","Ghana",73,-0.117131246743273,-0.984509312290898
"espen_sth_mda_share","women_vitA","Ghana",62,0.1041964696802,0.803263720238122
"espen_sth_cov_mean","women_vitA","Ghana",73,-0.104815994938223,-0.880186387077872
"espen_sch_prev_mid","women_vitA","Ghana",73,-0.0659036130823967,-0.552189553825464
"espen_sch_prev_mid_base","women_vitA","Ghana",73,-0.0659036130823967,-0.552189553825464
"espen_sch_mda_share","women_vitA","Ghana",62,-0.156556198924625,-1.21250265551942
"espen_sch_cov_mean","women_vitA","Ghana",73,-0.148537114271431,-1.25201330723493
"espen_sth_prev_mid","child_iron","Ghana",73,-0.03504533466342,-0.29333043273122
"espen_sth_prev_mid_base","child_iron","Ghana",73,-0.03504533466342,-0.29333043273122
"espen_sth_mda_share","child_iron","Ghana",62,0.0909911073274138,0.7008544600303
"espen_sth_cov_mean","child_iron","Ghana",73,0.107381151234809,0.901892379213123
"espen_sch_prev_mid","child_iron","Ghana",73,-0.0377421572718572,-0.315923608016147
"espen_sch_prev_mid_base","child_iron","Ghana",73,-0.0377421572718572,-0.315923608016147
"espen_sch_mda_share","child_iron","Ghana",62,0.00969370880957771,0.0744611225828969
"espen_sch_cov_mean","child_iron","Ghana",73,-0.0535579849809284,-0.448527440563129
"espen_sth_prev_mid","women_iron","Ghana",73,-0.0058513379282991,-0.0489563641938112
"espen_sth_prev_mid_base","women_iron","Ghana",73,-0.0058513379282991,-0.0489563641938112
"espen_sth_mda_share","women_iron","Ghana",62,-0.240080451862117,-1.88080138075964
"espen_sth_cov_mean","women_iron","Ghana",73,0.0433913185591227,0.363265918431789
"espen_sch_prev_mid","women_iron","Ghana",73,0.021157382393743,0.177041780992652
"espen_sch_prev_mid_base","women_iron","Ghana",73,0.021157382393743,0.177041780992652
"espen_sch_mda_share","women_iron","Ghana",62,-0.00207322095927385,-0.0159247351718831
"espen_sch_cov_mean","women_iron","Ghana",73,-0.139374833502493,-1.17373335179179
"espen_sth_prev_mid","women_folate","Ghana",73,0.160953588299142,1.35844716199441
"espen_sth_prev_mid_base","women_folate","Ghana",73,0.160953588299142,1.35844716199441
"espen_sth_mda_share","women_folate","Ghana",62,-0.0431518027390237,-0.331661248155388
"espen_sth_cov_mean","women_folate","Ghana",73,0.317090404855128,2.74766623029616
"espen_sch_prev_mid","women_folate","Ghana",73,-0.0196331798885334,-0.164284078644676
"espen_sch_prev_mid_base","women_folate","Ghana",73,-0.0196331798885334,-0.164284078644676
"espen_sch_mda_share","women_folate","Ghana",62,0.0601794408178408,0.462806290902461
"espen_sch_cov_mean","women_folate","Ghana",73,0.119189183683426,1.00197105251346
"espen_sth_prev_mid","women_b12","Ghana",73,0.120746537677544,1.01519108012123
"espen_sth_prev_mid_base","women_b12","Ghana",73,0.120746537677544,1.01519108012123
"espen_sth_mda_share","women_b12","Ghana",62,-0.0482946619108999,-0.371247145828126
"espen_sth_cov_mean","women_b12","Ghana",73,0.237786898143797,2.0282903322962
"espen_sch_prev_mid","women_b12","Ghana",73,-0.411970162836656,-3.66441862990515
"espen_sch_prev_mid_base","women_b12","Ghana",73,-0.411970162836656,-3.66441862990515
"espen_sch_mda_share","women_b12","Ghana",62,-0.31229991936521,-2.48171569302621
"espen_sch_cov_mean","women_b12","Ghana",73,0.326708480404897,2.83744014125009
"espen_sth_prev_mid","child_vitA","Malawi",87,0.0806291329635413,0.740585865440598
"espen_sth_prev_mid_base","child_vitA","Malawi",87,0.0806291329635413,0.740585865440598
"espen_sth_cov_mean","child_vitA","Malawi",87,0.0695046506337005,0.638049422554346
"espen_sch_cov_mean","child_vitA","Malawi",87,-0.163326807643969,-1.51044249224962
"espen_sth_prev_mid","women_vitA","Malawi",87,0.129793238429115,1.19632299372853
"espen_sth_prev_mid_base","women_vitA","Malawi",87,0.129793238429115,1.19632299372853
"espen_sth_cov_mean","women_vitA","Malawi",87,0.029781192167852,0.273029872387669
"espen_sch_cov_mean","women_vitA","Malawi",87,-0.235412798977057,-2.1988314578483
"espen_sth_prev_mid","child_iron","Malawi",87,-0.0924285182752791,-0.849546131871289
"espen_sth_prev_mid_base","child_iron","Malawi",87,-0.0924285182752791,-0.849546131871289
"espen_sth_cov_mean","child_iron","Malawi",87,-0.0613684106907529,-0.563158452880903
"espen_sch_cov_mean","child_iron","Malawi",87,-0.0317422813917687,-0.291020582130534
"espen_sth_prev_mid","women_iron","Malawi",87,-0.0196656421862296,-0.180261828215533
"espen_sth_prev_mid_base","women_iron","Malawi",87,-0.0196656421862296,-0.180261828215533
"espen_sth_cov_mean","women_iron","Malawi",87,0.01960177089394,0.179676212407423
"espen_sch_cov_mean","women_iron","Malawi",87,0.0998696088961138,0.918381542144749
"espen_sth_prev_mid","women_folate","Malawi",87,0.169124522801575,1.56508955120112
"espen_sth_prev_mid_base","women_folate","Malawi",87,0.169124522801575,1.56508955120112
"espen_sth_cov_mean","women_folate","Malawi",87,0.146844536817841,1.35565321052464
"espen_sch_cov_mean","women_folate","Malawi",87,0.23187371702878,2.16452228245229
"espen_sth_prev_mid","women_b12","Malawi",87,-0.108161032024263,-0.995205320547484
"espen_sth_prev_mid_base","women_b12","Malawi",87,-0.108161032024263,-0.995205320547484
"espen_sth_cov_mean","women_b12","Malawi",87,-0.346647604026661,-3.31437942754359
"espen_sch_cov_mean","women_b12","Malawi",87,-0.292357357232463,-2.76001208387126
"espen_sth_prev_mid","child_zinc","Malawi",87,0.0216322064048526,0.198293381077134
"espen_sth_prev_mid_base","child_zinc","Malawi",87,0.0216322064048526,0.198293381077134
"espen_sth_cov_mean","child_zinc","Malawi",87,0.0957650035437299,0.880398729190824
"espen_sch_cov_mean","child_zinc","Malawi",87,-0.102916138202105,-0.946593500631951
"espen_sth_prev_mid","women_zinc","Malawi",87,-0.0727628760890495,-0.668063450558325
"espen_sth_prev_mid_base","women_zinc","Malawi",87,-0.0727628760890495,-0.668063450558325
"espen_sth_cov_mean","women_zinc","Malawi",87,0.0988571395758591,0.909009576547034
"espen_sch_cov_mean","women_zinc","Malawi",87,0.0241350794720173,0.221244622326372
"espen_sth_prev_mid","child_vitA","SierraLeone",14,-0.107417231105915,-0.35764245774051
"espen_sth_prev_mid_base","child_vitA","SierraLeone",14,-0.107417231105915,-0.35764245774051
"espen_sth_mda_share","child_vitA","SierraLeone",14,-0.3038218101251,-1.04050717867485
"espen_sth_cov_mean","child_vitA","SierraLeone",14,0.0153846153846154,0.0510290229872549
"espen_sch_prev_mid","child_vitA","SierraLeone",14,-0.250640205913801,-0.849373728405564
"espen_sch_prev_mid_base","child_vitA","SierraLeone",14,-0.250640205913801,-0.849373728405564
"espen_sch_mda_share","child_vitA","SierraLeone",14,-0.129020195829665,-0.430309948968864
"espen_sch_cov_mean","child_vitA","SierraLeone",14,-0.270252237001455,-0.919155841426348
"espen_sth_prev_mid","women_vitA","SierraLeone",14,-0.143222974807887,-0.478305417727876
"espen_sth_prev_mid_base","women_vitA","SierraLeone",14,-0.143222974807887,-0.478305417727876
"espen_sth_mda_share","women_vitA","SierraLeone",14,0,0
"espen_sth_cov_mean","women_vitA","SierraLeone",14,-0.78021978021978,-3.46896410250805
"espen_sch_prev_mid","women_vitA","SierraLeone",14,0.572891899231546,2.1618324764307
"espen_sch_prev_mid_base","women_vitA","SierraLeone",14,0.572891899231546,2.1618324764307
"espen_sch_mda_share","women_vitA","SierraLeone",14,0.563866041033353,2.11760991318058
"espen_sch_cov_mean","women_vitA","SierraLeone",14,0.373314530773197,1.30100857847445
"espen_sth_prev_mid","child_iron","SierraLeone",14,0.250640205913801,0.849373728405564
"espen_sth_prev_mid_base","child_iron","SierraLeone",14,0.250640205913801,0.849373728405564
"espen_sth_mda_share","child_iron","SierraLeone",14,-0.15191090506255,-0.50776166362935
"espen_sth_cov_mean","child_iron","SierraLeone",14,0.134065934065934,0.447339479981085
"espen_sch_prev_mid","child_iron","SierraLeone",14,0.143222974807887,0.478305417727876
"espen_sch_prev_mid_base","child_iron","SierraLeone",14,0.143222974807887,0.478305417727876
"espen_sch_mda_share","child_iron","SierraLeone",14,-0.0931812525436473,-0.309946400677921
"espen_sch_cov_mean","child_iron","SierraLeone",14,-0.00916109277971035,-0.0303847574588363
"espen_sth_prev_mid","women_iron","SierraLeone",14,0.393863180721688,1.38092432973586
"espen_sth_prev_mid_base","women_iron","SierraLeone",14,0.393863180721688,1.38092432973586
"espen_sth_mda_share","women_iron","SierraLeone",14,0,0
"espen_sth_cov_mean","women_iron","SierraLeone",14,-0.0813186813186813,-0.270300416383691
"espen_sch_prev_mid","women_iron","SierraLeone",14,0.107417231105915,0.35764245774051
"espen_sch_prev_mid_base","women_iron","SierraLeone",14,0.107417231105915,0.35764245774051
"espen_sch_mda_share","women_iron","SierraLeone",14,0.253261865887862,0.858658167552267
"espen_sch_cov_mean","women_iron","SierraLeone",14,0.128255298915945,0.427730387028661
"espen_sth_prev_mid","women_folate","SierraLeone",14,0.0358057437019716,0.11880500593853
"espen_sth_prev_mid_base","women_folate","SierraLeone",14,0.0358057437019716,0.11880500593853
"espen_sth_mda_share","women_folate","SierraLeone",14,0.3038218101251,1.04050717867485
"espen_sth_cov_mean","women_folate","SierraLeone",14,0.314285714285714,1.07887742508036
"espen_sch_prev_mid","women_folate","SierraLeone",14,-0.0358057437019716,-0.11880500593853
"espen_sch_prev_mid_base","women_folate","SierraLeone",14,-0.0358057437019716,-0.11880500593853
"espen_sch_mda_share","women_folate","SierraLeone",14,-0.344053855545775,-1.1896184265804
