"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",428,0,0.738820912124583
"Gambia","child_vitA","level",1,"plus",457,29,0.742825361512792
"Gambia","child_vitA","level",1,"addon_only",29,29,0.730367074527253
"Gambia","child_vitA","level",1,"replace",416,29,0.743715239154616
"Gambia","child_vitA","level",2,"base",428,0,0.772191323692992
"Gambia","child_vitA","level",2,"plus",457,29,0.767741935483871
"Gambia","child_vitA","level",2,"addon_only",29,29,0.730812013348165
"Gambia","child_vitA","level",2,"replace",416,29,0.764627363737486
"Gambia","child_vitA","level",3,"base",428,0,0.724582869855395
"Gambia","child_vitA","level",3,"plus",457,29,0.711234705228031
"Gambia","child_vitA","level",3,"addon_only",29,29,0.692992213570634
"Gambia","child_vitA","level",3,"replace",416,29,0.723248053392659
"Gambia","child_vitA","level",4,"base",428,0,0.755283648498332
"Gambia","child_vitA","level",4,"plus",457,29,0.745050055617353
"Gambia","child_vitA","level",4,"addon_only",29,29,0.713904338153504
"Gambia","child_vitA","level",4,"replace",416,29,0.738375973303671
"Gambia","child_vitA","level",5,"base",428,0,0.728142380422692
"Gambia","child_vitA","level",5,"plus",457,29,0.722358175750834
"Gambia","child_vitA","level",5,"addon_only",29,29,0.732146829810901
"Gambia","child_vitA","level",5,"replace",416,29,0.73392658509455
"Gambia","child_vitA","level",6,"base",428,0,0.710789766407119
"Gambia","child_vitA","level",6,"plus",457,29,0.703225806451613
"Gambia","child_vitA","level",6,"addon_only",29,29,0.689877641824249
"Gambia","child_vitA","level",6,"replace",416,29,0.71301446051168
"Gambia","child_vitA","level",7,"base",428,0,0.737486095661847
"Gambia","child_vitA","level",7,"plus",457,29,0.742825361512792
"Gambia","child_vitA","level",7,"addon_only",29,29,0.753058954393771
"Gambia","child_vitA","level",7,"replace",416,29,0.748164627363738
"Gambia","child_vitA","level",8,"base",428,0,0.740600667408231
"Gambia","child_vitA","level",8,"plus",457,29,0.741045606229144
"Gambia","child_vitA","level",8,"addon_only",29,29,0.723248053392659
"Gambia","child_vitA","level",8,"replace",416,29,0.73392658509455
"Gambia","child_vitA","level",9,"base",428,0,0.753948832035595
"Gambia","child_vitA","level",9,"plus",457,29,0.746384872080089
"Gambia","child_vitA","level",9,"addon_only",29,29,0.738820912124583
"Gambia","child_vitA","level",9,"replace",416,29,0.745939933259177
"Gambia","child_vitA","level",10,"base",428,0,0.676529477196885
"Gambia","child_vitA","level",10,"plus",457,29,0.681868743047831
"Gambia","child_vitA","level",10,"addon_only",29,29,0.667185761957731
"Gambia","child_vitA","level",10,"replace",416,29,0.676529477196885
"Gambia","child_vitA","prev",1,"base",428,0,0.65530731879115
"Gambia","child_vitA","prev",1,"plus",457,29,0.652188929102817
"Gambia","child_vitA","prev",1,"addon_only",29,29,0.624568906149009
"Gambia","child_vitA","prev",1,"replace",416,29,0.660653129685435
"Gambia","child_vitA","prev",2,"base",428,0,0.630805685525675
"Gambia","child_vitA","prev",2,"plus",457,29,0.630805685525675
"Gambia","child_vitA","prev",2,"addon_only",29,29,0.569551602361988
"Gambia","child_vitA","prev",2,"replace",416,29,0.63615149641996
"Gambia","child_vitA","prev",3,"base",428,0,0.587816456250797
"Gambia","child_vitA","prev",3,"plus",457,29,0.587816456250797
"Gambia","child_vitA","prev",3,"addon_only",29,29,0.558191754211632
"Gambia","child_vitA","prev",3,"replace",416,29,0.594721461989249
"Gambia","child_vitA","prev",4,"base",428,0,0.602294694089486
"Gambia","child_vitA","prev",4,"plus",457,29,0.599176304401153
"Gambia","child_vitA","prev",4,"addon_only",29,29,0.610758894672105
"Gambia","child_vitA","prev",4,"replace",416,29,0.602294694089486
"Gambia","child_vitA","prev",5,"base",428,0,0.608085989224962
"Gambia","child_vitA","prev",5,"plus",457,29,0.613431800119248
"Gambia","child_vitA","prev",5,"addon_only",29,29,0.598730820159963
"Gambia","child_vitA","prev",5,"replace",416,29,0.611427121033891
"Gambia","child_vitA","prev",6,"base",428,0,0.652411671223412
"Gambia","child_vitA","prev",6,"plus",457,29,0.644615697002579
"Gambia","child_vitA","prev",6,"addon_only",29,29,0.613209057998652
"Gambia","child_vitA","prev",6,"replace",416,29,0.642165533676031
"Gambia","child_vitA","prev",7,"base",428,0,0.588930166853773
"Gambia","child_vitA","prev",7,"plus",457,29,0.590043877456749
"Gambia","child_vitA","prev",7,"addon_only",29,29,0.589152908974368
"Gambia","child_vitA","prev",7,"replace",416,29,0.597394367436391
"Gambia","child_vitA","prev",8,"base",428,0,0.614322768601628
"Gambia","child_vitA","prev",8,"plus",457,29,0.607640504983772
"Gambia","child_vitA","prev",8,"addon_only",29,29,0.587370972009606
"Gambia","child_vitA","prev",8,"replace",416,29,0.608085989224962
"Gambia","child_vitA","prev",9,"base",428,0,0.510079456163064
"Gambia","child_vitA","prev",9,"plus",457,29,0.496937671047945
"Gambia","child_vitA","prev",9,"addon_only",29,29,0.565096759950084
"Gambia","child_vitA","prev",9,"replace",416,29,0.507183808595326
"Gambia","child_vitA","prev",10,"base",428,0,0.590712103818535
"Gambia","child_vitA","prev",10,"plus",457,29,0.576233865979845
"Gambia","child_vitA","prev",10,"addon_only",29,29,0.572001765688536
"Gambia","child_vitA","prev",10,"replace",416,29,0.574229186894488
"Gambia","women_vitA","level",1,"base",428,0,0.739265850945495
"Gambia","women_vitA","level",1,"plus",457,29,0.724137931034483
"Gambia","women_vitA","level",1,"addon_only",29,29,0.725027808676307
"Gambia","women_vitA","level",1,"replace",416,29,0.72992213570634
"Gambia","women_vitA","level",2,"base",428,0,0.714794215795328
"Gambia","women_vitA","level",2,"plus",457,29,0.707230255839822
"Gambia","women_vitA","level",2,"addon_only",29,29,0.712569521690767
"Gambia","women_vitA","level",2,"replace",416,29,0.717908787541713
"Gambia","women_vitA","level",3,"base",428,0,0.719243604004449
"Gambia","women_vitA","level",3,"plus",457,29,0.712569521690767
"Gambia","women_vitA","level",3,"addon_only",29,29,0.692992213570634
"Gambia","women_vitA","level",3,"replace",416,29,0.716573971078977
"Gambia","women_vitA","level",4,"base",428,0,0.698331479421579
"Gambia","women_vitA","level",4,"plus",457,29,0.69432703003337
"Gambia","women_vitA","level",4,"addon_only",29,29,0.725027808676307
"Gambia","women_vitA","level",4,"replace",416,29,0.70055617352614
"Gambia","women_vitA","level",5,"base",428,0,0.730367074527253
"Gambia","women_vitA","level",5,"plus",457,29,0.727252502780868
"Gambia","women_vitA","level",5,"addon_only",29,29,0.737931034482759
"Gambia","women_vitA","level",5,"replace",416,29,0.745050055617353
"Gambia","women_vitA","level",6,"base",428,0,0.724582869855395
"Gambia","women_vitA","level",6,"plus",457,29,0.738820912124583
"Gambia","women_vitA","level",6,"addon_only",29,29,0.725027808676307
"Gambia","women_vitA","level",6,"replace",416,29,0.714794215795328
"Gambia","women_vitA","level",7,"base",428,0,0.749054505005562
"Gambia","women_vitA","level",7,"plus",457,29,0.738375973303671
"Gambia","women_vitA","level",7,"addon_only",29,29,0.759288097886541
"Gambia","women_vitA","level",7,"replace",416,29,0.745494994438265
"Gambia","women_vitA","level",8,"base",428,0,0.752169076751947
"Gambia","women_vitA","level",8,"plus",457,29,0.741935483870968
"Gambia","women_vitA","level",8,"addon_only",29,29,0.729477196885428
"Gambia","women_vitA","level",8,"replace",416,29,0.745494994438265
"Gambia","women_vitA","level",9,"base",428,0,0.709899888765295
"Gambia","women_vitA","level",9,"plus",457,29,0.711679644048943
"Gambia","women_vitA","level",9,"addon_only",29,29,0.707675194660734
"Gambia","women_vitA","level",9,"replace",416,29,0.730367074527253
"Gambia","women_vitA","level",10,"base",428,0,0.701001112347052
"Gambia","women_vitA","level",10,"plus",457,29,0.698331479421579
"Gambia","women_vitA","level",10,"addon_only",29,29,0.684093437152391
"Gambia","women_vitA","level",10,"replace",416,29,0.698331479421579
"Gambia","women_vitA","prev",1,"base",428,0,0.460408647926009
"Gambia","women_vitA","prev",1,"plus",457,29,0.464397917556357
"Gambia","women_vitA","prev",1,"addon_only",29,29,0.490445501613333
"Gambia","women_vitA","prev",1,"replace",416,29,0.452664771584746
"Gambia","women_vitA","prev",2,"base",428,0,0.472376456817052
"Gambia","women_vitA","prev",2,"plus",457,29,0.464163254636925
"Gambia","women_vitA","prev",2,"addon_only",29,29,0.498189377954596
"Gambia","women_vitA","prev",2,"replace",416,29,0.485517580305257
"Gambia","women_vitA","prev",3,"base",428,0,0.493730782485384
"Gambia","women_vitA","prev",3,"plus",457,29,0.478243029802858
"Gambia","women_vitA","prev",3,"addon_only",29,29,0.523298310333844
"Gambia","women_vitA","prev",3,"replace",416,29,0.487864209499579
"Gambia","women_vitA","prev",4,"base",428,0,0.472845782655917
"Gambia","women_vitA","prev",4,"plus",457,29,0.478243029802858
"Gambia","women_vitA","prev",4,"addon_only",29,29,0.595105163680102
"Gambia","women_vitA","prev",4,"replace",416,29,0.479651007319451
"Gambia","women_vitA","prev",5,"base",428,0,0.422627917897422
"Gambia","women_vitA","prev",5,"plus",457,29,0.439054322257678
"Gambia","women_vitA","prev",5,"addon_only",29,29,0.439992973935407
"Gambia","women_vitA","prev",5,"replace",416,29,0.422158592058558
"Gambia","women_vitA","prev",6,"base",428,0,0.472376456817052
"Gambia","women_vitA","prev",6,"plus",457,29,0.468152524267272
"Gambia","women_vitA","prev",6,"addon_only",29,29,0.473784434333646
"Gambia","women_vitA","prev",6,"replace",416,29,0.465101906314654
"Gambia","women_vitA","prev",7,"base",428,0,0.494434771243681
"Gambia","women_vitA","prev",7,"plus",457,29,0.487864209499579
"Gambia","women_vitA","prev",7,"addon_only",29,29,0.457358029973391
"Gambia","women_vitA","prev",7,"replace",416,29,0.502882636343241
"Gambia","women_vitA","prev",8,"base",428,0,0.501239995907215
"Gambia","women_vitA","prev",8,"plus",457,29,0.4974853891963
"Gambia","women_vitA","prev",8,"addon_only",29,29,0.539255388855234
"Gambia","women_vitA","prev",8,"replace",416,29,0.5113305014428
"Gambia","women_vitA","prev",9,"base",428,0,0.512269153120529
"Gambia","women_vitA","prev",9,"plus",457,29,0.512269153120529
"Gambia","women_vitA","prev",9,"addon_only",29,29,0.508749209329046
"Gambia","women_vitA","prev",9,"replace",416,29,0.507341231812453
