"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",428,0,0.738820912124583
"Gambia","child_vitA","level",1,"plus",456,28,0.747719688542825
"Gambia","child_vitA","level",1,"addon_only",28,28,0.712569521690767
"Gambia","child_vitA","level",1,"replace",411,28,0.743270300333704
"Gambia","child_vitA","level",2,"base",428,0,0.772191323692992
"Gambia","child_vitA","level",2,"plus",456,28,0.76329254727475
"Gambia","child_vitA","level",2,"addon_only",28,28,0.642269187986652
"Gambia","child_vitA","level",2,"replace",411,28,0.769966629588432
"Gambia","child_vitA","level",3,"base",428,0,0.724582869855395
"Gambia","child_vitA","level",3,"plus",456,28,0.719243604004449
"Gambia","child_vitA","level",3,"addon_only",28,28,0.643159065628476
"Gambia","child_vitA","level",3,"replace",411,28,0.720133481646274
"Gambia","child_vitA","level",4,"base",428,0,0.755283648498332
"Gambia","child_vitA","level",4,"plus",456,28,0.731256952169077
"Gambia","child_vitA","level",4,"addon_only",28,28,0.71523915461624
"Gambia","child_vitA","level",4,"replace",411,28,0.757508342602892
"Gambia","child_vitA","level",5,"base",428,0,0.728142380422692
"Gambia","child_vitA","level",5,"plus",456,28,0.712124582869855
"Gambia","child_vitA","level",5,"addon_only",28,28,0.688987764182425
"Gambia","child_vitA","level",5,"replace",411,28,0.729477196885428
"Gambia","child_vitA","level",6,"base",428,0,0.710789766407119
"Gambia","child_vitA","level",6,"plus",456,28,0.705005561735261
"Gambia","child_vitA","level",6,"addon_only",28,28,0.669855394883204
"Gambia","child_vitA","level",6,"replace",411,28,0.722358175750834
"Gambia","child_vitA","level",7,"base",428,0,0.737486095661847
"Gambia","child_vitA","level",7,"plus",456,28,0.73615127919911
"Gambia","child_vitA","level",7,"addon_only",28,28,0.673414905450501
"Gambia","child_vitA","level",7,"replace",411,28,0.740600667408231
"Gambia","child_vitA","level",8,"base",428,0,0.740600667408231
"Gambia","child_vitA","level",8,"plus",456,28,0.741935483870968
"Gambia","child_vitA","level",8,"addon_only",28,28,0.720578420467186
"Gambia","child_vitA","level",8,"replace",411,28,0.747719688542825
"Gambia","child_vitA","level",9,"base",428,0,0.753948832035595
"Gambia","child_vitA","level",9,"plus",456,28,0.75083426028921
"Gambia","child_vitA","level",9,"addon_only",28,28,0.690767519466073
"Gambia","child_vitA","level",9,"replace",411,28,0.733036707452725
"Gambia","child_vitA","level",10,"base",428,0,0.676529477196885
"Gambia","child_vitA","level",10,"plus",456,28,0.670300333704116
"Gambia","child_vitA","level",10,"addon_only",28,28,0.628476084538376
"Gambia","child_vitA","level",10,"replace",411,28,0.676529477196885
