"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",428,0,0.738820912124583
"Gambia","child_vitA","level",1,"plus",456,28,0.740600667408231
"Gambia","child_vitA","level",1,"addon_only",28,28,0.6587319243604
"Gambia","child_vitA","level",1,"replace",411,28,0.746384872080089
"Gambia","child_vitA","level",2,"base",428,0,0.772191323692992
"Gambia","child_vitA","level",2,"plus",456,28,0.762402669632925
"Gambia","child_vitA","level",2,"addon_only",28,28,0.593325917686318
"Gambia","child_vitA","level",2,"replace",411,28,0.765962180200222
"Gambia","child_vitA","level",3,"base",428,0,0.724582869855395
"Gambia","child_vitA","level",3,"plus",456,28,0.707230255839822
"Gambia","child_vitA","level",3,"addon_only",28,28,0.6293659621802
"Gambia","child_vitA","level",3,"replace",411,28,0.714794215795328
"Gambia","child_vitA","level",4,"base",428,0,0.755283648498332
"Gambia","child_vitA","level",4,"plus",456,28,0.728587319243604
"Gambia","child_vitA","level",4,"addon_only",28,28,0.659176863181313
"Gambia","child_vitA","level",4,"replace",411,28,0.74460511679644
"Gambia","child_vitA","level",5,"base",428,0,0.728142380422692
"Gambia","child_vitA","level",5,"plus",456,28,0.702335928809789
"Gambia","child_vitA","level",5,"addon_only",28,28,0.614238042269188
"Gambia","child_vitA","level",5,"replace",411,28,0.72769744160178
"Gambia","child_vitA","level",6,"base",428,0,0.710789766407119
"Gambia","child_vitA","level",6,"plus",456,28,0.705005561735261
"Gambia","child_vitA","level",6,"addon_only",28,28,0.623581757508343
"Gambia","child_vitA","level",6,"replace",411,28,0.697886540600667
"Gambia","child_vitA","level",7,"base",428,0,0.737486095661847
"Gambia","child_vitA","level",7,"plus",456,28,0.738820912124583
"Gambia","child_vitA","level",7,"addon_only",28,28,0.639154616240267
"Gambia","child_vitA","level",7,"replace",411,28,0.743715239154616
"Gambia","child_vitA","level",8,"base",428,0,0.740600667408231
"Gambia","child_vitA","level",8,"plus",456,28,0.734371523915462
"Gambia","child_vitA","level",8,"addon_only",28,28,0.627586206896552
"Gambia","child_vitA","level",8,"replace",411,28,0.745939933259177
"Gambia","child_vitA","level",9,"base",428,0,0.753948832035595
"Gambia","child_vitA","level",9,"plus",456,28,0.725917686318131
"Gambia","child_vitA","level",9,"addon_only",28,28,0.610678531701891
"Gambia","child_vitA","level",9,"replace",411,28,0.736596218020022
"Gambia","child_vitA","level",10,"base",428,0,0.676529477196885
"Gambia","child_vitA","level",10,"plus",456,28,0.678309232480534
"Gambia","child_vitA","level",10,"addon_only",28,28,0.572413793103448
"Gambia","child_vitA","level",10,"replace",411,28,0.665850945494994
"Gambia","child_vitA","prev",1,"base",428,0,0.65530731879115
"Gambia","child_vitA","prev",1,"plus",456,28,0.646397633967341
"Gambia","child_vitA","prev",1,"addon_only",28,28,0.5363630263933
"Gambia","child_vitA","prev",1,"replace",411,28,0.653748123946983
"Gambia","child_vitA","prev",2,"base",428,0,0.630805685525675
"Gambia","child_vitA","prev",2,"plus",456,28,0.639269886108294
"Gambia","child_vitA","prev",2,"addon_only",28,28,0.478450075038542
"Gambia","child_vitA","prev",2,"replace",411,28,0.649738765776269
"Gambia","child_vitA","prev",3,"base",428,0,0.587816456250797
"Gambia","child_vitA","prev",3,"plus",456,28,0.588484682612582
"Gambia","child_vitA","prev",3,"addon_only",28,28,0.516984461901515
"Gambia","child_vitA","prev",3,"replace",411,28,0.588484682612582
"Gambia","child_vitA","prev",4,"base",428,0,0.602294694089486
"Gambia","child_vitA","prev",4,"plus",456,28,0.601403725607105
"Gambia","child_vitA","prev",4,"addon_only",28,28,0.562869338744132
"Gambia","child_vitA","prev",4,"replace",411,28,0.596280656833415
"Gambia","child_vitA","prev",5,"base",428,0,0.608085989224962
"Gambia","child_vitA","prev",5,"plus",456,28,0.59561243047163
"Gambia","child_vitA","prev",5,"addon_only",28,28,0.522775757036991
"Gambia","child_vitA","prev",5,"replace",411,28,0.609199699827938
"Gambia","child_vitA","prev",6,"base",428,0,0.652411671223412
"Gambia","child_vitA","prev",6,"plus",456,28,0.641942791555436
"Gambia","child_vitA","prev",6,"addon_only",28,28,0.545940937578895
"Gambia","child_vitA","prev",6,"replace",411,28,0.653079897585197
"Gambia","child_vitA","prev",7,"base",428,0,0.588930166853773
"Gambia","child_vitA","prev",7,"plus",456,28,0.580243224150559
"Gambia","child_vitA","prev",7,"addon_only",28,28,0.512752361610206
"Gambia","child_vitA","prev",7,"replace",411,28,0.584029840200678
"Gambia","child_vitA","prev",8,"base",428,0,0.614322768601628
"Gambia","child_vitA","prev",8,"plus",456,28,0.585366292924249
"Gambia","child_vitA","prev",8,"addon_only",28,28,0.48179120684747
"Gambia","child_vitA","prev",8,"replace",411,28,0.588484682612582
"Gambia","child_vitA","prev",9,"base",428,0,0.510079456163064
"Gambia","child_vitA","prev",9,"plus",456,28,0.498051381650921
"Gambia","child_vitA","prev",9,"addon_only",28,28,0.41185018098057
"Gambia","child_vitA","prev",9,"replace",411,28,0.499833318615683
"Gambia","child_vitA","prev",10,"base",428,0,0.590712103818535
"Gambia","child_vitA","prev",10,"plus",456,28,0.568883376000203
"Gambia","child_vitA","prev",10,"addon_only",28,28,0.460407963270329
"Gambia","child_vitA","prev",10,"replace",411,28,0.586480003527225
"Gambia","women_vitA","level",1,"base",428,0,0.739265850945495
"Gambia","women_vitA","level",1,"plus",456,28,0.727252502780868
"Gambia","women_vitA","level",1,"addon_only",28,28,0.622691879866518
"Gambia","women_vitA","level",1,"replace",411,28,0.732146829810901
"Gambia","women_vitA","level",2,"base",428,0,0.714794215795328
"Gambia","women_vitA","level",2,"plus",456,28,0.712569521690767
"Gambia","women_vitA","level",2,"addon_only",28,28,0.519911012235818
"Gambia","women_vitA","level",2,"replace",411,28,0.712124582869855
"Gambia","women_vitA","level",3,"base",428,0,0.719243604004449
"Gambia","women_vitA","level",3,"plus",456,28,0.711234705228031
"Gambia","women_vitA","level",3,"addon_only",28,28,0.552836484983315
"Gambia","women_vitA","level",3,"replace",411,28,0.724137931034483
"Gambia","women_vitA","level",4,"base",428,0,0.698331479421579
"Gambia","women_vitA","level",4,"plus",456,28,0.691657397107898
"Gambia","women_vitA","level",4,"addon_only",28,28,0.581757508342603
"Gambia","women_vitA","level",4,"replace",411,28,0.705450500556174
"Gambia","women_vitA","level",5,"base",428,0,0.730367074527253
"Gambia","women_vitA","level",5,"plus",456,28,0.725472747497219
"Gambia","women_vitA","level",5,"addon_only",28,28,0.614238042269188
"Gambia","women_vitA","level",5,"replace",411,28,0.718353726362625
"Gambia","women_vitA","level",6,"base",428,0,0.724582869855395
"Gambia","women_vitA","level",6,"plus",456,28,0.717908787541713
"Gambia","women_vitA","level",6,"addon_only",28,28,0.540378197997775
"Gambia","women_vitA","level",6,"replace",411,28,0.74460511679644
"Gambia","women_vitA","level",7,"base",428,0,0.749054505005562
"Gambia","women_vitA","level",7,"plus",456,28,0.741935483870968
"Gambia","women_vitA","level",7,"addon_only",28,28,0.567074527252503
"Gambia","women_vitA","level",7,"replace",411,28,0.734816462736374
"Gambia","women_vitA","level",8,"base",428,0,0.752169076751947
"Gambia","women_vitA","level",8,"plus",456,28,0.735706340378198
"Gambia","women_vitA","level",8,"addon_only",28,28,0.583537263626251
"Gambia","women_vitA","level",8,"replace",411,28,0.746384872080089
"Gambia","women_vitA","level",9,"base",428,0,0.709899888765295
"Gambia","women_vitA","level",9,"plus",456,28,0.705895439377086
"Gambia","women_vitA","level",9,"addon_only",28,28,0.462068965517241
"Gambia","women_vitA","level",9,"replace",411,28,0.719688542825362
"Gambia","women_vitA","level",10,"base",428,0,0.701001112347052
"Gambia","women_vitA","level",10,"plus",456,28,0.693882091212458
"Gambia","women_vitA","level",10,"addon_only",28,28,0.529699666295884
"Gambia","women_vitA","level",10,"replace",411,28,0.709454949944383
"Gambia","women_vitA","prev",1,"base",428,0,0.460408647926009
"Gambia","women_vitA","prev",1,"plus",456,28,0.444451569404619
