"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",426,0,0.734371523915462
"Gambia","child_vitA","level",1,"plus",443,17,0.723692992213571
"Gambia","child_vitA","level",1,"addon_only",17,17,0.672080088987764
"Gambia","child_vitA","level",1,"replace",419,17,0.732146829810901
"Gambia","child_vitA","level",2,"base",426,0,0.76952169076752
"Gambia","child_vitA","level",2,"plus",443,17,0.76952169076752
"Gambia","child_vitA","level",2,"addon_only",17,17,0.701446051167964
"Gambia","child_vitA","level",2,"replace",419,17,0.77174638487208
"Gambia","child_vitA","level",3,"base",426,0,0.728142380422692
"Gambia","child_vitA","level",3,"plus",443,17,0.714349276974416
"Gambia","child_vitA","level",3,"addon_only",17,17,0.653837597330367
"Gambia","child_vitA","level",3,"replace",419,17,0.720578420467186
"Gambia","child_vitA","level",4,"base",426,0,0.775305895439377
"Gambia","child_vitA","level",4,"plus",443,17,0.773971078976641
"Gambia","child_vitA","level",4,"addon_only",17,17,0.652947719688543
"Gambia","child_vitA","level",4,"replace",419,17,0.772191323692992
"Gambia","child_vitA","level",5,"base",426,0,0.741935483870968
"Gambia","child_vitA","level",5,"plus",443,17,0.74238042269188
"Gambia","child_vitA","level",5,"addon_only",17,17,0.698776418242492
"Gambia","child_vitA","level",5,"replace",419,17,0.741490545050056
"Gambia","child_vitA","level",6,"base",426,0,0.737041156840934
"Gambia","child_vitA","level",6,"plus",443,17,0.743270300333704
"Gambia","child_vitA","level",6,"addon_only",17,17,0.709010011123471
"Gambia","child_vitA","level",6,"replace",419,17,0.737041156840934
"Gambia","child_vitA","level",7,"base",426,0,0.753058954393771
"Gambia","child_vitA","level",7,"plus",443,17,0.753503893214683
"Gambia","child_vitA","level",7,"addon_only",17,17,0.674304783092325
"Gambia","child_vitA","level",7,"replace",419,17,0.760622914349277
"Gambia","child_vitA","level",8,"base",426,0,0.746829810901001
"Gambia","child_vitA","level",8,"plus",443,17,0.749944382647386
"Gambia","child_vitA","level",8,"addon_only",17,17,0.677864293659622
"Gambia","child_vitA","level",8,"replace",419,17,0.745494994438265
"Gambia","child_vitA","level",9,"base",426,0,0.731256952169077
"Gambia","child_vitA","level",9,"plus",443,17,0.720578420467186
"Gambia","child_vitA","level",9,"addon_only",17,17,0.642269187986652
"Gambia","child_vitA","level",9,"replace",419,17,0.718353726362625
"Gambia","child_vitA","level",10,"base",426,0,0.690767519466073
"Gambia","child_vitA","level",10,"plus",443,17,0.688097886540601
"Gambia","child_vitA","level",10,"addon_only",17,17,0.630700778642937
"Gambia","child_vitA","level",10,"replace",419,17,0.685428253615128
"Gambia","child_vitA","prev",1,"base",426,0,0.659984903323649
"Gambia","child_vitA","prev",1,"plus",443,17,0.663994261494363
"Gambia","child_vitA","prev",1,"addon_only",17,17,0.643279244279008
"Gambia","child_vitA","prev",1,"replace",419,17,0.651075218499841
"Gambia","child_vitA","prev",2,"base",426,0,0.607640504983772
"Gambia","child_vitA","prev",2,"plus",443,17,0.618332126772343
"Gambia","child_vitA","prev",2,"addon_only",17,17,0.633924075214008
"Gambia","child_vitA","prev",2,"replace",419,17,0.620559547978295
"Gambia","child_vitA","prev",3,"base",426,0,0.584029840200678
"Gambia","child_vitA","prev",3,"plus",443,17,0.601403725607105
"Gambia","child_vitA","prev",3,"addon_only",17,17,0.607417762863177
"Gambia","child_vitA","prev",3,"replace",419,17,0.56665595479425
"Gambia","child_vitA","prev",4,"base",426,0,0.612540831636867
"Gambia","child_vitA","prev",4,"plus",443,17,0.609199699827938
"Gambia","child_vitA","prev",4,"addon_only",17,17,0.651075218499841
"Gambia","child_vitA","prev",4,"replace",419,17,0.612540831636867
"Gambia","child_vitA","prev",5,"base",426,0,0.62078229009889
"Gambia","child_vitA","prev",5,"plus",443,17,0.623232453425437
"Gambia","child_vitA","prev",5,"addon_only",17,17,0.633478590972818
"Gambia","child_vitA","prev",5,"replace",419,17,0.612318089516271
"Gambia","child_vitA","prev",6,"base",426,0,0.653970866067578
"Gambia","child_vitA","prev",6,"plus",443,17,0.646397633967341
"Gambia","child_vitA","prev",6,"addon_only",17,17,0.603408404692462
"Gambia","child_vitA","prev",6,"replace",419,17,0.644170212761389
"Gambia","child_vitA","prev",7,"base",426,0,0.611872605275081
"Gambia","child_vitA","prev",7,"plus",443,17,0.61053615255151
"Gambia","child_vitA","prev",7,"addon_only",17,17,0.611649863154486
"Gambia","child_vitA","prev",7,"replace",419,17,0.602740178330677
"Gambia","child_vitA","prev",8,"base",426,0,0.608754215586748
"Gambia","child_vitA","prev",8,"plus",443,17,0.62078229009889
"Gambia","child_vitA","prev",8,"addon_only",17,17,0.636374238540556
"Gambia","child_vitA","prev",8,"replace",419,17,0.608085989224962
"Gambia","child_vitA","prev",9,"base",426,0,0.51119316676604
"Gambia","child_vitA","prev",9,"plus",443,17,0.51631623553973
"Gambia","child_vitA","prev",9,"addon_only",17,17,0.505179129509969
"Gambia","child_vitA","prev",9,"replace",419,17,0.508520261318897
"Gambia","child_vitA","prev",10,"base",426,0,0.578015802944607
"Gambia","child_vitA","prev",10,"plus",443,17,0.587816456250797
"Gambia","child_vitA","prev",10,"addon_only",17,17,0.574897413256274
"Gambia","child_vitA","prev",10,"replace",419,17,0.576902092341631
"Gambia","women_vitA","level",1,"base",426,0,0.728142380422692
"Gambia","women_vitA","level",1,"plus",443,17,0.731256952169077
"Gambia","women_vitA","level",1,"addon_only",17,17,0.650723025583982
"Gambia","women_vitA","level",1,"replace",419,17,0.730367074527253
"Gambia","women_vitA","level",2,"base",426,0,0.704560622914349
"Gambia","women_vitA","level",2,"plus",443,17,0.701890989988876
"Gambia","women_vitA","level",2,"addon_only",17,17,0.672080088987764
"Gambia","women_vitA","level",2,"replace",419,17,0.717018909899889
"Gambia","women_vitA","level",3,"base",426,0,0.732146829810901
"Gambia","women_vitA","level",3,"plus",443,17,0.72146829810901
"Gambia","women_vitA","level",3,"addon_only",17,17,0.616462736373749
"Gambia","women_vitA","level",3,"replace",419,17,0.726807563959956
"Gambia","women_vitA","level",4,"base",426,0,0.705005561735261
"Gambia","women_vitA","level",4,"plus",443,17,0.701446051167964
"Gambia","women_vitA","level",4,"addon_only",17,17,0.609343715239155
"Gambia","women_vitA","level",4,"replace",419,17,0.698331479421579
"Gambia","women_vitA","level",5,"base",426,0,0.743270300333704
"Gambia","women_vitA","level",5,"plus",443,17,0.735706340378198
"Gambia","women_vitA","level",5,"addon_only",17,17,0.674749721913237
"Gambia","women_vitA","level",5,"replace",419,17,0.745050055617353
"Gambia","women_vitA","level",6,"base",426,0,0.737486095661847
"Gambia","women_vitA","level",6,"plus",443,17,0.737486095661847
"Gambia","women_vitA","level",6,"addon_only",17,17,0.684983314794216
"Gambia","women_vitA","level",6,"replace",419,17,0.735706340378198
"Gambia","women_vitA","level",7,"base",426,0,0.739710789766407
"Gambia","women_vitA","level",7,"plus",443,17,0.730812013348165
"Gambia","women_vitA","level",7,"addon_only",17,17,0.642269187986652
"Gambia","women_vitA","level",7,"replace",419,17,0.743715239154616
"Gambia","women_vitA","level",8,"base",426,0,0.750389321468298
"Gambia","women_vitA","level",8,"plus",443,17,0.752614015572859
"Gambia","women_vitA","level",8,"addon_only",17,17,0.665406006674082
"Gambia","women_vitA","level",8,"replace",419,17,0.751724137931035
"Gambia","women_vitA","level",9,"base",426,0,0.718798665183537
"Gambia","women_vitA","level",9,"plus",443,17,0.703670745272525
"Gambia","women_vitA","level",9,"addon_only",17,17,0.607563959955506
"Gambia","women_vitA","level",9,"replace",419,17,0.724137931034483
"Gambia","women_vitA","level",10,"base",426,0,0.696551724137931
"Gambia","women_vitA","level",10,"plus",443,17,0.699666295884316
"Gambia","women_vitA","level",10,"addon_only",17,17,0.6146829810901
"Gambia","women_vitA","level",10,"replace",419,17,0.700111234705228
"Gambia","women_vitA","prev",1,"base",426,0,0.458531344570552
"Gambia","women_vitA","prev",1,"plus",443,17,0.461816625442603
"Gambia","women_vitA","prev",1,"addon_only",17,17,0.609419601765467
"Gambia","women_vitA","prev",1,"replace",419,17,0.459000670409416
"Gambia","women_vitA","prev",2,"base",426,0,0.47002982762273
"Gambia","women_vitA","prev",2,"plus",443,17,0.478947018561155
"Gambia","women_vitA","prev",2,"addon_only",17,17,0.541132692210692
"Gambia","women_vitA","prev",2,"replace",419,17,0.47002982762273
"Gambia","women_vitA","prev",3,"base",426,0,0.479651007319451
"Gambia","women_vitA","prev",3,"plus",443,17,0.493026793727088
"Gambia","women_vitA","prev",3,"addon_only",17,17,0.59909443331045
"Gambia","women_vitA","prev",3,"replace",419,17,0.473784434333646
"Gambia","women_vitA","prev",4,"base",426,0,0.473080445575349
"Gambia","women_vitA","prev",4,"plus",443,17,0.490914827452198
"Gambia","women_vitA","prev",4,"addon_only",17,17,0.62561134320629
"Gambia","women_vitA","prev",4,"replace",419,17,0.460408647926009
"Gambia","women_vitA","prev",5,"base",426,0,0.399396288873633
"Gambia","women_vitA","prev",5,"plus",443,17,0.42661718752777
"Gambia","women_vitA","prev",5,"addon_only",17,17,0.574454826770067
"Gambia","women_vitA","prev",5,"replace",419,17,0.403385558503981
"Gambia","women_vitA","prev",6,"base",426,0,0.451256794068153
"Gambia","women_vitA","prev",6,"plus",443,17,0.49537342292141
"Gambia","women_vitA","prev",6,"addon_only",17,17,0.630539264514367
"Gambia","women_vitA","prev",6,"replace",419,17,0.460643310845442
"Gambia","women_vitA","prev",7,"base",426,0,0.485282917385824
"Gambia","women_vitA","prev",7,"plus",443,17,0.498424040874029
"Gambia","women_vitA","prev",7,"addon_only",17,17,0.59487050076067
"Gambia","women_vitA","prev",7,"replace",419,17,0.483874939869231
"Gambia","women_vitA","prev",8,"base",426,0,0.482936288191502
"Gambia","women_vitA","prev",8,"plus",443,17,0.516727748589741
"Gambia","women_vitA","prev",8,"addon_only",17,17,0.621152747737078
"Gambia","women_vitA","prev",8,"replace",419,17,0.502647973423808
"Gambia","women_vitA","prev",9,"base",426,0,0.504759939698698
"Gambia","women_vitA","prev",9,"plus",443,17,0.51977836654236
"Gambia","women_vitA","prev",9,"addon_only",17,17,0.633120556628121
"Gambia","women_vitA","prev",9,"replace",419,17,0.493026793727088
"Gambia","women_vitA","prev",10,"base",426,0,0.526818254125327
"Gambia","women_vitA","prev",10,"plus",443,17,0.534327467547158
"Gambia","women_vitA","prev",10,"addon_only",17,17,0.608246287168306
"Gambia","women_vitA","prev",10,"replace",419,17,0.518135726106335
"Gambia","child_iron","level",1,"base",426,0,0.371301446051168
"Gambia","child_iron","level",1,"plus",443,17,0.377530589543938
"Gambia","child_iron","level",1,"addon_only",17,17,0.395328142380423
"Gambia","child_iron","level",1,"replace",419,17,0.374860956618465
"Gambia","child_iron","level",2,"base",426,0,0.454949944382647
"Gambia","child_iron","level",2,"plus",443,17,0.450055617352614
"Gambia","child_iron","level",2,"addon_only",17,17,0.367296996662959
"Gambia","child_iron","level",2,"replace",419,17,0.45761957730812
"Gambia","child_iron","level",3,"base",426,0,0.382869855394883
"Gambia","child_iron","level",3,"plus",443,17,0.372191323692992
"Gambia","child_iron","level",3,"addon_only",17,17,0.27741935483871
"Gambia","child_iron","level",3,"replace",419,17,0.376640711902113
"Gambia","child_iron","level",4,"base",426,0,0.466518353726363
"Gambia","child_iron","level",4,"plus",443,17,0.461179087875417
"Gambia","child_iron","level",4,"addon_only",17,17,0.419354838709677
"Gambia","child_iron","level",4,"replace",419,17,0.451835372636263
"Gambia","child_iron","level",5,"base",426,0,0.429143492769744
"Gambia","child_iron","level",5,"plus",443,17,0.431368186874305
"Gambia","child_iron","level",5,"addon_only",17,17,0.414015572858732
"Gambia","child_iron","level",5,"replace",419,17,0.437152391546162
"Gambia","child_iron","level",6,"base",426,0,0.396662958843159
"Gambia","child_iron","level",6,"plus",443,17,0.400222469410456
"Gambia","child_iron","level",6,"addon_only",17,17,0.372191323692992
"Gambia","child_iron","level",6,"replace",419,17,0.405116796440489
"Gambia","child_iron","level",7,"base",426,0,0.414015572858732
"Gambia","child_iron","level",7,"plus",443,17,0.397552836484983
"Gambia","child_iron","level",7,"addon_only",17,17,0.378420467185762
"Gambia","child_iron","level",7,"replace",419,17,0.404226918798665
