"column","outcome","country","n","rho","z"
"wdist_perm_km_mean","child_vitA","Gambia",30,0.335261401557286,1.81212822692524
"wdist_any_km_mean","child_vitA","Gambia",30,0.245828698553949,1.30406973842742
"wdist_coast_km_mean","child_vitA","Gambia",30,0.623581757508343,3.7975796189076
"wdist_coast_km_min","child_vitA","Gambia",30,0.692227195237491,4.42826227253545
"wdist_perm_km_mean","women_vitA","Gambia",30,0.208898776418243,1.10168614093057
"wdist_any_km_mean","women_vitA","Gambia",30,0.0380422691879867,0.197768870695568
"wdist_coast_km_mean","women_vitA","Gambia",30,0.541713014460512,3.15186610747523
"wdist_coast_km_min","women_vitA","Gambia",30,0.553044036266116,3.23593536766705
"wdist_perm_km_mean","child_iron","Gambia",30,0.320133481646274,1.72406168138394
"wdist_any_km_mean","child_iron","Gambia",30,0.178642936596218,0.93832399536992
"wdist_coast_km_mean","child_iron","Gambia",30,0.466518353726363,2.6272311367098
"wdist_coast_km_min","child_iron","Gambia",30,0.450746873488569,2.52344487278387
"wdist_perm_km_mean","women_iron","Gambia",30,0.430033370411568,2.38990598989034
"wdist_any_km_mean","women_iron","Gambia",30,0.270300333704116,1.44031006181913
"wdist_coast_km_mean","women_iron","Gambia",30,0.657842046718576,4.09976317462565
"wdist_coast_km_min","women_iron","Gambia",30,0.622389709110511,3.78745675074536
"wdist_perm_km_mean","child_vitA","Ghana",75,-0.10076813655761,-0.857957861209625
"wdist_any_km_mean","child_vitA","Ghana",75,-0.126372688477952,-1.07807142051815
"wdist_coast_km_mean","child_vitA","Ghana",75,0.311436699857752,2.73341154412577
"wdist_perm_km_min","child_vitA","Ghana",75,-0.203738607749216,-1.75331362645111
"wdist_any_km_min","child_vitA","Ghana",75,-0.212740849362663,-1.83316340517751
"wdist_coast_km_min","child_vitA","Ghana",75,0.29556582491977,2.58507456015862
"wdist_perm_km_mean","women_vitA","Ghana",75,-0.386543385490754,-3.45970212979042
"wdist_any_km_mean","women_vitA","Ghana",75,-0.432005689900427,-3.9232543553655
"wdist_coast_km_mean","women_vitA","Ghana",75,0.154793741109531,1.3241126174452
"wdist_perm_km_min","women_vitA","Ghana",75,-0.2998457301007,-2.62492251828166
"wdist_any_km_min","women_vitA","Ghana",75,-0.304133588447401,-2.66495737811826
"wdist_coast_km_min","women_vitA","Ghana",75,0.174891862699276,1.49942107786184
"wdist_perm_km_mean","child_iron","Ghana",75,-0.343613086770981,-3.03928852756965
